"pmid","title","source","abstract","probs"
38396255,"Estimating the direct effects of the genetic liabilities to bipolar disorder, schizophrenia, and behavioral traits on suicide attempt using a multivariable Mendelian randomization approach.","Neuropsychopharmacology","Bipolar disorder (BD) and schizophrenia (SZ) are associated with higher odds of suicide attempt (SA). In this study, we aimed to explore the effect of BD and SZ genetic liabilities on SA, also considering the contribution of behavioral traits, socioeconomic factors, and substance use disorders. Leveraging large-scale genome-wide association data from the Psychiatric Genomics Consortium (PGC) and the UK Biobank (UKB), we conducted a two-sample Mendelian randomization (MR) analysis to evaluate the putative causal effect of BD (41,917 cases, 371,549 controls) and SZ (53,386 cases, 77,258 controls) on SA (26,590 cases, 492,022 controls). Then, we assessed the putative causal effect of BD and SZ on behavioral traits, socioeconomic factors, and substance use disorders. Considering the associations identified, we evaluated the direct causal effect of behavioral traits, socioeconomic factors, and substance use disorders on SA using a multivariable MR approach. The genetic liabilities to BD and SZ were associated with higher odds of SA (BD odds ratio (OR) = 1.24, p = 3.88 × 10-12; SZ OR = 1.09, p = 2.44 × 10-20). However, while the effect of mental distress (OR = 1.17, p = 1.02 × 10-4) and risk-taking (OR = 1.52, p = 0.028) on SA was independent of SZ genetic liability, the BD-SA relationship appeared to account for the effect of these risk factors. Similarly, the association with loneliness on SA was null after accounting for the effect of SZ genetic liability. These findings highlight the complex interplay between genetic risk of psychiatric disorders and behavioral traits in the context of SA, suggesting the need for a comprehensive mental health assessment for high-risk individuals.© 2024. The Author(s), under exclusive licence to American College of Neuropsychopharmacology.",1.81547730116746e-10
38317018,"Identifying novel proteins for suicide attempt by integrating proteomes from brain and blood with genome-wide association data.","Neuropsychopharmacology","Genome-wide association studies (GWASs) have identified risk loci for suicide attempt (SA), but deciphering how they confer risk for SA remains largely unknown. This study aims to identify the key proteins and gain insights into SA pathogenesis. We integrated data from the brain proteome (N = 376) and blood proteome (N = 35,559) and combined it with the largest SA GWAS summary statistics to date (N = 518,612). A comprehensive set of methods was employed, including Mendelian randomization (MR), Steiger filtering, Bayesian colocalization, proteome‑wide association studies (PWAS), transcript-levels, cell-type specificity, correlation, and protein-protein interaction (PPI) network analysis. Validation was performed using other protein datasets and the SA dataset from FinnGen study. We identified ten proteins (GLRX5, GMPPB, B3GALTL, FUCA2, TTLL12, ADCK1, MMAA, HIBADH, ACP1, DOC2A) associated with SA in brain proteomics. GLRX5, GMPPB, and FUCA2 showed strong colocalization evidence and were supported by PWAS and transcript-level analysis, and were predominantly expressed in glutamatergic neuronal cells. In blood proteomics, one significant protein (PEAR1) and three near-significant proteins (NDE1, EVA1C, B4GALT2) were identified, but lacked colocalization evidence. Moreover, despite the limited correlation between the same protein in brain and blood, the PPI network analysis provided new insights into the interaction between brain and blood in SA. Furthermore, GLRX5 was associated with the GSTP1, the target of Clozapine. The comprehensive analysis provides strong evidence supporting a causal association between three genetically determined brain proteins (GLRX5, GMPPB, and FUCA2) with SA. These findings offer valuable insights into SA's underlying mechanisms and potential therapeutic approaches.© 2024. The Author(s).",1.66904253879779e-10
38201851,"Nurturing Infants to Prevent Atopic Dermatitis and Food Allergies: A Longitudinal Study.","Nutrients","Atopic dermatitis (AD) at a young age often precedes the development of food allergies. Although AD affects millions of infants worldwide, prenatal and postnatal risk factors, and their association with the development of food allergies later on, are not fully elucidated. This study seeks to investigate AD epidemiology in infancy and its risk factors, examining early-life factors (both prenatal and postnatal) that could contribute to the later development of food allergies.Between January 2019 and December 2019, 501 infants were included in this prospective cohort study. Longitudinal data collection was performed through maternal interviews, the first one conducted within three days after the delivery and the second within 24 to 36 months after the delivery, encompassing variables such as demographics, family history of atopy, maternal smoking, antibiotic use during pregnancy, the mode of delivery, breastfeeding history, food practices, and greenness exposure within 3 days from delivery, while they were still in the hospital.Maternal smoking during pregnancy (p= 0.001) and an older sibling atopy history (p= 0.03) was significantly linked to AD incidence. Cesarean section delivery (p= 0.04) was associated with a higher risk of food allergies in infants with AD. Having a garden at home correlated with a higher likelihood of AD (p= 0.01), and food elimination without medical guidance (p= 0.02) due to AD correlated with an elevated risk of food allergies.Encouraging timely allergenic food introduction while promoting dietary diversity, rich in plant-based foods, maternal smoking cessation, and professional dietary guidance may help minimize AD and food allergy risk. Future studies should address the role of greenness in the development of AD and food allergies.",1.63680797803421e-10
38279041,"Adjusting for genetic confounders in transcriptome-wide association studies improves discovery of risk genes of complex traits.","Nat Genet","Many methods have been developed to leverage expression quantitative trait loci (eQTL) data to nominate candidate genes from genome-wide association studies. These methods, including colocalization, transcriptome-wide association studies (TWAS) and Mendelian randomization-based methods; however, all suffer from a key problem-when assessing the role of a gene in a trait using its eQTLs, nearby variants and genetic components of other genes' expression may be correlated with these eQTLs and have direct effects on the trait, acting as potential confounders. Our extensive simulations showed that existing methods fail to account for these 'genetic confounders', resulting in severe inflation of false positives. Our new method, causal-TWAS (cTWAS), borrows ideas from statistical fine-mapping and allows us to adjust all genetic confounders. cTWAS showed calibrated false discovery rates in simulations, and its application on several common traits discovered new candidate genes. In conclusion, cTWAS provides a robust statistical framework for gene discovery.© 2024. The Author(s).",1.46239136132582e-10
38355645,"Increased CpG methylation at the CDH1 locus in inflamed ileal mucosa of patients with Crohn disease.","Clin Epigenetics","E-cadherin, a major actor of cell adhesion in the intestinal barrier, is encoded by the CDH1 gene associated with susceptibility to Crohn Disease (CD) and colorectal cancer. Since epigenetic mechanisms are suspected to contribute to the multifactorial pathogenesis of CD, we studied CpG methylation at the CDH1 locus. The methylation of the CpG island (CGI) and of the 1st enhancer, two critical regulatory positions, was quantified in surgical specimens of inflamed ileal mucosa and in peripheral blood mononuclear cells (PBMC) of 21 CD patients. Sixteen patients operated on for a non-inflammatory bowel disease, although not normal controls, provided a macroscopically normal ileal mucosa and PBMC for comparison.In ileal mucosa, 19/21 (90%) CD patients vs 8/16 control patients (50%) (p < 0.01) had a methylated CDH1 promoter CGI. In PBMC, CD patients with methylated CGI were 11/21 (52%) vs 7/16 controls (44%), respectively. Methylation in the 1st enhancer of CDH1 was also higher in the CD group for each of the studied CpGs and for their average value (45 ± 17% in CD patients vs 36 ± 17% in controls; p < 0.001). Again, methylation was comparable in PBMC. Methylation of CGI and 1st enhancer were not correlated in mucosa or PBMC.Methylation of several CpGs at the CDH1 locus was increased in the inflamed ileal mucosa, not in the PBMC, of CD patients, suggesting the association of CDH1 methylation with ileal inflammation. Longitudinal studies will explore if this increased methylation is a risk marker for colorectal cancer.© 2024. The Author(s).",1.28166865066047e-10
38328152,"Genome-wide profiling of genetic variation at tandem repeat from long reads.","bioRxiv","Tandem repeats are frequent across the human genome, and variation in repeat length has been linked to a variety of traits. Recent improvements in long read sequencing technologies have the potential to greatly improve TR analysis, especially for long or complex repeats. Here we introduce LongTR, which accurately genotypes tandem repeats from high fidelity long reads available from both PacBio and Oxford Nanopore Technologies. LongTR is freely available at https://github.com/gymrek-lab/longtr.",8.25379652759216e-11
38184855,"Genetic and brain similarity independently predict childhood anthropometrics and neighborhood socioeconomic conditions.","Dev Cogn Neurosci","Linking the developing brain with individual differences in clinical and demographic traits is challenging due to the substantial interindividual heterogeneity of brain anatomy and organization. Here we employ an integrative approach that parses individual differences in both cortical thickness and common genetic variants, and assess their effects on a wide set of childhood traits. The approach uses a linear mixed model framework to obtain the unique effects of each type of similarity, as well as their covariance. We employ this approach in a sample of 7760 unrelated children in the ABCD cohort baseline sample (mean age 9.9, 46.8% female). In general, associations between cortical thickness similarity and traits were limited to anthropometrics such as height, weight, and birth weight, as well as a marker of neighborhood socioeconomic conditions. Common genetic variants explained significant proportions of variance across nearly all included outcomes, although estimates were somewhat lower than previous reports. No significant covariance of the effects of genetic and cortical thickness similarity was found. The present findings highlight the connection between anthropometrics as well as neighborhood socioeconomic conditions and the developing brain, which appear to be independent from individual differences in common genetic variants in this population-based sample.Copyright © 2024 The Authors. Published by Elsevier Ltd.. All rights reserved.",7.95264867170249e-11
38277453,"Genetic architecture of alcohol consumption identified by a genotype-stratified GWAS and impact on esophageal cancer risk in Japanese people.","Sci Adv","An East Asian-specific variant onaldehyde dehydrogenase 2(ALDH2rs671, G>A) is the major genetic determinant of alcohol consumption. We performed an rs671 genotype-stratified genome-wide association study meta-analysis of alcohol consumption in 175,672 Japanese individuals to explore gene-gene interactions with rs671 behind drinking behavior. The analysis identified three genome-wide significant loci (GCKR,KLB, andADH1B) in wild-type homozygotes and six (GCKR,ADH1B,ALDH1B1,ALDH1A1,ALDH2, andGOT2) in heterozygotes, with five showing genome-wide significant interaction with rs671. Genetic correlation analyses revealed ancestry-specific genetic architecture in heterozygotes. Of the discovered loci, four (GCKR,ADH1B,ALDH1A1, andALDH2) were suggested to interact with rs671 in the risk of esophageal cancer, a representative alcohol-related disease. Our results identify the genotype-specific genetic architecture of alcohol consumption and reveal its potential impact on alcohol-related disease risk.",5.46249415597916e-11
38183126,"Sex-based disparities in DNA methylation and gene expression in late-gestation mouse placentas.","Biol Sex Differ","The placenta is vital for fetal development and its contributions to various developmental issues, such as pregnancy complications, fetal growth restriction, and maternal exposure, have been extensively studied in mice. The placenta forms mainly from fetal tissue and therefore has the same biological sex as the fetus it supports. Extensive research has delved into the placenta's involvement in pregnancy complications and future offspring development, with a notable emphasis on exploring sex-specific disparities. However, despite these investigations, sex-based disparities in epigenetic (e.g., DNA methylation) and transcriptomic features of the late-gestation mouse placenta remain largely unknown.We collected male and female mouse placentas at late gestation (E18.5, n = 3/sex) and performed next-generation sequencing to identify genome-wide sex differences in transcription and DNA methylation.Our comparison between male and female revealed 358 differentially expressed genes (DEGs) on autosomes, which were associated with signaling pathways involved in transmembrane transport and the responses to viruses and external stimuli. X chromosome DEGs (n = 39) were associated with different pathways, including those regulating chromatin modification and small GTPase-mediated signal transduction. Differentially methylated regions (DMRs) were more common on the X chromosomes (n = 3756) than on autosomes (n = 1705). Interestingly, while most X chromosome DMRs had higher DNA methylation levels in female placentas and tended to be included in CpG dinucleotide-rich regions, 73% of autosomal DMRs had higher methylation levels in male placentas and were distant from CpG-rich regions. Several DEGs were correlated with DMRs. A subset of the DMRs present in late-stage placentas were already established in mid-gestation (E10.5) placentas (n = 348 DMRs on X chromosome and 19 DMRs on autosomes), while others were acquired later in placental development.Our study provides comprehensive lists of DEGs and DMRs between male and female that collectively cause profound differences in the DNA methylation and gene expression profiles of late-gestation mouse placentas. Our results demonstrate the importance of incorporating sex-specific analyses into epigenetic and transcription studies to enhance the accuracy and comprehensiveness of their conclusions and help address the significant knowledge gap regarding how sex differences influence placental function.© 2024. The Author(s).",4.19972409468743e-11
38254182,"PICALO: principal interaction component analysis for the identification of discrete technical, cell-type, and environmental factors that mediate eQTLs.","Genome Biol","Expression quantitative trait loci (eQTL) offer insights into the regulatory mechanisms of trait-associated variants, but their effects often rely on contexts that are unknown or unmeasured. We introduce PICALO, a method for hidden variable inference of eQTL contexts. PICALO identifies and disentangles technical from biological context in heterogeneous blood and brain bulk eQTL datasets. These contexts are biologically informative and reproducible, outperforming cell counts or expression-based principal components. Furthermore, we show that RNA quality and cell type proportions interact with thousands of eQTLs. Knowledge of hidden eQTL contexts may aid in the inference of functional mechanisms underlying disease variants.© 2024. The Author(s).",3.78651957971623e-11
38316767,"Brain tissue- and cell type-specific eQTL Mendelian randomization reveals efficacy of FADS1 and FADS2 on cognitive function.","Transl Psychiatry","Epidemiological studies suggested an association between omega-3 fatty acids and cognitive function. However, the causal role of the fatty acid desaturase (FADS) gene, which play a key role in regulating omega-3 fatty acids biosynthesis, on cognitive function is unclear. Hence, we used two-sample Mendelian randomization (MR) to estimate the gene-specific causal effect of omega-3 fatty acids (N = 114,999) on cognitive function (N = 300,486). Tissue- and cell type-specific effects of FADS1/FADS2 expression on cognitive function were estimated using brain tissue cis-expression quantitative trait loci (cis-eQTL) datasets (GTEx, N ≤ 209; MetaBrain, N ≤ 8,613) and single cell cis-eQTL data (N = 373), respectively. These causal effects were further evaluated in whole blood cis-eQTL data (N ≤ 31,684). A series of sensitivity analyses were conducted to validate MR assumptions. Leave-one-out MR showed a FADS gene-specific effect of omega-3 fatty acids on cognitive function [β = -1.3 × 10-2, 95% confidence interval (CI) (-2.2 × 10-2, -5 × 10-3), P = 2 × 10-3]. Tissue-specific MR showed an effect of increased FADS1 expression in cerebellar hemisphere and FADS2 expression in nucleus accumbens basal ganglia on maintaining cognitive function, while decreased FADS1 expression in nine brain tissues on maintaining cognitive function [colocalization probability (PP.H4) ranged from 71.7% to 100.0%]. Cell type-specific MR showed decreased FADS1/FADS2 expression in oligodendrocyte was associated with maintaining cognitive function (PP.H4 = 82.3%, respectively). Increased FADS1/FADS2 expression in whole blood showed an effect on cognitive function maintenance (PP.H4 = 86.6% and 88.4%, respectively). This study revealed putative causal effect of FADS1/FADS2 expression in brain tissues and blood on cognitive function. These findings provided evidence to prioritize FADS gene as potential target gene for maintenance of cognitive function.© 2024. The Author(s).",2.53142636905125e-11
38197923,"Technical strategy for monozygotic twin discrimination by single-nucleotide variants.","Int J Legal Med","Monozygotic (MZ) twins are theoretically genetically identical. Although they are revealed to accumulate mutations after the zygote splits, discriminating between twin genomes remains a formidable challenge in the field of forensic genetics. Single-nucleotide variants (SNVs) are responsible for a substantial portion of genetic variation, thus potentially serving as promising biomarkers for the identification of MZ twins. In this study, we sequenced the whole genome of a pair of female MZ twins when they were 27 and 33 years old to approximately 30 × coverage using peripheral blood on an Illumina NovaSeq 6000 Sequencing System. Potentially discordant SNVs supported by whole-genome sequencing were validated extensively by amplicon-based targeted deep sequencing and Sanger sequencing. In total, we found nine bona fide post-twinning SNVs, all of which were identified in the younger genomes and found in the older genomes. None of the SNVs occurred within coding exons, three of which were observed in introns, supported by whole-exome sequencing results. A double-blind test was employed, and the reliability of MZ twin discrimination by discordant SNVs was endorsed. All SNVs were successfully detected when input DNA amounts decreased to 0.25 ng, and reliable detection was limited to seven SNVs below 0.075 ng input. This comprehensive analysis confirms that SNVs could serve as cost-effective biomarkers for MZ twin discrimination.© 2024. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",2.50433598358667e-11
38357923,"Status check: next-generation sequencing for infectious-disease diagnostics.","J Clin Invest","Next-generation sequencing (NGS) applications for the diagnostics of infectious diseases has demonstrated great potential with three distinct approaches: whole-genome sequencing (WGS), targeted NGS (tNGS), and metagenomic NGS (mNGS, also known as clinical metagenomics). These approaches provide several advantages over traditional microbiologic methods, though challenges still exist.",2.32221190040466e-11
38162685,"Multiple generation distinct toxicant exposures induce epigenetic transgenerational inheritance ofÂ enhanced pathology andÂ obesity.","Environ Epigenet","Three successive multiple generations of rats were exposed to different toxicants and then bred to the transgenerational F5 generation to assess the impacts of multiple generation different exposures. The current study examines the actions of the agricultural fungicide vinclozolin on the F0 generation, followed by jet fuel hydrocarbon mixture exposure of the F1 generation, and then pesticide dichlorodiphenyltrichloroethane on the F2 generation gestating females. The subsequent F3 and F4 generations and F5 transgenerational generation were obtained and F1-F5 generations examined for male sperm epigenetic alterations and pathology in males and females. Significant impacts on the male sperm differential DNA methylation regions were observed. The F3-F5 generations were similar in ∼50% of the DNA methylation regions. The pathology of each generation was assessed in the testis, ovary, kidney, and prostate, as well as the presence of obesity and tumors. The pathology used a newly developed Deep Learning, artificial intelligence-based histopathology analysis. Observations demonstrated compounded disease impacts in obesity and metabolic parameters, but other pathologies plateaued with smaller increases at the F5 transgenerational generation. Observations demonstrate that multiple generational exposures, which occur in human populations, appear to increase epigenetic impacts and disease susceptibility.© The Author(s) 2023. Published by Oxford University Press.",2.31867362635653e-11
38374255,"Genomic data in the All of Us Research Program.","Nature","Comprehensively mapping the genetic basis of human disease across diverse individuals is a long-standing goal for the field of human genetics1-4. The All of Us Research Program is a longitudinal cohort study aiming to enrol a diverse group of at least one million individuals across the USA to accelerate biomedical research and improve human health5,6. Here we describe the programme's genomics data release of 245,388 clinical-grade genome sequences. This resource is unique in its diversity as 77% of participants are from communities that are historically under-represented in biomedical research and 46% are individuals from under-represented racial and ethnic minorities. All of Us identified more than 1 billion genetic variants, including more than 275 million previously unreported genetic variants, more than 3.9 million of which had coding consequences. Leveraging linkage between genomic data and the longitudinal electronic health record, we evaluated 3,724 genetic variants associated with 117 diseases and found high replication rates across both participants of European ancestry and participants of African ancestry. Summary-level data are publicly available, and individual-level data can be accessed by researchers through the All of Us Researcher Workbench using a unique data passport model with a median time from initial researcher registration to data access of 29 hours. We anticipate that this diverse dataset will advance the promise of genomic medicine for all.© 2024. The Author(s).",1.81473399403711e-11
38170948,"Radon Exposure, Clonal Hematopoiesis, and Stroke Susceptibility in the Women's Health Initiative.","Neurology","Studies suggest that clonal hematopoiesis of indeterminate potential (CHIP) may increase risk of hematologic malignancy and cardiovascular disease, including stroke. However, few studies have investigated plausible environmental risk factors for CHIP such as radon, despite the climate-related increases in and documented infrequency of testing for this common indoor air pollutant.The purpose of this study was to estimate the risk of CHIP related to radon, an established environmental mutagen.We linked geocoded addresses of 10,799 Women's Health Initiative Trans-Omics for Precision Medicine (WHI TOPMed) participants to US Environmental Protection Agency-predicted, county-level, indoor average screening radon concentrations, categorized as follows: Zone 1 (>4 pCi/L), Zone 2 (2-4 pCi/L), and Zone 3 (<2 pCi/L). We defined CHIP as the presence of one or more leukemogenic driver mutations with variant allele frequency >0.02. We identified prevalent and incident ischemic and hemorrhagic strokes; subtyped ischemic stroke using Trial of ORG 10172 in Acute Stroke Treatment (TOAST) criteria; and then estimated radon-related risk of CHIP as an odds ratio (OR) and 95% CI using multivariable-adjusted, design-weighted logistic regression stratified by age, race/ethnicity, smoking status, and stroke type/subtype.The percentages of participants with CHIP in Zones 1, 2, and 3 were 9.0%, 8.4%, and 7.7%, respectively (ptrend= 0.06). Among participants with ischemic stroke, Zones 2 and 1 were associated with higher estimated risks of CHIP relative to Zone 3: 1.39 (1.15-1.68) and 1.46 (1.15-1.87), but not among participants with hemorrhagic stroke: 0.98 (0.68-1.40) and 1.03 (0.70-1.52), or without stroke: 1.04 (0.74-1.46) and 0.95 (0.63-1.42), respectively (pinteraction= 0.03). Corresponding estimates were particularly high among TOAST-subtyped cardioembolism: 1.78 (1.30-2.47) and 1.88 (1.31-2.72), or other ischemic etiologies: 1.37 (1.06-1.78) and 1.50 (1.11-2.04), but not small vessel occlusion: 1.05 (0.74-1.49) and 1.00 (0.68-1.47), respectively (pinteraction= 0.10). Observed patterns of association among strata were insensitive to attrition weighting, ancestry adjustment, prevalent stroke exclusion, separate analysis ofDNMT3Adriver mutations, and substitution with 3 alternative estimates of radon exposure.The robust elevation of radon-related risk of CHIP among postmenopausal women who develop incident cardioembolic stroke is consistent with a potential role of somatic genomic mutation in this societally burdensome form of cerebrovascular disease, although the mechanism has yet to be confirmed.",1.6580569017237e-11
38293235,"Cross-ancestry genetic investigation of schizophrenia, cannabis use disorder, and tobacco smoking.","medRxiv","Individuals with schizophrenia frequently experience co-occurring substance use, including tobacco smoking and heavy cannabis use, and substance use disorders. There is interest in understanding the extent to which these relationships are causal, and to what extent shared genetic factors play a role. We explored the relationships between schizophrenia (Scz), cannabis use disorder (CanUD), and ever-regular tobacco smoking (Smk) using the largest available genome-wide studies of these phenotypes in individuals of African and European ancestries. All three phenotypes were positively genetically correlated (rgs = 0.17 - 0.62). Causal inference analyses suggested the presence of horizontal pleiotropy, but evidence for bidirectional causal relationships was also found between all three phenotypes even after correcting for horizontal pleiotropy. We identified 439 pleiotropic loci in the European ancestry data, 150 of which were novel (i.e., not genome-wide significant in the original studies). Of these pleiotropic loci, 202 had lead variants which showed convergent effects (i.e., same direction of effect) on Scz, CanUD, and Smk. Genetic variants convergent across all three phenotypes showed strong genetic correlations with risk-taking, executive function, and several mental health conditions. Our results suggest that both horizontal pleiotropy and causal mechanisms may play a role in the relationship between CanUD, Smk, and Scz, but longitudinal, prospective studies are needed to confirm a causal relationship.",1.50154138468687e-11
38260403,"mixWAS: An efficient distributed algorithm for mixed-outcomes genome-wide association studies.","medRxiv","Genome-wide association studies (GWAS) have been instrumental in identifying genetic associations for various diseases and traits. However, uncovering genetic underpinnings among traits beyond univariate phenotype associations remains a challenge. Multi-phenotype associations (MPA), or genetic pleiotropy, offer important insights into shared genes and pathways among traits, enhancing our understanding of genetic architectures of complex diseases. GWAS of biobank-linked electronic health record (EHR) data are increasingly being utilized to identify MPA among various traits and diseases. However, methodologies that can efficiently take advantage of distributed EHR to detect MPA are still lacking. Here, we introduce mixWAS, a novel algorithm that efficiently and losslessly integrates multiple EHRs via summary statistics, allowing the detection of MPA among mixed phenotypes while accounting for heterogeneities across EHRs. Simulations demonstrate that mixWAS outperforms the widely used MPA detection method, Phenome-wide association study (PheWAS), across diverse scenarios. Applying mixWAS to data from seven EHRs in the US, we identified 4,534 MPA among blood lipids, BMI, and circulatory diseases. Validation in an independent EHR data from UK confirmed 97.7% of the associations. mixWAS fundamentally improves the detection of MPA and is available as a free, open-source software.",1.23208474617325e-11
38326779,"Sex-biased genetic regulation of inflammatory proteins in the Dutch population.","BMC Genomics","Significant differences in immune responses, prevalence or susceptibility of diseases and treatment responses have been described between males and females. Despite this, sex-differentiation analysis of the genetic architecture of inflammatory proteins is largely unexplored. We performed sex-stratified meta-analysis after protein quantitative trait loci (pQTL) mapping using inflammatory biomarkers profiled using targeted proteomics (Olink inflammatory panel) of two population-based cohorts of Europeans.Even though, around 67% of the pQTLs demonstrated shared effect between sexes, colocalization analysis identified two loci in the males (LINC01135 and ITGAV) and three loci (CNOT10, SRD5A2, and LILRB5) in the females with evidence of sex-dependent modulation by pQTL variants. Furthermore, we identified pathways with relevant functions in the sex-biased pQTL variants. We also showed through cross-validation that the sex-specific pQTLs are linked with sex-specific phenotypic traits.Our study demonstrates the relevance of genetic sex-stratified analysis in the context of genetic dissection of protein abundances among individuals and reveals that, sex-specific pQTLs might mediate sex-linked phenotypes. Identification of sex-specific pQTLs associated with sex-biased diseases can help realize the promise of individualized treatment.© 2024. The Author(s).",1.04580329687273e-11
38251403,"Charting the Knowledge and Patterns of Non-Steroidal Anti-Inflammatory Drugs Usage in Hail Population, Saudi Arabia: Insights into the Adverse Effect Profile.","Pharmacy (Basel)","(1) Background: It is crucial to provide safe and knowledgeable healthcare practices because no research has been performed on the knowledge and usage patterns of NSAIDs among the Hail population. (2) Method: Structured questionnaires were utilized to gather data from 399 individuals in Hail, Saudi Arabia, for the cross-sectional analysis. The study assessed participants' knowledge regarding NSAIDs, patterns of use, reasons for use, and awareness of potential side effects. (3) Results: In the study, the gender distribution indicated that 170 participants (42.61%) were male, whereas 229 (57.39%) were female. Gender, occupation, and marital status showed non-significant associations except for menstrual cycle and joint pain, where marital status displayed significant associations (p> 0.001). Education and monthly income exhibited non-significant associations for all these reasons. The regression analysis demonstrated that gender played a significant role, with females having higher odds of knowledge (AOR = 1.75, 95% CI 1.10-2.88) than males. Meanwhile, >50% of the participants had knowledge of adverse events related to the use of NSAIDs, whereas 25% had no knowledge. Moreover, 59 (25.76%) participants reported discomfort with the use of NSAIDs. In addition, 50% and >75% of respondents believed that NSAIDs could induce peptic ulcers and kidney damage, respectively. (4) Conclusions: This study shed light on the knowledge and patterns of NSAIDs use in the population of Hail, Saudi Arabia. Healthcare providers and policymakers should consider these insights to develop targeted educational initiatives and healthcare interventions to promote safe and informed NSAID utilization in the region.",9.13694784051189e-12
38239496,NA,NA,"The European Commission asked EFSA to update its 2009 risk assessment on arsenic in food carrying out a hazard assessment of inorganic arsenic (iAs) and using the revised exposure assessment issued by EFSA in 2021. Epidemiological studies show that the chronic intake of iAs via diet and/or drinking water is associated with increased risk of several adverse outcomes including cancers of the skin, bladder and lung. The CONTAM Panel used the benchmark dose lower confidence limit based on a benchmark response (BMR) of 5% (relative increase of the background incidence after adjustment for confounders, BMDL05) of 0.06 μg iAs/kg bw per day obtained from a study on skin cancer as a Reference Point (RP). Inorganic As is a genotoxic carcinogen with additional epigenetic effects and the CONTAM Panel applied a margin of exposure (MOE) approach for the risk characterisation. In adults, the MOEs are low (range between 2 and 0.4 for mean consumers and between 0.9 and 0.2 at the 95th percentile exposure, respectively) and as such raise a health concern despite the uncertainties.© 2024 European Food Safety Authority. EFSA Journal published by Wiley‐VCH GmbH on behalf of European Food Safety Authority.",9.11260830304039e-12
38216726,"Identification of blood metabolites associated with risk of Alzheimer's disease by integrating genomics and metabolomics data.","Mol Psychiatry","Specific metabolites have been reported to be potentially associated with Alzheimer's disease (AD) risk. However, the comprehensive understanding of roles of metabolite biomarkers in AD etiology remains elusive. We performed a large AD metabolome-wide association study (MWAS) by developing blood metabolite genetic prediction models. We evaluated associations between genetically predicted levels of metabolites and AD risk in 39,106 clinically diagnosed AD cases, 46,828 proxy AD and related dementia (proxy-ADD) cases, and 401,577 controls. We further conducted analyses to determine microbiome features associated with the detected metabolites and characterize associations between predicted microbiome feature levels and AD risk. We identified fourteen metabolites showing an association with AD risk. Five microbiome features were further identified to be potentially related to associations of five of the metabolites. Our study provides new insights into the etiology of AD that involves blood metabolites and gut microbiome, which warrants further investigation.© 2024. The Author(s), under exclusive licence to Springer Nature Limited.",7.92646312462119e-12
38331875,"Oxidation of DNA and RNA in young patients with newly diagnosed bipolar disorder and relatives.","Transl Psychiatry","Excessive oxidative stress-generated nucleoside damage seems to play a key role in bipolar disorder (BD) and may present a trait phenomenon associated with familial risk and is one of the putative mechanisms explaining accelerated atherosclerosis and premature cardiovascular diseases (CVD) in younger patients with BD. However, oxidative stress-generated nucleoside damage has not been studied in young BD patients and their unaffected relatives (UR). Therefore, we compared oxidative stress-generated damage to DNA and RNA in young patients newly diagnosed with BD, UR, and healthy control individuals (HC). Systemic oxidative stress-generated DNA and RNA damage levels were compared by analyzing urinary levels of 8-oxo-7,8-dihydro-2'-deoxyguanosine and 8-oxo-7,8-dihydroguanosine in participants aged 15-25 years, including 133 patients newly diagnosed with BD, 57 UR, and 83 HC. Compared with HC, damage to DNA was 21.8% higher in BD patients (B = 1.218, 95% CI = 1.111-1.335, p = <0.001) and 22.5% higher in UR (B = 1.225, 95% CI = 1.090-1.377, p = <0.002), while damage to RNA was 14.8% higher in BD patients (B = 1.148, 95% CI = 1.082-1.219, p = <0.001) and 14.0% higher in UR (B = 1.140, 95% CI = 1.055-1.230, p = < 0.001) in models adjusted for sex and age after correction for multiple comparison. Levels did not differ between patients with BD and UR. Our findings support higher oxidative stress-generated nucleoside damage being a trait phenomenon in BD associated with familial risk and highlight the importance of early diagnosis and treatment to prevent illness progression and development of premature CVD.© 2024. The Author(s).",7.22049537423988e-12
38365920,"A signal processing and deep learning framework for methylation detection using Oxford Nanopore sequencing.","Nat Commun","Oxford Nanopore sequencing can detect DNA methylations from ionic current signal of single molecules, offering a unique advantage over conventional methods. Additionally, adaptive sampling, a software-controlled enrichment method for targeted sequencing, allows reduced representation methylation sequencing that can be applied to CpG islands or imprinted regions. Here we present DeepMod2, a comprehensive deep-learning framework for methylation detection using ionic current signal from Nanopore sequencing. DeepMod2 implements both a bidirectional long short-term memory (BiLSTM) model and a Transformer model and can analyze POD5 and FAST5 signal files generated on R9 and R10 flowcells. Additionally, DeepMod2 can run efficiently on central processing unit (CPU) through model pruning and can infer epihaplotypes or haplotype-specific methylation calls from phased reads. We use multiple publicly available and newly generated datasets to evaluate the performance of DeepMod2 under varying scenarios. DeepMod2 has comparable performance to Guppy and Dorado, which are the current state-of-the-art methods from Oxford Nanopore Technologies that remain closed-source. Moreover, we show a high correlation (r = 0.96) between reduced representation and whole-genome Nanopore sequencing. In summary, DeepMod2 is an open-source tool that enables fast and accurate DNA methylation detection from whole-genome or adaptive sequencing data on a diverse range of flowcell types.© 2024. The Author(s).",5.90622530813861e-12
