"","pmid","title","source","abstract"
"311",37701056,"Inferring the Effects of Protein Variants on Protein-Protein Interactions with Interpretable Transformer Representations.","Research (Wash D C)","Identifying pathogenetic variants and inferring their impact on protein-protein interactions sheds light on their functional consequences on diseases. Limited by the availability of experimental data on the consequences of protein interaction, most existing methods focus on building models to predict changes in protein binding affinity. Here, we introduced MIPPI, an end-to-end, interpretable transformer-based deep learning model that learns features directly from sequences by leveraging the interaction data from IMEx. MIPPI was specifically trained to determine the types of variant impact (increasing, decreasing, disrupting, and no effect) on protein-protein interactions. We demonstrate the accuracy of MIPPI and provide interpretation through the analysis of learned attention weights, which exhibit correlations with the amino acids interacting with the variant. Moreover, we showed the practicality of MIPPI in prioritizing de novo mutations associated with complex neurodevelopmental disorders and the potential to determine the pathogenic and driving mutations. Finally, we experimentally validated the functional impact of several variants identified in patients with such disorders. Overall, MIPPI emerges as a versatile, robust, and interpretable model, capable of effectively predicting mutation impacts on protein-protein interactions and facilitating the discovery of clinically actionable variants.Copyright © 2023 Zhe Liu et al."
"312",37695771,"Applying an evolutionary mismatch framework to understand disease susceptibility.","PLoS Biol","Noncommunicable diseases (NCDs) are on the rise worldwide. Obesity, cardiovascular disease, and type 2 diabetes are among a long list of ""lifestyle"" diseases that were rare throughout human history but are now common. The evolutionary mismatch hypothesis posits that humans evolved in environments that radically differ from those we currently experience; consequently, traits that were once advantageous may now be ""mismatched"" and disease causing. At the genetic level, this hypothesis predicts that loci with a history of selection will exhibit ""genotype by environment"" (GxE) interactions, with different health effects in ""ancestral"" versus ""modern"" environments. To identify such loci, we advocate for combining genomic tools in partnership with subsistence-level groups experiencing rapid lifestyle change. In these populations, comparisons of individuals falling on opposite extremes of the ""matched"" to ""mismatched"" spectrum are uniquely possible. More broadly, the work we propose will inform our understanding of environmental and genetic risk factors for NCDs across diverse ancestries and cultures.Copyright: © 2023 Lea et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
"313",37682482,"Predicting Gene Regulatory Interactions Using Natural Genetic Variation.","Methods Mol Biol","Genome-wide association studies (GWAS) are a powerful tool to elucidate the genotype-phenotype map. Although GWAS are usually used to assess simple univariate associations between genetic markers and traits of interest, it is also possible to infer the underlying genetic architecture and to predict gene regulatory interactions. In this chapter, we describe the latest methods and tools to perform GWAS by calculating permutation-based significance thresholds. For this purpose, we first provide guidelines on univariate GWAS analyses that are extended in the second part of this chapter to more complex models that enable the inference of gene regulatory networks and how these networks vary.© 2023. The Author(s), under exclusive license to Springer Science+Business Media, LLC, part of Springer Nature."
"314",37861876,"An overview on neurobiology and therapeutics of attention-deficit/hyperactivity disorder.","Discov Ment Health","Attention-Deficit/Hyperactivity Disorder (ADHD) is a prevalent psychiatric condition characterized by developmentally inappropriate symptoms of inattention and/or hyperactivity/impulsivity, which leads to impairments in the social, academic, and professional contexts. ADHD diagnosis relies solely on clinical assessment based on symptom evaluation and is sometimes challenging due to the substantial heterogeneity of the disorder in terms of clinical and pathophysiological aspects. Despite the difficulties imposed by the high complexity of ADHD etiology, the growing body of research and technological advances provide good perspectives for understanding the neurobiology of the disorder. Such knowledge is essential to refining diagnosis and identifying new therapeutic options to optimize treatment outcomes and associated impairments, leading to improvements in all domains of patient care. This review is intended to be an updated outline that addresses the etiological and neurobiological aspects of ADHD and its treatment, considering the impact of the ""omics"" era on disentangling the multifactorial architecture of ADHD.© 2023. The Author(s)."
"315",37670983,"The role of the gut microbiome and microbial metabolism in mediating opioid-induced changes in the epigenome.","Front Microbiol","The current opioid pandemic is a major public health crisis in the United States, affecting millions of people and imposing significant health and socioeconomic burdens. Preclinical and clinical research over the past few decades has delineated certain molecular mechanisms and identified various genetic, epigenetic, and environmental factors responsible for the pathophysiology and comorbidities associated with opioid use. Opioid use-induced epigenetic modifications have been identified as one of the important factors that mediate genetic changes in brain regions that control reward and drug-seeking behavior and are also implicated in the development of tolerance. Recently, it has been shown that opioid use results in microbial dysbiosis, leading to gut barrier disruption, which drives systemic inflammation, impacting the perception of pain, the development of analgesic tolerance, and behavioral outcomes. In this review, we highlight the potential role of microbiota and microbial metabolites in mediating the epigenetic modifications induced by opioid use.Copyright © 2023 Kolli and Roy."
"316",37846866,"Identification of CD133(+) intercellsomes in intercellular communication to offset intracellular signal deficit.","Elife","CD133 (prominin 1) is widely viewed as a cancer stem cell marker in association with drug resistance and cancer recurrence. Herein, we report that with impaired RTK-Shp2-Ras-Erk signaling, heterogenous hepatocytes form clusters that manage to divide during mouse liver regeneration. These hepatocytes are characterized by upregulated CD133 while negative for other progenitor cell markers. Pharmaceutical inhibition of proliferative signaling also induced CD133 expression in various cancer cell types from multiple animal species, suggesting an inherent and common mechanism of stress response. Super-resolution and electron microscopy localize CD133 on intracellular vesicles that apparently migrate between cells, which we name 'intercellsome.' Isolated CD133+intercellsomes are enriched with mRNAs rather than miRNAs. Single-cell RNA sequencing reveals lower intracellular diversity (entropy) of mitogenic mRNAs in Shp2-deficient cells, which may be remedied by intercellular mRNA exchanges between CD133+cells. CD133-deficient cells are more sensitive to proliferative signal inhibition in livers and intestinal organoids. These data suggest a mechanism of intercellular communication to compensate for intracellular signal deficit in various cell types.© 2023, Kaneko et al."
"317",37662219,"Cell Fate Programming by Transcription Factors and Epigenetic Machinery in Stomatal Development.","bioRxiv","The development of multi-cellular organisms requires coordinated changes in gene expression that are often mediated by the interaction between transcription factors (TFs) and their corresponding cis-regulatory elements (CREs). During development and differentiation, the accessibility of CREs is dynamically modulated by the epigenome. How the epigenome, CREs and TFs together exert control over cell fate commitment remains to be fully understood. In theArabidopsisleaf epidermis, meristemoids undergo a series of stereotyped cell divisions, then switch fate to commit to stomatal differentiation. Newly created or reanalyzed scRNA-seq and ChIP-seq data confirm that stomatal development involves distinctive phases of transcriptional regulation and that differentially regulated genes are bound by the stomatal basic-helix-loop-helix (bHLH) TFs. Targets of the bHLHs often reside in repressive chromatin before activation. MNase-seq evidence further suggests that the repressive state can be overcome and remodeled upon activation by specific stomatal bHLHs. We propose that chromatin remodeling is mediated through the recruitment of a set of physical interactors that we identified through proximity labeling - the ATPase-dependent chromatin remodeling SWI/SNF complex and the histone acetyltransferase HAC1. The bHLHs and chromatin remodelers localize to overlapping genomic regions in a hierarchical order. Furthermore, plants with stage-specific knock-down of the SWI/SNF components or HAC1 fail to activate specific bHLH targets and display stomatal development defects. Together these data converge on a model for how stomatal TFs and epigenetic machinery cooperatively regulate transcription and chromatin remodeling during progressive fate specification."
"318",37880513,"DNA hypomethylation by fisetin preserves mitochondria functional genes and contributes to the protection of I/R rat heart.","Funct Integr Genomics","Myocardial I/R can alter the expression of different sets of cardiac genes that negatively influence the I/R outcome via epigenetic modifications. Fisetin is known to be cardioprotective against I/R, but its underlying epigenetic mode of action is not known and is addressed in the present study. Male Wistar rats were subjected to I/R by using the Langendorff perfusion system. Fisetin (20 mg/kg; i.p.) was administered before I/R induction, followed by the measurement of cardiac injury, hemodynamics, physiological indices, the differential expression of genes that regulate DNA methylation, and the function of mitochondria were performed. Fisetin administered I/R rat heart significantly reduced the global DNA hypermethylation and infarct size with an improved physiological recovery, measured via RPP (81%) and LVDP (82%) from the I/R control. Additionally, we noted decreased expression of the DNMT1 gene by 35% and increased expression of the TET1, TET2, and TET3 genes in fisetin-treated I/R rat hearts. Molecular docking analysis data reveals that the fisetin inhibits DNMT1 at the substrate binding site with minimum binding energy (- 8.2 kcal/mol) compared to the DNMT1 inhibitor, 5-azacytidine. Moreover, fisetin-treated I/R heart reversed the expression of the I/R-linked declined expression of bioenergetics genes (MT-ND1, MT-ND2, MT-ND4, MT-Cyt B, MT-COX1, MT-COX2, MT-ATP6), mitochondrial fission gene (Fis1), replication control genes PGC-1α, POLG, and TFAM to near-normal level. Based on the above findings, we demonstrated that fisetin possesses the ability to modulate the expression of different mitochondrial genes via influencing the global DNA methylation in cardiac tissue, which contributes significantly to the improved contractile function and thereby renders cardioprotection against I/R.© 2023. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature."
"319",37888705,"Neonatal AVPR1a Methylation and In-Utero Exposure to Maternal Smoking.","Toxics","(1) Introduction: Epigenetic changes have been proposed as a biologic link between in-utero exposure to maternal smoking and health outcomes. Therefore, we examined if in-utero exposure to maternal smoking was associated with infant DNA methylation (DNAm) of cytosine-phosphate-guanine dinucleotides (CpG sites) in the arginine vasopressin receptor 1AAVPR1agene. TheAVPR1agene encodes a receptor that interacts with the arginine vasopressin hormone and may influence physiological stress regulation, blood pressure, and child development. (2) Methods: Fifty-two infants were included in this cohort study. Multivariable linear models were used to examine the effect of in-utero exposure to maternal smoking on the mean DNAm of CpG sites located atAVPR1a.(3) Results: After adjusting the model for substance use, infants with in-utero exposure to maternal smoking had a reduction in DNAm atAVPR1aCpG sites by -0.02 (95% CI -0.03, -0.01) at one month of age. In conclusion, in-utero exposure to tobacco smoke can lead to differential patterns of DNAm ofAVPR1aamong infants. Conclusions: Future studies are needed to identify how gene expression in response to early environmental exposures contributes to health outcomes."
"320",37813854,"Deep flanking sequence engineering for efficient promoter design using DeepSEED.","Nat Commun","Designing promoters with desirable properties is essential in synthetic biology. Human experts are skilled at identifying strong explicit patterns in small samples, while deep learning models excel at detecting implicit weak patterns in large datasets. Biologists have described the sequence patterns of promoters via transcription factor binding sites (TFBSs). However, the flanking sequences of cis-regulatory elements, have long been overlooked and often arbitrarily decided in promoter design. To address this limitation, we introduce DeepSEED, an AI-aided framework that efficiently designs synthetic promoters by combining expert knowledge with deep learning techniques. DeepSEED has demonstrated success in improving the properties of Escherichia coli constitutive, IPTG-inducible, and mammalian cell doxycycline (Dox)-inducible promoters. Furthermore, our results show that DeepSEED captures the implicit features in flanking sequences, such as k-mer frequencies and DNA shape features, which are crucial for determining promoter properties.© 2023. Springer Nature Limited."
"321",37777763,NA,NA,"Epigenetic changes can bring insight into gene regulatory mechanisms associated with disease pathogenicity, including chronicity and increased vulnerability. To date, we are yet to identify genes sensitive to epigenetic regulation that contribute to the maintenance of chronic pain and with an epigenetic landscape indicative of the susceptibility to persistent pain. Such genes would provide a novel opportunity for better pain management, as their epigenetic profile could be targeted for the treatment of chronic pain or used as an indication of vulnerability for prevention strategies. Here, we investigated the epigenetic profile of the gene Fkbp5 for this potential, using targeted bisulphite sequencing in rodent pre-clinical models of chronic and latent hypersensitive states.The Fkbp5 promoter DNA methylation (DNAm) signature in the CNS was significantly different between models of persistent pain, and there was a significant correlation between CNS and peripheral blood Fkbp5 DNAm, indicating that further exploration of Fkbp5 promoter DNAm as an indicator of chronic pain pathogenic origin is warranted. We also found that maternal separation, which promotes the persistency of inflammatory pain in adulthood, was accompanied by long-lasting reduction in Fkbp5 DNAm, suggesting that Fkbp5 DNAm profile may indicate the increased vulnerability to chronic pain in individuals exposed to trauma in early life.Overall, our data demonstrate that the Fkbp5 promoter DNAm landscape brings novel insight into the differing pathogenic origins of chronic pain, may be able to stratify patients and predict the susceptibility to chronic pain.© 2023. BioMed Central Ltd., part of Springer Nature."
"322",37711995,"Transcriptome and methylome of the supraoptic nucleus provides insights into the age-dependent loss of neuronal plasticity.","Front Aging Neurosci","The age-dependent loss of neuronal plasticity is a well-known phenomenon that is poorly understood. The loss of this capacity for axonal regeneration is emphasized following traumatic brain injury, which is a major cause of disability and death among adults in the US. We have previously shown the intrinsic capacity of magnocellular neurons within the supraoptic nucleus to undergo axonal regeneration following unilateral axotomization in an age-dependent manner. The aim of this research was to determine the age-dependent molecular mechanisms that may underlie this phenomenon. As such, we characterized the transcriptome and DNA methylome of the supraoptic nucleus in uninjured 35-day old rats and 125-day old rats. Our data indicates the downregulation of a large number of axonogenesis related transcripts in 125-day old rats compared to 35-day old rats. Specifically, several semaphorin and ephrin genes were downregulated, as well as growth factors including FGF's, insulin-like growth factors (IGFs), and brain-derived neurotrophic factor (BDNF). Differential methylation analysis indicates enrichment of biological processes involved in axonogenesis and axon guidance. Conversely, we observed a robust and specific upregulation of MHCI related transcripts. This may involve the activator protein 1 (AP-1) transcription factor complex as motif analysis of differentially methylated regions indicate enrichment of AP-1 binding sites in hypomethylated regions. Together, our data suggests a loss of pro-regenerative capabilities with age which would prevent axonal growth and appropriate innervation following injury.Copyright © 2023 Thompson, Odufuwa, Brissette and Watt."
"323",37884875,"Identification of genetic variants associated with anterior cruciate ligament rupture and AKC standard coat color in the Labrador Retriever.","BMC Genom Data","Canine anterior cruciate ligament (ACL) rupture is a common complex disease. Prevalence of ACL rupture is breed dependent. In an epidemiological study, yellow coat color was associated with increased risk of ACL rupture in the Labrador Retriever. ACL rupture risk variants may be linked to coat color through genetic selection or through linkage with coat color genes. To investigate these associations, Labrador Retrievers were phenotyped as ACL rupture case or controls and for coat color and were single nucleotide polymorphism (SNP) genotyped. After filtering, ~ 697 K SNPs were analyzed using GEMMA and mvBIMBAM for multivariate association. Functional annotation clustering analysis with DAVID was performed on candidate genes. A large 8 Mb region on chromosome 5 that included ACSF3, as well as 32 additional SNPs, met genome-wide significance at P < 6.07E-7 or Log10(BF) = 3.0 for GEMMA and mvBIMBAM, respectively. On chromosome 23, SNPs were located within or near PCCB and MSL2. On chromosome 30, a SNP was located within IGDCC3. SNPs associated with coat color were also located within ADAM9, FAM109B, SULT1C4, RTDR1, BCR, and RGS7. DZIP1L was associated with ACL rupture. Several significant SNPs on chromosomes 2, 3, 7, 24, and 26 were located within uncharacterized regions or long non-coding RNA sequences. This study validates associations with the previous ACL rupture candidate genes ACSF3 and DZIP1L and identifies novel candidate genes. These variants could act as targets for treatment or as factors in disease prediction modeling. The study highlighted the importance of regulatory SNPs in the disease, as several significant SNPs were located within non-coding regions.© 2023. The Author(s)."
"324",37670976,"TNFSF10, an autophagy related gene, was a prognostic and immune infiltration marker in skin cutaneous melanoma.","J Cancer","Autophagy exerts a pivotal effect on skin cutaneous melanoma (SKCM). This study was aimed to investigate the expression of autophagy related genes (ARGs) in SKCM as well as its clinical value. Differentially expressed (DE) ARGs were downloaded from the intersection of SKCM data in GEPIA2 database and ARGs in Human Autophagy Database (HADB) database, and were verified in SKCM datasets GSE46517 and GSE15605. DE ARGs were enriched by Metascape online tools. According to GEPIA2 database, tumor necrosis factor-related apoptosis-inducing ligand (TNFSF10) was identified as a closely related factor and prognostic marker of SKCM. Then the correlation analysis of clinicopathological characteristics between TNFSF10 and SKCM was completed by several online tools such as TISCH, HPA, BEST and qRT-PCR. Subsequently, we investigated TNFSF10 related functions and signal pathways with LinkedOmics online tool, and immune infiltration using Assistant for Clinical Bioinformatics online tool. Furthermore, correlation analysis between TNFSF10 expression and immunotherapy response was performed by TIDE algorithm and BEST online tool. And Kaplan-Meier Plotter was used to assessing the prognosis of SKCM patients receiving immunotherapy. Finally, the correlation analysis among TNFSF10 methylation, TNFSF10 expression and patient prognosis was completed by the DiseaseMeth version 2.0, UCSC XENA and qRT-PCR. ARGs are DE in SKCM and participate in the ERBB signaling pathway, as well as the processing and presentation of antigens. Moreover, TNFSF10's expression along with methylation expression were significantly associated with the prognosis. Low expression of TNFSF10 was associated with malignant clinicopathological features, lower immune signal activity and lower immunocytes abundance in patients with SKCM. As an ARG, TNFSF10 has a potential capacity in predicting the prognosis of SKCM patients, meanwhile, may be a novel immunotherapy marker for SKCM.© The author(s)."
"325",37881651,"NLR48 is Better Than CRP, and mCTSI, and Similar to BISAP and SOFA Scores for Mortality Prediction in Acute Pancreatitis: A Comparison of 6 Scores.","J Inflamm Res","The neutrophil-lymphocyte ratio (NLR) has been suggested as a reliable marker for predicting inflammation progression and severity of acute pancreatitis, although the role of the NLR stratified by etiology is still insufficiently studied. However, the NLR's role in mortality prediction was poorly evaluated in the literature.We performed a retrospective, cross-sectional study to analyze the role of NLR0 (at admission) and NLR48 (at 48 hours) in acute pancreatitis as compared with CRP, BISAP, SOFA, and modified CTSI (mCTSI) for the prediction of mortality and severe acute pancreatitis (SAP) in patients admitted into the Emergency Clinical County Hospital of Craiova during 48 months. The primary assessed outcomes were the rate of in-hospital mortality, the rate of persistent organ failure, and ICU admissions. We analyzed mortality prediction for all acute pancreatitis, for biliary, alcoholic, and hypertriglyceridemic acute pancreatitis, for severe forms, and for patients admitted to the ICU.A total of 725 patients were selected; 42.4% had biliary acute pancreatitis, 27.7% had alcoholic acute pancreatitis, and 8.7% had hypertriglyceridemia-induced acute pancreatitis. A total of 13.6% had POF during admission. The AUC for NLR48 in predicting mortality risk and SAP was 0.81 and 0.785, superior to NLR0, CRP48, and mCTSI but inferior to BISAP and SOFA scores. The NLR48/NLR0 ratio did not add significantly to the accuracy. NLR0 and NLR48 performed poorly for mortality prediction in severe forms and in patients admitted to the ICU. NLR48 has good accuracy in our study for predicting death risk in biliary and alcoholic acute pancreatitis but not in hypertriglyceridemic acute pancreatitis.NLR48 was a good indicator in predicting mortality risk and severe forms in all patients with acute pancreatitis, but not of death in SAP and in patients admitted to ICU, with good accuracy for predicting death risk in biliary and alcoholic acute pancreatitis but not in hypertriglyceridemic acute pancreatitis.© 2023 Cazacu et al."
