,pmid,title,source,abstract
sw,37405974,Contributions of neighborhood social environment and air pollution exposure to Black-White disparities in epigenetic aging.,PLoS One,"Racial disparities in many aging-related health outcomes are persistent and pervasive among older Americans, reflecting accelerated biological aging for Black Americans compared to White, known as weathering. Environmental determinants that contribute to weathering are poorly understood. Having a higher biological age, measured by DNA methylation (DNAm), than chronological age is robustly associated with worse age-related outcomes and higher social adversity. We hypothesize that individual socioeconomic status (SES), neighborhood social environment, and air pollution exposures contribute to racial disparities in DNAm aging according to GrimAge and Dunedin Pace of Aging methylation (DPoAm). We perform retrospective cross-sectional analyses among 2,960 non-Hispanic participants (82% White, 18% Black) in the Health and Retirement Study whose 2016 DNAm age is linked to survey responses and geographic data. DNAm aging is defined as the residual after regressing DNAm age on chronological age. We observe Black individuals have significantly accelerated DNAm aging on average compared to White individuals according to GrimAge (239%) and DPoAm (238%). We implement multivariable linear regression models and threefold decomposition to identify exposures that contribute to this disparity. Exposure measures include individual-level SES, census-tract-level socioeconomic deprivation and air pollution (fine particulate matter, nitrogen dioxide, and ozone), and perceived neighborhood social and physical disorder. Race and gender are included as covariates. Regression and decomposition results show that individual-level SES is strongly associated with and accounts for a large portion of the disparity in both GrimAge and DPoAm aging. Higher neighborhood deprivation for Black participants significantly contributes to the disparity in GrimAge aging. Black participants are more vulnerable to fine particulate matter exposure for DPoAm, perhaps due to individual- and neighborhood-level SES, which may contribute to the disparity in DPoAm aging. DNAm aging may play a role in the environment ""getting under the skin"", contributing to age-related health disparities between older Black and White Americans.Copyright: © 2023 Yannatos et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
,37278618,Associations of four biological age markers with child development: A multi-omic analysis in the European HELIX cohort.,Elife,"While biological age in adults is often understood as representing general health and resilience, the conceptual interpretation of accelerated biological age in children and its relationship to development remains unclear. We aimed to clarify the relationship of accelerated biological age, assessed through two established biological age indicators, telomere length and DNA methylation age, and two novel candidate biological age indicators, to child developmental outcomes, including growth and adiposity, cognition, behavior, lung function and the onset of puberty, among European school-age children participating in the HELIX exposome cohort.The study population included up to 1173 children, aged between 5 and 12 years, from study centres in the UK, France, Spain, Norway, Lithuania, and Greece. Telomere length was measured through qPCR, blood DNA methylation, and gene expression was measured using microarray, and proteins and metabolites were measured by a range of targeted assays. DNA methylation age was assessed using Horvath's skin and blood clock, while novel blood transcriptome and 'immunometabolic' (based on plasma proteins and urinary and serum metabolites) clocks were derived and tested in a subset of children assessed six months after the main follow-up visit. Associations between biological age indicators with child developmental measures as well as health risk factors were estimated using linear regression, adjusted for chronological age, sex, ethnicity, and study centre. The clock derived markers were expressed as Δ age (i.e. predicted minus chronological age).Transcriptome and immunometabolic clocks predicted chronological age well in the test set (r=0.93 andr=0.84 respectively). Generally, weak correlations were observed, after adjustment for chronological age, between the biological age indicators.Among associations with health risk factors, higher birthweight was associated with greater immunometabolic Δ age, smoke exposure with greater DNA methylation Δ age, and high family affluence with longer telomere length.Among associations with child developmental measures, all biological age markers were associated with greater BMI and fat mass, and all markers except telomere length were associated with greater height, at least at nominal significance (p<0.05). Immunometabolic Δ age was associated with better working memory (p=4 e-3) and reduced inattentiveness (p=4 e-4), while DNA methylation Δ age was associated with greater inattentiveness (p=0.03) and poorer externalizing behaviors (p=0.01). Shorter telomere length was also associated with poorer externalizing behaviors (p=0.03).In children, as in adults, biological aging appears to be a multi-faceted process and adiposity is an important correlate of accelerated biological aging. Patterns of associations suggested that accelerated immunometabolic age may be beneficial for some aspects of child development while accelerated DNA methylation age and telomere attrition may reflect early detrimental aspects of biological aging, apparent even in children.UK Research and Innovation (MR/S03532X/1); European Commission (grant agreement numbers: 308333; 874583).© 2023, Robinson et al."
ms,37364131,Antisense oligonucleotide rescue of CGG expansion-dependent FMR1 mis-splicing in fragile X syndrome restores FMRP.,Proc Natl Acad Sci U S A,"Aberrant alternative splicing of mRNAs results in dysregulated gene expression in multiple neurological disorders. Here, we show that hundreds of mRNAs are incorrectly expressed and spliced in white blood cells and brain tissues of individuals with fragile X syndrome (FXS). Surprisingly, theFMR1 (Fragile X Messenger Ribonucleoprotein 1)gene is transcribed in >70% of the FXS tissues. In allFMR1-expressing FXS tissues,FMR1RNA itself is mis-spliced in a CGG expansion-dependent manner to generate the little-knownFMR1-217 RNA isoform, which is comprised ofFMR1exon 1 and a pseudo-exon in intron 1.FMR1-217 is also expressed in FXS premutation carrier-derived skin fibroblasts and brain tissues. We show that in cells aberrantly expressing mis-splicedFMR1, antisense oligonucleotide (ASO) treatment reducesFMR1-217, rescues full-lengthFMR1RNA, and restores FMRP (Fragile X Messenger RibonucleoProtein) to normal levels. Notably,FMR1gene reactivation in transcriptionally silent FXS cells using 5-aza-2'-deoxycytidine (5-AzadC), which prevents DNA methylation, increasesFMR1-217 RNA levels but not FMRP. ASO treatment of cells prior to 5-AzadC application rescues full-lengthFMR1expression and restores FMRP. These findings indicate that misregulated RNA-processing events in blood could serve as potent biomarkers for FXS and that in those individuals expressingFMR1-217, ASO treatment may offer a therapeutic approach to mitigate the disorder."
,37414898,A prognostic risk score for development and spread of chronic pain.,Nat Med,"Chronic pain is a complex condition influenced by a combination of biological, psychological and social factors. Using data from the UK Biobank (n = 493,211), we showed that pain spreads from proximal to distal sites and developed a biopsychosocial model that predicted the number of coexisting pain sites. This data-driven model was used to identify a risk score that classified various chronic pain conditions (area under the curve (AUC) 0.70-0.88) and pain-related medical conditions (AUC 0.67-0.86). In longitudinal analyses, the risk score predicted the development of widespread chronic pain, the spreading of chronic pain across body sites and high-impact pain about 9 years later (AUC 0.68-0.78). Key risk factors included sleeplessness, feeling 'fed-up', tiredness, stressful life events and a body mass index >30. A simplified version of this score, named the risk of pain spreading, obtained similar predictive performance based on six simple questions with binarized answers. The risk of pain spreading was then validated in the Northern Finland Birth Cohort (n = 5,525) and the PREVENT-AD cohort (n = 178), obtaining comparable predictive performance. Our findings show that chronic pain conditions can be predicted from a common set of biopsychosocial factors, which can aid in tailoring research protocols, optimizing patient randomization in clinical trials and improving pain management.© 2023. The Author(s)."
sw,37461498,Effect of Parental Adverse Childhood Experiences on Intergenerational DNA Methylation Signatures.,Res Sq,"Adverse Childhood Experiences (ACEs) are events that occur before a child turns 18 years old that may cause trauma. In this study, the effect of cumulative ACEs experienced on human maternal DNA methylation (DNAm) was estimated while accounting for interaction with domains of ACEs in prenatal peripheral blood mononuclear cell samples from the Maternal and Developmental Risks from Environmental Stressors (MADRES) pregnancy cohort. The intergenerational transmission of ACE-associated DNAm was also explored used paired maternal and neonatal cord blood samples. Replication in buccal samples was explored in the Children's Health Study (CHS). We used a four-level categorical indicator variable for ACEs exposure: none (0 ACEs), low (1-3 ACEs), moderate (4-6 ACEs), and high (> 6 ACEs). Effects of ACEs on maternal DNAm (N = 240) were estimated using linear models. To evaluate evidence for intergenerational transmission, mediation analysis was used. Analysis of maternal samples displayed some shared but mostly distinct effects of ACEs on DNAm across low, moderate, and high ACEs categories.CLCN7andPTPRN2was associated with maternal DNAm in the low ACE group and this association replicated in the CHS. ACE-associated methylation was observed in maternal and neonatal profiles in theCOMTpromoter region, with some evidence of mediation by maternalCOMTmethylation. Specific genomic loci exhibited mutually exclusive maternal ACE effects on DNAm in either maternal or neonatal population. There is some evidence for an intergenerational effect of ACEs, supported by shared DNAm signatures in theCOMTgene across maternal-neonatal paired samples."
,37430364,CimpleG: finding simple CpG methylation signatures.,Genome Biol,"DNA methylation signatures are usually based on multivariate approaches that require hundreds of sites for predictions. Here, we propose a computational framework named CimpleG for the detection of small CpG methylation signatures used for cell-type classification and deconvolution. We show that CimpleG is both time efficient and performs as well as top performing methods for cell-type classification of blood cells and other somatic cells, while basing its prediction on a single DNA methylation site per cell type. Altogether, CimpleG provides a complete computational framework for the delineation of DNAm signatures and cellular deconvolution.© 2023. The Author(s)."
,37443060,Stability selection enhances feature selection and enables accurate prediction of gestational age using only five DNA methylation sites.,Clin Epigenetics,"DNA methylation (DNAm) is robustly associated with chronological age in children and adults, and gestational age (GA) in newborns. This property has enabled the development of several epigenetic clocks that can accurately predict chronological age and GA. However, the lack of overlap in predictive CpGs across different epigenetic clocks remains elusive. Our main aim was therefore to identify and characterize CpGs that are stably predictive of GA.We applied a statistical approach called 'stability selection' to DNAm data from 2138 newborns in the Norwegian Mother, Father, and Child Cohort study. Stability selection combines subsampling with variable selection to restrict the number of false discoveries in the set of selected variables. Twenty-four CpGs were identified as being stably predictive of GA. Intriguingly, only up to 10% of the CpGs in previous GA clocks were found to be stably selected. Based on these results, we used generalized additive model regression to develop a new GA clock consisting of only five CpGs, which showed a similar predictive performance as previous GA clocks (R2 = 0.674, median absolute deviation = 4.4 days). These CpGs were in or near genes and regulatory regions involved in immune responses, metabolism, and developmental processes. Furthermore, accounting for nonlinear associations improved prediction performance in preterm newborns.We present a methodological framework for feature selection that is broadly applicable to any trait that can be predicted from DNAm data. We demonstrate its utility by identifying CpGs that are highly predictive of GA and present a new and highly performant GA clock based on only five CpGs that is more amenable to a clinical setting.© 2023. The Author(s)."
,37447167,Association of the DNA Methylation of Obesity-Related Genes with the Dietary Nutrient Intake in Children.,Nutrients,"The occurrence of obesity stems from both genetic and external influences. Despite thorough research and attempts to address it through various means such as dietary changes, physical activity, education, and medications, a lasting solution to this widespread problem remains elusive. Nutrients play a crucial role in various cellular processes, including the regulation of gene expression. One of the mechanisms by which nutrients can affect gene expression is through DNA methylation. This modification can alter the accessibility of DNA to transcription factors and other regulatory proteins, thereby influencing gene expression. Nutrients such as folate and vitamin B12 are involved in the one-carbon metabolism pathway, which provides the methyl groups necessary for DNA methylation. Studies have shown that the inadequate intake of these nutrients can lead to alterations in DNA methylation patterns. For this study, we aim to understand the differences in the association of the dietary intake between normal weight and overweight/obese children and between European American and African American children with the DNA methylation of the three genesNRF1,FTO, andLEPR. The research discovered a significant association between the nutritional intake of 6-10-years-old children, particularly the methyl donors present in their diet, and the methylation of theNRF1,FTO, andLEPRgenes. Additionally, the study emphasizes the significance of considering health inequalities, particularly family income and maternal education, when investigating the epigenetic impact of methyl donors in diet and gene methylation."
ms,37495687,Evolutionary histories of breast cancer and related clones.,Nature,"Recent studies have documented frequent evolution of clones carrying common cancer mutations in apparently normal tissues, which are implicated in cancer development1-3. However, our knowledge is still missing with regard to what additional driver events take place in what order, before one or more of these clones in normal tissues ultimately evolve to cancer. Here, using phylogenetic analyses of multiple microdissected samples from both cancer and non-cancer lesions, we show unique evolutionary histories of breast cancers harbouring der(1;16), a common driver alteration found in roughly 20% of breast cancers. The approximate timing of early evolutionary events was estimated from the mutation rate measured in normal epithelial cells. In der(1;16)(+) cancers, the derivative chromosome was acquired from early puberty to late adolescence, followed by the emergence of a common ancestor by the patient's early 30s, from which both cancer and non-cancer clones evolved. Replacing the pre-existing mammary epithelium in the following years, these clones occupied a large area within the premenopausal breast tissues by the time of cancer diagnosis. Evolution of multiple independent cancer founders from the non-cancer ancestors was common, contributing to intratumour heterogeneity. The number of driver events did not correlate with histology, suggesting the role of local microenvironments and/or epigenetic driver events. A similar evolutionary pattern was also observed in another case evolving from an AKT1-mutated founder. Taken together, our findings provide new insight into how breast cancer evolves.© 2023. The Author(s)."
,37443254,Leveraging polygenic enrichments of gene features to predict genes underlying complex traits and diseases.,Nat Genet,"Genome-wide association studies (GWASs) are a valuable tool for understanding the biology of complex human traits and diseases, but associated variants rarely point directly to causal genes. In the present study, we introduce a new method, polygenic priority score (PoPS), that learns trait-relevant gene features, such as cell-type-specific expression, to prioritize genes at GWAS loci. Using a large evaluation set of genes with fine-mapped coding variants, we show that PoPS and the closest gene individually outperform other gene prioritization methods, but observe the best overall performance by combining PoPS with orthogonal methods. Using this combined approach, we prioritize 10,642 unique gene-trait pairs across 113 complex traits and diseases with high precision, finding not only well-established gene-trait relationships but nominating new genes at unresolved loci, such as LGR4 for estimated glomerular filtration rate and CCR7 for deep vein thrombosis. Overall, we demonstrate that PoPS provides a powerful addition to the gene prioritization toolbox.© 2023. The Author(s), under exclusive licence to Springer Nature America, Inc."
,37468586,Organization of the human intestine at single-cell resolution.,Nature,"The intestine is a complex organ that promotes digestion, extracts nutrients, participates in immune surveillance, maintains critical symbiotic relationships with microbiota and affects overall health1. The intesting has a length of over nine metres, along which there are differences in structure and function2. The localization of individual cell types, cell type development trajectories and detailed cell transcriptional programs probably drive these differences in function. Here, to better understand these differences, we evaluated the organization of single cells using multiplexed imaging and single-nucleus RNA and open chromatin assays across eight different intestinal sites from nine donors. Through systematic analyses, we find cell compositions that differ substantially across regions of the intestine and demonstrate the complexity of epithelial subtypes, and find that the same cell types are organized into distinct neighbourhoods and communities, highlighting distinct immunological niches that are present in the intestine. We also map gene regulatory differences in these cells that are suggestive of a regulatory differentiation cascade, and associate intestinal disease heritability with specific cell types. These results describe the complexity of the cell composition, regulation and organization for this organ, and serve as an important reference map for understanding human biology and disease.© 2023. The Author(s)."
x,37500728,Single-molecule genome-wide mutation profiles of cell-free DNA for non-invasive detection of cancer.,Nat Genet,"Somatic mutations are a hallmark of tumorigenesis and may be useful for non-invasive diagnosis of cancer. We analyzed whole-genome sequencing data from 2,511 individuals in the Pan-Cancer Analysis of Whole Genomes (PCAWG) study as well as 489 individuals from four prospective cohorts and found distinct regional mutation type-specific frequencies in tissue and cell-free DNA from patients with cancer that were associated with replication timing and other chromatin features. A machine-learning model using genome-wide mutational profiles combined with other features and followed by CT imaging detected >90% of patients with lung cancer, including those with stage I and II disease. The fixed model was validated in an independent cohort, detected patients with cancer earlier than standard approaches and could be used to monitor response to therapy. This approach lays the groundwork for non-invasive cancer detection using genome-wide mutation features that may facilitate cancer screening and monitoring.© 2023. The Author(s)."
x,37399400,Comprehensive tissue deconvolution of cell-free DNA by deep learning for disease diagnosis and monitoring.,Proc Natl Acad Sci U S A,"Plasma cell-free DNA (cfDNA) is a noninvasive biomarker for cell death of all organs. Deciphering the tissue origin of cfDNA can reveal abnormal cell death because of diseases, which has great clinical potential in disease detection and monitoring. Despite the great promise, the sensitive and accurate quantification of tissue-derived cfDNA remains challenging to existing methods due to the limited characterization of tissue methylation and the reliance on unsupervised methods. To fully exploit the clinical potential of tissue-derived cfDNA, here we present one of thelargestcomprehensive and high-resolution methylation atlas based on 521 noncancer tissue samples spanning 29 major types of human tissues. We systematically identified fragment-level tissue-specific methylation patterns and extensively validated them in orthogonal datasets. Based on the rich tissue methylation atlas, we develop thefirstsupervised tissue deconvolution approach, a deep-learning-powered model,cfSort, for sensitive and accurate tissue deconvolution in cfDNA. On the benchmarking data,cfSortshowed superior sensitivity and accuracy compared to the existing methods. We further demonstrated the clinical utilities ofcfSortwith two potential applications: aiding disease diagnosis and monitoring treatment side effects. The tissue-derived cfDNA fraction estimated fromcfSortreflected the clinical outcomes of the patients. In summary, the tissue methylation atlas andcfSortenhanced the performance of tissue deconvolution in cfDNA, thus facilitating cfDNA-based disease detection and longitudinal treatment monitoring."
