present,ec,date,type,pmid,title,source,abstract
x,Yes,,ewas,35998020,Whole-genome bisulfite sequencing analysis of circulating tumour DNA for the detection and molecular classification of cancer.,Clin Transl Med,"Cancer cell-specific variation and circulating tumour DNA (ctDNA) methylation are promising biomarkers for non-invasive cancer detection and molecular classification. Nevertheless, the applications of ctDNA to the early detection and screening of cancer remain highly challenging due to the scarcity of cancer cell-specific ctDNA, the low signal-to-noise ratio of DNA variation, and the lack of non-locus-specific DNA methylation technologies.We enrolled three cohorts of breast cancer (BC) patients from two hospitals in China (BC: n = 123; healthy controls: n = 40). We developed a ctDNA whole-genome bisulfite sequencing technology employing robust trace ctDNA capture from up to 200 μL plasma, mini-input (1 ng) library preparation, unbiased genome-wide coverage and comprehensive computational methods.A diagnostic signature comprising 15 ctDNA methylation markers exhibited high accuracy in the early (area under the curve [AUC] of 0.967) and advanced (AUC of 0.971) BC stages in multicentre patient cohorts. Furthermore, we revealed a ctDNA methylation signature that discriminates estrogen receptor status (Training set: AUC of 0.984 and Test set: AUC of 0.780). Different cancer types, including hepatocellular carcinoma and lung cancer, could also be well distinguished.Our study provides a toolset to generate unbiased whole-genome ctDNA methylomes with a minimal amount of plasma to develop highly specific and sensitive biomarkers for the early diagnosis and molecular subtyping of cancer.© 2022 The Authors. Clinical and Translational Medicine published by John Wiley & Sons Australia, Ltd on behalf of Shanghai Institute of Clinical Bioinformatics."
,Yes,,ewas,35995800,Epigenome-wide association study of human frontal cortex identifies differential methylation in Lewy body pathology.,Nat Commun,"Parkinson's disease (PD) and dementia with Lewy bodies (DLB) are closely related progressive disorders with no available disease-modifying therapy, neuropathologically characterized by intraneuronal aggregates of misfolded α-synuclein. To explore the role of DNA methylation changes in PD and DLB pathogenesis, we performed an epigenome-wide association study (EWAS) of 322 postmortem frontal cortex samples and replicated results in an independent set of 200 donors. We report novel differentially methylated replicating loci associated with Braak Lewy body stage near TMCC2, SFMBT2, AKAP6 and PHYHIP. Differentially methylated probes were independent of known PD genetic risk alleles. Meta-analysis provided suggestive evidence for a differentially methylated locus within the chromosomal region affected by the PD-associated 22q11.2 deletion. Our findings elucidate novel disease pathways in PD and DLB and generate hypotheses for future molecular studies of Lewy body pathology.© 2022. The Author(s)."
,Yes,,ewas,35993851,Molecular networks in atopic mothers impact the risk of infant atopy.,Allergy,"The prevalence of atopic diseases has increased with atopic dermatitis (AD) as the earliest manifestation. We assessed if molecular risk factors in atopic mothers influence their infants' susceptibility to an atopic disease.Pregnant women and their infants with (n=174, high-risk) or without (n=126, low-risk) parental atopy were enrolled in a prospective birth cohort. Global differentially methylated regions (DMRs) were determined in atopic (n=92) and non-atopic (n=82) mothers. Principal component analysis was used to predict atopy risk in children dependent on maternal atopy. Genome-wide transcriptomic analyses were performed in paired atopic (n=20) and non-atopic (n=15) mothers and cord blood. Integrative genomic analyses were conducted to define methylation-gene expression relationships.AD was more prevalent in high-risk compared to low-risk children by age 2. Differential methylation analyses identified 165 DMRs distinguishing atopic from non-atopic mothers. Inclusion of DMRs in addition to maternal atopy significantly increased the odds ratio to develop AD in children from 2.56 to 4.26. In atopic compared to non-atopic mothers, 139 differentially expressed genes (DEGs) were identified significantly enriched of genes within the interferon signaling pathway. Expression quantitative trait methylation analyses dependent on maternal atopy identified 29 DEGs controlled by 136 trans-acting methylation marks, some located near transcription factors. Differential expression for the same 9 genes, including MX1 and IFI6 within the interferon pathway, was identified in atopic and non-atopic mothers and high-risk and low-risk children.These data suggest that in utero epigenetic and transcriptomic mechanisms predominantly involving the interferon pathway may impact and predict the development of infant atopy.This article is protected by copyright. All rights reserved."
,Yes,,ewas,35987900,Pre-diagnostic DNA methylation in blood leucocytes in cutaneous melanoma; a nested case-control study within the Norwegian Women and Cancer cohort.,Sci Rep,"The prognosis of cutaneous melanoma depends on early detection, and good biomarkers for melanoma risk may provide a valuable tool to detect melanoma development at a pre-clinical stage. By studying the epigenetic profile in pre-diagnostic blood samples of melanoma cases and cancer free controls, we aimed to identify DNA methylation sites conferring melanoma risk. DNA methylation was measured at 775,528 CpG sites using the Illumina EPIC array in whole blood in incident melanoma cases (n = 183) and matched cancer-free controls (n = 183) in the Norwegian Women and Cancer cohort. Phenotypic information and ultraviolet radiation exposure were obtained from questionnaires. Epigenome wide association (EWAS) was analyzed in future melanoma cases and controls with conditional logistic regression, with correction for multiple testing using the false discovery rate (FDR). We extended the analysis by including a public data set on melanoma (GSE120878), and combining these different data sets using a version of covariate modulated FDR (AdaPT). The analysis on future melanoma cases and controls did not identify any genome wide significant CpG sites (0.85 ≤ padj ≤ 0.99). In the restricted AdaPT analysis, 7 CpG sites were suggestive at the FDR level of 0.15. These CpG sites may potentially be used as pre-diagnostic biomarkers of melanoma risk.© 2022. The Author(s)."
,Yes,,ewas,35982059,Cross-tissue analysis of blood and brain epigenome-wide association studies in Alzheimer's disease.,Nat Commun,"To better understand DNA methylation in Alzheimer's disease (AD) from both mechanistic and biomarker perspectives, we performed an epigenome-wide meta-analysis of blood DNA methylation in two large independent blood-based studies in AD, the ADNI and AIBL studies, and identified 5 CpGs, mapped to the SPIDR, CDH6 genes, and intergenic regions, that are significantly associated with AD diagnosis. A cross-tissue analysis that combined these blood DNA methylation datasets with four brain methylation datasets prioritized 97 CpGs and 10 genomic regions that are significantly associated with both AD neuropathology and AD diagnosis. An out-of-sample validation using the AddNeuroMed dataset showed the best performing logistic regression model includes age, sex, immune cell type proportions, and methylation risk score based on prioritized CpGs in cross-tissue analysis (AUC = 0.696, 95% CI: 0.616 - 0.770, P-value = 2.78 × 10-5). Our study offers new insights into epigenetics in AD and provides a valuable resource for future AD biomarker discovery.© 2022. The Author(s)."
,Yes,,ewas,35979830,Soluble CD14-associated DNA methylation sites predict mortality among men with HIV infection.,AIDS,"Elevated plasma levels of sCD14 predict all-cause mortality in people with HIV (PWH). Epigenetic regulation plays a key role in infection and inflammation. To reveal the epigenetic relationships between sCD14, immune function and disease progression among PWH, we conducted an epigenome-wide association study (EWAS) of sCD14 and investigated the relationship with mortality.DNA methylation (DNAm) levels of peripheral blood samples from PWH in the Veterans Aging Cohort Study (VACS) were measured using the Illumina Infinium Methylation 450K (n = 549) and EPIC (850K) BeadChip (n = 526). Adjusted for covariates and multiple testing, we conducted an epigenome-wide discovery, replication, and meta-analysis to identify significant associations with sCD14. We then examined and replicated the relationship between the principal epigenetic sites and survival using Cox regression models.We identified 118 DNAm sites significantly associated with sCD14 in the meta-analysis of 1075 PWH. The principal associated DNAm sites mapped to genes (e.g. STAT1, PARP9, IFITM1, MX1, and IFIT1) related to inflammation and antiviral response. Adjusting for multiple testing, 10 of 118 sCD14-associated DNAm sites significantly predicted survival time conditional on sCD14 levels.The identification of DNAm sites independently predicting survival may improve our understanding of prognosis and potential therapeutic targets among PWH.Copyright © 2022 Wolters Kluwer Health, Inc. All rights reserved."
,Yes,,ewas,35977396,Intake of mother's milk by very low birth weight infants and variation in DNA methylation of genes involved in neurodevelopment at 5.5 years.,Am J Clin Nutr,"Mechanisms responsible for associations between intake of mother's milk (MM) in very low birth weight (VLBW, <1500 grams) infants and later neurodevelopment are poorly understood. It is proposed that early nutrition may affect neurodevelopmental pathways by altering gene expression through epigenetic modification. Variation in DNA methylation (DNAm) at cytosine-guanine dinucleotides (CpGs) is a commonly studied epigenetic modification.To assess whether early MM intake by VLBW infants is associated with variations in DNAm at 5.5 years, and whether these variations correlate with neurodevelopmental phenotypes.This cohort study was a 5.5-year follow-up (2016-2018) of VLBW infants born in Ontario, Canada who participated in the Donor Milk for Improved Neurodevelopmental Outcomes trial. We performed an epigenome-wide association study (EWAS) to test whether % MM (not including supplemental donor milk) during hospitalization was associated with DNAm in buccal cells during early childhood (5.7 ± 0.2 years, n = 143; birth weight of 1008 ± 517 grams). DNAm was assessed with the Illumina Infinium MethylationEPIC array at 814,583 CpGs. In secondary analyses, we tested associations between top-ranked CpGs and measures of early childhood neurodevelopment, e.g., total surface area of the cerebral cortex (n = 41, magnetic resonance imaging) and Full-Scale IQ (n = 133, Wechsler Preschool and Primary Scale of Intelligence-IV).EWAS analysis demonstrated % MM intake by VLBW infants during hospitalization was associated with DNAm at 2 CpGs, cg03744440 (MYO15B) and cg00851389 (MT1A) at 5.5 years (P < 9E-08). Gene Set Enrichment Analysis indicated that top-ranked CpGs (P < 0.001) were annotated to genes enriched in neurodevelopmental biological processes. Corroborating these findings, DNAm at several top identified CpGs from EWAS was associated with cortical surface area and IQ at 5.5 years (P < 0.05).In-hospital % MM intake by VLBW infants was associated with variations in DNAm of neurodevelopmental genes at 5.5 years; some of these DNAm variations are associated with brain structure and IQ. Clinical Trial Registration: ISRCTN35317141 at isrctn.com and NCT02759809 at clinicaltrials.gov.© The Author(s) 2022. Published by Oxford University Press on behalf of the American Society for Nutrition."
,Yes,,ewas,35965483,"Epigenome-wide association study analysis of calorie restriction in humans, CALERIE TM Trial analysis.",J Gerontol A Biol Sci Med Sci,"Calorie restriction (CR) increases healthy lifespan and is accompanied by slowing or reversal of aging-associated DNA methylation (DNAm) changes in animal models. In the Comprehensive Assessment of Long-term Effects of Reducing Intake of Energy (CALERIE TM) human trial we evaluated associations of CR and changes in whole-blood DNAm.CALERIE TM randomized 220 healthy, non-obese adults in a 2:1 allocation to two years of CR or ad libitum (AL) diet. The average CR in the treatment group through 24-months of follow-up was 12%. Whole blood (baseline, 12 and 24 month) DNAm profiles were measured. Epigenome-wide association study (EWAS) analysis tested CR-induced changes from baseline to 12- and 24-months in the n=197 participants with available DNAm data.CR treatment was not associated with epigenome-wide significant (FDR<0.05) DNAm changes at the individual-CpG-site level. Secondary analysis of sets of CpG sites identified in published EWAS revealed that CR induced DNAm changes opposite to those associated with higher body mass index and cigarette smoking (p<0.003 at 12- and 24-month follow-ups). In contrast, CR altered DNAm at chronological-age associated CpG sites in the direction of older age (p<0.003 at 12- and 24-month follow-ups).Although individual CpG site DNAm changes in response to CR were not identified, analyses of sets CpGs identified in prior EWAS revealed CR-induced changes to blood DNAm. Altered CpG sets were enriched for insulin-production, glucose-tolerance, inflammation, and DNA-binding and -regulation pathways, several of which are known to be modified by CR. DNAm changes may contribute to CR effects on aging.© The Author(s) 2022. Published by Oxford University Press on behalf of The Gerontological Society of America."
x,Yes,,ewas,35945220,Integrated methylome and phenome study of the circulating proteome reveals markers pertinent to brain health.,Nat Commun,"Characterising associations between the methylome, proteome and phenome may provide insight into biological pathways governing brain health. Here, we report an integrated DNA methylation and phenotypic study of the circulating proteome in relation to brain health. Methylome-wide association studies of 4058 plasma proteins are performed (N = 774), identifying 2928 CpG-protein associations after adjustment for multiple testing. These are independent of known genetic protein quantitative trait loci (pQTLs) and common lifestyle effects. Phenome-wide association studies of each protein are then performed in relation to 15 neurological traits (N = 1,065), identifying 405 associations between the levels of 191 proteins and cognitive scores, brain imaging measures or APOE e4 status. We uncover 35 previously unreported DNA methylation signatures for 17 protein markers of brain health. The epigenetic and proteomic markers we identify are pertinent to understanding and stratifying brain health.© 2022. The Author(s)."
,Yes,,ewas,35947335,DNA methylation trajectories and accelerated epigenetic aging in incident type 2 diabetes.,Geroscience,"DNA methylation (DNAm) patterns across the genome changes during aging and development of complex diseases including type 2 diabetes (T2D). Our study aimed to estimate DNAm trajectories of CpG sites associated with T2D, epigenetic age (DNAmAge), and age acceleration based on four epigenetic clocks (GrimAge, Hannum, Horvath, phenoAge) in the period 10 years prior to and up to T2D onset. In this nested case-control study within Doetinchem Cohort Study, we included 132 incident T2D cases and 132 age- and sex-matched controls. DNAm was measured in blood using the Illumina Infinium Methylation EPIC array. From 107 CpG sites associated with T2D, 10 CpG sites (9%) showed different slopes of DNAm trajectories over time (p < 0.05) and an additional 8 CpG sites (8%) showed significant differences in DNAm levels (at least 1%, p-value per time point < 0.05) at all three time points with nearly parallel trajectories between incident T2D cases and controls. In controls, age acceleration levels were negative (slower epigenetic aging), while in incident T2D cases, levels were positive, suggesting accelerated aging in the case group. We showed that DNAm levels at specific CpG sites, up to 10 years before T2D onset, are different between incident T2D cases and healthy controls and distinct patterns of clinical traits over time may have an impact on those DNAm profiles. Up to 10 years before T2D diagnosis, cases manifested accelerated epigenetic aging. Markers of biological aging including age acceleration estimates based on Horvath need further investigation to assess their utility for predicting age-related diseases including T2D.© 2022. The Author(s), under exclusive licence to American Aging Association."
,Yes,,ewas,35879030,Methylome-wide Association Study of Patients with Recent-onset Psychosis.,Clin Psychopharmacol Neurosci,"Dysregulation of gene expression through epigenetic mechanisms may have a vital role in the pathogenesis of schizophrenia (SZ). In this study, we investigated the association of altered methylation patterns with SZ symptoms and early trauma in patients and healthy controls.The present study was conducted to identify methylation changes in CpG sites in peripheral blood associated with recent-onset (RO) psychosis using methylome-wide analysis. Lifestyle factors, such as smoking, alcohol, exercise, and diet, were controlled.We identified 2,912 differentially methylated CpG sites in patients with RO psychosis compared to controls. Most of the genes associated with the top 20 differentially methylated sites had not been reported in previous methylation studies and were involved in apoptosis, autophagy, axonal growth, neuroinflammation, protein folding, etc. The top 15 significantly enriched Kyoto Encyclopedia of Genes and Genomes pathways included the oxytocin signaling pathway, long-term depression pathway, axon guidance, endometrial cancer, long-term potentiation, mitogen-activated protein kinase signaling pathway, and glutamatergic pathway, among others. In the patient group, significant associations of novel methylated genes with early trauma and psychopathology were observed.Our results suggest an association of differential DNA methylation with the pathophysiology of psychosis and early trauma. Blood DNA methylation signatures show promise as biomarkers of future psychosis."
x,Yes,,ewas,35930640,Neonatal BCG vaccination is associated with a long-term DNA methylation signature in circulating monocytes.,Sci Adv,"Trained immunity describes the capacity of innate immune cells to develop heterologous memory in response to certain exogenous exposures. This phenomenon mediates, at least in part, the beneficial off-target effects of the BCG vaccine. Using an in vitro model of trained immunity, we show that BCG exposure induces a persistent change in active histone modifications, DNA methylation, transcription, and adenosine-to-inosine RNA modification in human monocytes. By profiling DNA methylation of circulating monocytes from infants in the MIS BAIR clinical trial, we identify a BCG-associated DNA methylation signature that persisted more than 12 months after neonatal BCG vaccination. Genes associated with this epigenetic signature are involved in viral response pathways, consistent with the reported off-target protection against viral infections in neonates, adults, and the elderly. Our findings indicate that the off-target effects of BCG in infants are accompanied by epigenetic remodeling of circulating monocytes that lasts more than 1 year."
,No,,mediation,35989709,Large-Scale Hypothesis Testing for Causal Mediation Effects with Applications in Genome-wide Epigenetic Studies.,J Am Stat Assoc,"In genome-wide epigenetic studies, it is of great scientific interest to assess whether the effect of an exposure on a clinical outcome is mediated through DNA methylations. However, statistical inference for causal mediation effects is challenged by the fact that one needs to test a large number of composite null hypotheses across the whole epigenome. Two popular tests, the Wald-type Sobel's test and the joint significant test using the traditional null distribution are underpowered and thus can miss important scientific discoveries. In this paper, we show that the null distribution of Sobel's test is not the standard normal distribution and the null distribution of the joint significant test is not uniform under the composite null of no mediation effect, especially in finite samples and under the singular point null case that the exposure has no effect on the mediator and the mediator has no effect on the outcome. Our results explain why these two tests are underpowered, and more importantly motivate us to develop a more powerful Divide-Aggregate Composite-null Test (DACT) for the composite null hypothesis of no mediation effect by leveraging epigenome-wide data. We adopted Efron's empirical null framework for assessing statistical significance of the DACT test. We showed analytically that the proposed DACT method had improved power, and could well control type I error rate. Our extensive simulation studies showed that, in finite samples, the DACT method properly controlled the type I error rate and outperformed Sobel's test and the joint significance test for detecting mediation effects. We applied the DACT method to the US Department of Veterans Affairs Normative Aging Study, an ongoing prospective cohort study which included men who were aged 21 to 80 years at entry. We identified multiple DNA methylation CpG sites that might mediate the effect of smoking on lung function with effect sizes ranging from -0.18 to -0.79 and false discovery rate controlled at level 0.05, including the CpG sites in the genes AHRR and F2RL3. Our sensitivity analysis found small residual correlations (less than 0.01) of the error terms between the outcome and mediator regressions, suggesting that our results are robust to unmeasured confounding factors."
