who,type,pmid,title,source,abstract
scott,ewas,36708841,Associations of selenium exposure with blood lipids: Exploring mediating DNA methylation sites in general Chinese urban non-smokers.,Sci Total Environ,"Selenium (Se) is widely distributed in the total environment and people are commonly exposed to Se, while the potential effects and mechanisms of Se exposure on blood lipids have not been well established. This study aimed to assess the associations of urinary Se (SeU) with blood lipids and explore the potential mediating DNA methylation sites. We included 2844 non-smoke participants from the second follow-up (2017-2018) of the Wuhan-Zhuhai cohort (WHZH) in this study. SeU and blood lipids [i.e., total cholesterol (TC), triglycerides (TG), low-density lipoprotein cholesterol (LDL), and high-density lipoprotein cholesterol (HDL)] for all participants were determined. The associations of SeU with blood lipids were analyzed by generalized linear models. Then, we conducted the blood lipids related epigenome-wide association studies (EWAS) among 221 never smokers, and the mediation analysis was conducted to explore the potential mediating cytosine-phosphoguanine (CpG) sites in the above associations. In this study, the SeU concentration of the participants in this study was 1.40 (0.94, 2.08) μg/mmol Cr. The SeU was positively associated with TC and LDL, and not associated with TG and HDL. We found 131, 3, and 1 new CpG sites related to TC, HDL, and LDL, respectively. Mediation analyses found that the methylation of cg06964030 (within MIR1306) and cg15824094 (within PLCH2) significantly mediated the positive association between SeU and TC. In conclusion, high levels of Se exposure were associated with increased TC and LDL among non-smokers, and the methylation of MIR1306 and PLCH2 partly mediated Se-associated TC increase. These findings provide new insights into the effects and mechanisms of Se exposure on lipids metabolism and highlight the importance of controlling Se exposure and intake for preventing high blood lipids.Copyright © 2023. Published by Elsevier B.V."
scott,ml,36609221,Machine learning to analyse omic-data for COVID-19 diagnosis and prognosis.,BMC Bioinformatics,"With the global spread of COVID-19, the world has seen many patients, including many severe cases. The rapid development of machine learning (ML) has made significant disease diagnosis and prediction achievements. Current studies have confirmed that omics data at the host level can reflect the development process and prognosis of the disease. Since early diagnosis and effective treatment of severe COVID-19 patients remains challenging, this research aims to use omics data in different ML models for COVID-19 diagnosis and prognosis. We used several ML models on omics data of a large number of individuals to first predict whether patients are COVID-19 positive or negative, followed by the severity of the disease.On the COVID-19 diagnosis task, we got the best AUC of 0.99 with our multilayer perceptron model and the highest F1-score of 0.95 with our logistic regression (LR) model. For the severity prediction task, we achieved the highest accuracy of 0.76 with an LR model. Beyond classification and predictive modeling, our study founds ML models performed better on integrated multi-omics data, rather than single omics. By comparing top features from different omics dataset, we also found the robustness of our model, with a wider range of applicability in diverse dataset related to COVID-19. Additionally, we have found that omics-based models performed better than image or physiological feature-based models, proving the importance of the omics-based dataset for future model development.This study diagnoses COVID-19 positive cases and predicts accurate severity levels. It lowers the dependence on clinical data and professional judgment, by leveraging the utilization of state-of-the-art models. our model showed wider applicability across different omics dataset, which is highly transferable in other respiratory or similar diseases. Hospital and public health care mechanisms can optimize the distribution of medical resources and improve the robustness of the medical system.© 2023. The Author(s)."
x,dnam age,36711749,Phenome-wide analysis identifies parent-of-origin effects on the human methylome associated with changes in the rate of aging.,bioRxiv,"Variation in the rate at which humans age may be rooted in early life events acting through genomic regions that are influenced by such events and subsequently are related to health phenotypes in later life. The parent-of-origin-effect (POE)-regulated methylome includes regions either enriched for genetically controlled imprinting effects (the typical type of POE) or atypical POE introduced by environmental effects associated with parents. This part of the methylome is heavily influenced by early life events, making it a potential route connecting early environmental exposures, the epigenome and the rate of aging. Here, we aim to test the association of POE-influenced methylation of CpG dinucleotides (POE-CpG sites) with early and later environmental exposures and subsequently with health-related phenotypes and adult aging phenotypes. We do this by performing phenome-wide association analyses of the POE-influenced methylome using a large family-based population cohort (GS:SFHS, Ndiscovery=5,087, Nreplication=4,450). At the single CpG level, 92 associations of POE-CpGs with phenotypic variation were identified and replicated. Most of the associations were contributed by POE-CpGs belonging to the atypical class and the most strongly enriched associations were with aging (DNAmTL acceleration), intelligence and parental (maternal) smoking exposure phenotypes. We further found that a proportion of the atypical-POE-CpGs formed co-methylation networks (modules) which are associated with these phenotypes, with one of the aging-associated modules displaying increased internal module connectivity (strength of methylation correlation across constituent CpGs) with age. Atypical POE-CpGs also displayed high levels of methylation heterogeneity and epigenetic drift (i.e. information loss with age) and a strong correlation with CpGs contained within epigenetic clocks. These results identified associations between the atypical-POE-influenced methylome and aging and provided new evidence for the ""early development of origin"" hypothesis for aging in humans."
x,epigenetics,36656803,Using epigenomics to understand cellular responses to environmental influences in diseases.,PLoS Genet,"It is a generally accepted model that environmental influences can exert their effects, at least in part, by changing the molecular regulators of transcription that are described as epigenetic. As there is biochemical evidence that some epigenetic regulators of transcription can maintain their states long term and through cell division, an epigenetic model encompasses the idea of maintenance of the effect of an exposure long after it is no longer present. The evidence supporting this model is mostly from the observation of alterations of molecular regulators of transcription following exposures. With the understanding that the interpretation of these associations is more complex than originally recognised, this model may be oversimplistic; therefore, adopting novel perspectives and experimental approaches when examining how environmental exposures are linked to phenotypes may prove worthwhile. In this review, we have chosen to use the example of nonalcoholic fatty liver disease (NAFLD), a common, complex human disease with strong environmental and genetic influences. We describe how epigenomic approaches combined with emerging functional genetic and single-cell genomic techniques are poised to generate new insights into the pathogenesis of environmentally influenced human disease phenotypes exemplified by NAFLD.Copyright: © 2023 Wattacheril et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
x,ewas,36638096,Multi-omic association study identifies DNA methylation-mediated genotype and smoking exposure effects on lung function in children living in urban settings.,PLoS Genet,"Impaired lung function in early life is associated with the subsequent development of chronic respiratory disease. Most genetic associations with lung function have been identified in adults of European descent and therefore may not represent those most relevant to pediatric populations and populations of different ancestries. In this study, we performed genome-wide association analyses of lung function in a multiethnic cohort of children (n = 1,035) living in low-income urban neighborhoods. We identified one novel locus at the TDRD9 gene in chromosome 14q32.33 associated with percent predicted forced expiratory volume in one second (FEV1) (p = 2.4x10-9; βz = -0.31, 95% CI = -0.41- -0.21). Mendelian randomization and mediation analyses revealed that this genetic effect on FEV1 was partially mediated by DNA methylation levels at this locus in airway epithelial cells, which were also associated with environmental tobacco smoke exposure (p = 0.015). Promoter-enhancer interactions in airway epithelial cells revealed chromatin interaction loops between FEV1-associated variants in TDRD9 and the promoter region of the PPP1R13B gene, a stimulator of p53-mediated apoptosis. Expression of PPP1R13B in airway epithelial cells was significantly associated the FEV1 risk alleles (p = 1.3x10-5; β = 0.12, 95% CI = 0.06-0.17). These combined results highlight a potential novel mechanism for reduced lung function in urban youth resulting from both genetics and smoking exposure.Copyright: This is an open access article, free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. The work is made available under the Creative Commons CC0 public domain dedication."
x,ewas,36649705,Epigenome-wide meta-analysis of BMI in nine cohorts: Examining the utility of epigenetically predicted BMI.,Am J Hum Genet,"This study sought to examine the association between DNA methylation and body mass index (BMI) and the potential of BMI-associated cytosine-phosphate-guanine (CpG) sites to provide information about metabolic health. We pooled summary statistics from six trans-ethnic epigenome-wide association studies (EWASs) of BMI representing nine cohorts (n = 17,034), replicated these findings in the Women's Health Initiative (WHI, n = 4,822), and developed an epigenetic prediction score of BMI. In the pooled EWASs, 1,265 CpG sites were associated with BMI (p < 1E-7) and 1,238 replicated in the WHI (FDR < 0.05). We performed several stratified analyses to examine whether these associations differed between individuals of European and African descent, as defined by self-reported race/ethnicity. We found that five CpG sites had a significant interaction with BMI by race/ethnicity. To examine the utility of the significant CpG sites in predicting BMI, we used elastic net regression to predict log-normalized BMI in the WHI (80% training/20% testing). This model found that 397 sites could explain 32% of the variance in BMI in the WHI test set. Individuals whose methylome-predicted BMI overestimated their BMI (high epigenetic BMI) had significantly higher glucose and triglycerides and lower HDL cholesterol and LDL cholesterol compared to accurately predicted BMI. Individuals whose methylome-predicted BMI underestimated their BMI (low epigenetic BMI) had significantly higher HDL cholesterol and lower glucose and triglycerides. This study confirmed 553 and identified 685 CpG sites associated with BMI. Participants with high epigenetic BMI had poorer metabolic health, suggesting that the overestimation may be driven in part by cardiometabolic derangements characteristic of metabolic syndrome.Copyright © 2022 American Society of Human Genetics. All rights reserved."
,asthma,36704932,Global hypomethylation in childhood asthma identified by genome-wide DNA-methylation sequencing preferentially affects enhancer regions.,Allergy,"Childhood asthma is a result of a complex interaction of genetic and environmental components causing epigenetic and immune dysregulation, airway inflammation and impaired lung function. Although different microarray based EWAS studies have been conducted, the impact of epigenetic regulation in asthma development is still widely unknown. We have therefore applied unbiased whole genome bisulfite sequencing (WGBS) to characterize global DNA-methylation profiles of asthmatic children compared to healthy controls.Peripheral blood samples of 40 asthmatic and 42 control children aged 5-15 years from three birth cohorts were sequenced together with paired cord blood samples. Identified differentially methylated regions (DMRs) were categorized in genotype-associated, cell-type-dependent, or prenatally-primed. Network analysis and subsequent natural language processing of DMR-associated genes was complemented by targeted analysis of functional translation of epigenetic regulation on the transcriptional and protein level.In total, 158 DMRs were identified in asthmatic children compared to controls of which 37% were related to the eosinophil content. A global hypomethylation was identified affecting predominantly enhancer regions and regulating key immune genes such as IL4, IL5RA, and EPX. These DMRs were confirmed in n=267 samples and could be linked to aberrant gene expression. Out of the 158 DMRs identified in the established phenotype, 56 were perturbed already at birth and linked, at least in part, to prenatal influences such as tobacco smoke exposure or phthalate exposure.This is the first epigenetic study based on whole genome sequencing to identify marked dysregulation of enhancer regions as a hallmark of childhood asthma.This article is protected by copyright. All rights reserved."
,cell-free dna,36653380,DNA methylation analysis explores the molecular basis of plasma cell-free DNA fragmentation.,Nat Commun,"Plasma cell-free DNA (cfDNA) are small molecules generated through a non-random fragmentation procedure. Despite commendable translational values in cancer liquid biopsy, however, the biology of cfDNA, especially the principles of cfDNA fragmentation, remains largely elusive. Through orientation-aware analyses of cfDNA fragmentation patterns against the nucleosome structure and integration with multidimensional functional genomics data, here we report a DNA methylation - nuclease preference - cutting end - size distribution axis, demonstrating the role of DNA methylation as a functional molecular regulator of cfDNA fragmentation. Hence, low-level DNA methylation could increase nucleosome accessibility and alter the cutting activities of nucleases during DNA fragmentation, which further leads to variation in cutting sites and size distribution of cfDNA. We further develop a cfDNA ending preference-based metric for cancer diagnosis, whose performance has been validated by multiple pan-cancer datasets. Our work sheds light on the molecular basis of cfDNA fragmentation towards broader applications in cancer liquid biopsy.© 2023. The Author(s)."
,dnam age,36548410,"Epigenetic clocks, aging, and cancer",Science,"Cancer and aging are accompanied by stereotyped changes to the epigenetic landscape, including progressive loss of DNA methylation over gene-poor genomic regions (1,�2). Global hypomethylation arises in cells that have undergone many divisions, likely owing to imperfect maintenance. Evidence suggests that global hypomethylation represents a �mitotic clock� that counts divisions in somatic cells and functions to restrain aging cells and limit malignant progression. Therapies that modulate the pace of methylation loss or eliminate hypomethylated cells could alleviate agingassociated diseases or cancers."
,dnam age,36671726,Epigenetic Clock Explains White Matter Hyperintensity Burden Irrespective of Chronological Age.,Biology (Basel),"In this manuscript we studied the relationship between WMH and biological age (B-age) in patients with acute stroke. We included in this study 247 patients with acute stroke recruited at Hospital del Mar having both epigenetic (DNA methylation) and magnetic resonance imaging data. WMH were measured using a semi-automated method. B-age was calculated using two widely used methods: the Hannum and Horvath formulas. We used multiple linear regression models to interrogate the role of B-age on WMH volume after adjusting for chronological age (C-age) and other covariables. Average C-age of the sample was 68.4 (±11.8) and we observed a relatively high median WMH volume (median = 8.8 cm3, Q1-Q3 = 4.05-18.8). After adjusting for potential confounders, we observed a significant effect of B-ageHannumon WMH volume (βHannum= 0.023,p-value = 0.029) independently of C-age, which remained significant (βC-age= 0.021,p-value = 0.036). Finally, we performed a mediation analysis, which allowed us to discover that 42.7% of the effect of C-age on WMH is mediated by B-ageHannum. On the other hand, B-ageHoarvathshowed no significant associations with WMH after being adjusted for C-age. In conclusion, we show for the first time that biological age, measured through DNA methylation, contributes substantially to explain WMH volumetric burden irrespective of chronological age."
,drugs,36631803,Drugging the epigenome in the age of precision medicine.,Clin Epigenetics,"Modulating the epigenome has long been considered a potential opportunity for therapeutic intervention in numerous disease areas with several approved therapies marketed, primarily for cancer. Despite the overall promise of early approaches, however, these drugs have been plagued by poor pharmacokinetic and safety/tolerability profiles due in large part to off-target effects and a lack of specificity.Recently, there has been marked progress in the field on a new generation of epigenomic therapies which address these challenges directly by targeting defined loci with highly precise, durable, and tunable approaches. Here, we review the promise and pitfalls of epigenetic drug development to date and provide an outlook on recent advances and their promise for future therapeutic applications.Novel therapeutic modalities leveraging epigenetics and epigenomics with increased precision are well positioned to advance the field and treat patients across disease areas in the coming years.© 2023. The Author(s)."
,ewas,36600305,Methylation in MAD1L1 is associated with the severity of suicide attempt and phenotypes of depression.,Clin Epigenetics,"Depression is a multifactorial disorder representing a significant public health burden. Previous studies have linked multiple single nucleotide polymorphisms with depressive phenotypes and suicidal behavior. MAD1L1 is a mitosis metaphase checkpoint protein that has been linked to depression in GWAS. Using a longitudinal EWAS approach in an adolescent cohort at two time points (n = 216 and n = 154), we identified differentially methylated sites that were associated with depression-related genetic variants in MAD1L1. Three methylation loci (cg02825527, cg18302629, and cg19624444) were consistently hypomethylated in the minor allele carriers, being cross-dependent on several SNPs. We further investigated whether DNA methylation at these CpGs is associated with depressive psychiatric phenotypes in independent cohorts. The first site (cg02825527) was hypomethylated in blood (exp(β) = 84.521, p value ~ 0.003) in participants with severe suicide attempts (n = 88). The same locus showed increased methylation in glial cells (exp(β) = 0.041, p value ~ 0.004) in the validation cohort, involving 29 depressed patients and 29 controls, and showed a trend for association with suicide (n = 40, p value ~ 0.089) and trend for association with depression treatment (n = 377, p value ~ 0.075). The second CpG (cg18302629) was significantly hypomethylated in depressed participants (exp(β) = 56.374, p value ~ 0.023) in glial cells, but did not show associations in the discovery cohorts. The last methylation site (cg19624444) was hypomethylated in the whole blood of severe suicide attempters; however, this association was at the borderline for statistical significance (p value ~ 0.061). This locus, however, showed a strong association with depression treatment in the validation cohort (exp(β) = 2.237, p value ~ 0.003) with 377 participants. The direction of associations between psychiatric phenotypes appeared to be different in the whole blood in comparison with brain samples for cg02825527 and cg19624444. The association analysis between methylation at cg18302629 and cg19624444 and MAD1L1 transcript levels in CD14+cells shows a potential link between methylation at these CpGs and MAD1L1 expression. This study suggests evidence that methylation at MAD1L1 is important for psychiatric health as supported by several independent cohorts.© 2023. The Author(s)."
