ec,category,pmid,title,source,abstract
Yes,EWAS,33515580,Prenatal lead exposure and cord blood DNA methylation in the Korean Exposome Study.,Environ Res,"Prenatal lead exposure has been reported to affect infant growth and nervous system development, as well as to influence DNA methylation. We conducted an epigenome-wide association study to identify associations between prenatal lead exposure and cord blood DNA methylation in Korean infants.Cord blood samples were assayed with the Illumina HumanMethylationEPIC BeadChip kits, and maternal blood lead levels during early and late pregnancy, as well as cord blood lead level, were measured. The association between CpG methylation and lead level was analyzed using the limma package, with adjusting for infant sex, maternal pre-pregnancy body mass index, and estimated leukocyte composition.Among 364 blood samples (182 males and 182 females), those for which maternal and cord blood lead concentrations during early and later pregnancy was known were used for analysis. Maternal lead concentration in blood during early pregnancy was significantly associated with the methylation status of specific positions. After data stratification by infant sex, we found that, in males, the level of maternal blood lead was associated with 18 CpG sites during early pregnancy, and with one CpG site near the NBAS gene, during late pregnancy. In female samples, there was no significant association between DNA methylation and lead concentrations.Prenatal lead exposure was associated with altered, gender-specific patterns of DNA methylation in Korean infants.Copyright © 2021 Elsevier Inc. All rights reserved."
Yes,EWAS,33499918,Profile of copper-associated DNA methylation and its association with incident acute coronary syndrome.,Clin Epigenetics,"Acute coronary syndrome (ACS) is a cardiac emergency with high mortality. Exposure to high copper (Cu) concentration has been linked to ACS. However, whether DNA methylation contributes to the association between Cu and ACS is unclear.We measured methylation level at > 485,000 cytosine-phosphoguanine sites (CpGs) of blood leukocytes using Human Methylation 450 Bead Chip and conducted a genome-wide meta-analysis of plasma Cu in a total of 1243 Chinese individuals. For plasma Cu-related CpGs, we evaluated their associations with the expression of nearby genes as well as major cardiovascular risk factors. Furthermore, we examined their longitudinal associations with incident ACS in the nested case-control study.We identified four novel Cu-associated CpGs (cg20995564, cg18608055, cg26470501 and cg05825244) within a 5% false discovery rate (FDR). DNA methylation level of cg18608055, cg26470501, and cg05825244 also showed significant correlations with expressions of SBNO2, BCL3, and EBF4 gene, respectively. Higher DNA methylation level at cg05825244 locus was associated with lower high-density lipoprotein cholesterol level and higher C-reactive protein level. Furthermore, we demonstrated that higher cg05825244 methylation level was associated with increased risk of ACS (odds ratio [OR], 1.23; 95% CI 1.02-1.48; P = 0.03).We identified novel DNA methylation alterations associated with plasma Cu in Chinese populations and linked these loci to risk of ACS, providing new insights into the regulation of gene expression by Cu-related DNA methylation and suggesting a role for DNA methylation in the association between copper and ACS."
Yes,EWAS,33494854,"Epigenetic profiling of social communication trajectories and co-occurring mental health problems: a prospective, methylome-wide association study.",Dev Psychopathol,"While previous studies suggest that both genetic and environmental factors play an important role in the development of autism-related traits, little is known about potential biological mechanisms underlying these associations. Using data from the Avon Longitudinal Study of Parents and Children (ALSPAC), we examined prospective associations between DNA methylation (DNAm: nbirth = 804, nage 7 = 877) and trajectories of social communication deficits at age 8-17 years. Methylomic variation at three loci across the genome (false discovery rate = 0.048) differentiated children following high (n = 80) versus low (n = 724) trajectories of social communication deficits. This differential DNAm was specific to the neonatal period and not observed at 7 years of age. Associations between DNAm and trajectory membership remained robust after controlling for co-occurring mental health problems (i.e., hyperactivity/inattention, conduct problems). The three loci identified at birth were not replicated in the Generation R Study. However, to the best of our knowledge, ALSPAC is the only study to date that is prospective enough to examine DNAm in relation to longitudinal trajectories of social communication deficits from childhood to adolescence. Although the present findings might point to potentially novel sites that differentiate between a high versus low trajectory of social communication deficits, the results should be considered tentative until further replicated."
Yes,EWAS,33484127,Epigenome-Wide Association Study of Thyroid Function Traits Identifies Novel Associations of fT3 With KLF9 and DOT1L.,J Clin Endocrinol Metab,"Circulating concentrations of free triiodothyronine (fT3), free thyroxine (fT4), and thyrotropin (TSH) are partly heritable traits. Recent studies have advanced knowledge of their genetic architecture. Epigenetic modifications, such as DNA methylation (DNAm), may be important in pituitary-thyroid axis regulation and action, but data are limited.To identify novel associations between fT3, fT4, and TSH and differentially methylated positions (DMPs) in the genome in subjects from 2 Australian cohorts.We performed an epigenome-wide association study (EWAS) of thyroid function parameters and DNAm using participants from: Brisbane Systems Genetics Study (median age 14.2 years, n = 563) and the Raine Study (median age 17.0 years, n = 863). Plasma fT3, fT4, and TSH were measured by immunoassay. DNAm levels in blood were assessed using Illumina HumanMethylation450 BeadChip arrays. Analyses employed generalized linear mixed models to test association between DNAm and thyroid function parameters. Data from the 2 cohorts were meta-analyzed.We identified 2 DMPs with epigenome-wide significant (P < 2.4E-7) associations with TSH and 6 with fT3, including cg00049440 in KLF9 (P = 2.88E-10) and cg04173586 in DOT1L (P = 2.09E-16), both genes known to be induced by fT3. All DMPs had a positive association between DNAm and TSH and a negative association between DNAm and fT3. There were no DMPs significantly associated with fT4. We identified 23 differentially methylated regions associated with fT3, fT4, or TSH.This study has demonstrated associations between blood-based DNAm and both fT3 and TSH. This may provide insight into mechanisms underlying thyroid hormone action and/or pituitary-thyroid axis function.© The Author(s) 2021. Published by Oxford University Press on behalf of the Endocrine Society. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com."
Yes,EWAS,33526782,Combined effects of genotype and childhood adversity shape variability of DNA methylation across age.,Transl Psychiatry,"Lasting effects of adversity, such as exposure to childhood adversity (CA) on disease risk, may be embedded via epigenetic mechanisms but findings from human studies investigating the main effects of such exposure on epigenetic measures, including DNA methylation (DNAm), are inconsistent. Studies in perinatal tissues indicate that variability of DNAm at birth is best explained by the joint effects of genotype and prenatal environment. Here, we extend these analyses to postnatal stressors. We investigated the contribution of CA, cis genotype (G), and their additive (G + CA) and interactive (G × CA) effects to DNAm variability in blood or saliva from five independent cohorts with a total sample size of 1074 ranging in age from childhood to late adulthood. Of these, 541 were exposed to CA, which was assessed retrospectively using self-reports or verified through social services and registries. For the majority of sites (over 50%) in the adult cohorts, variability in DNAm was best explained by G + CA or G × CA but almost never by CA alone. Across ages and tissues, 1672 DNAm sites showed consistency of the best model in all five cohorts, with G × CA interactions explaining most variance. The consistent G × CA sites mapped to genes enriched in brain-specific transcripts and Gene Ontology terms related to development and synaptic function. Interaction of CA with genotypes showed the strongest contribution to DNAm variability, with stable effects across cohorts in functionally relevant genes. This underscores the importance of including genotype in studies investigating the impact of environmental factors on epigenetic marks."
Yes,EWAS,33466918,DNA Methylation Levels in Mononuclear Leukocytes from the Mother and Her Child Are Associated with IgE Sensitization to Allergens in Early Life.,Int J Mol Sci,"DNA methylation changes may predispose becoming IgE-sensitized to allergens. We analyzed whether DNA methylation in peripheral blood mononuclear cells (PBMC) is associated with IgE sensitization at 5 years of age (5Y). DNA methylation was measured in 288 PBMC samples from 74 mother/child pairs from the birth cohort ALADDIN (Assessment of Lifestyle and Allergic Disease During INfancy) using the HumanMethylation450BeadChip (Illumina). PBMCs were obtained from the mothers during pregnancy and from their children in cord blood, at 2 years and 5Y. DNA methylation levels at each time point were compared between children with and without IgE sensitization to allergens at 5Y. For replication, CpG sites associated with IgE sensitization in ALADDIN were evaluated in whole blood DNA of 256 children, 4 years old, from the BAMSE (Swedish abbreviation for Children, Allergy, Milieu, Stockholm, Epidemiology) cohort. We found 34 differentially methylated regions (DMRs) associated with IgE sensitization to airborne allergens and 38 DMRs associated with sensitization to food allergens in children at 5Y (Sidakp≤ 0.05). Genes associated with airborne sensitization were enriched in the pathway of endocytosis, while genes associated with food sensitization were enriched in focal adhesion, the bacterial invasion of epithelial cells, and leukocyte migration. Furthermore, 25 DMRs in maternal PBMCs were associated with IgE sensitization to airborne allergens in their children at 5Y, which were functionally annotated to the mTOR (mammalian Target of Rapamycin) signaling pathway. This study supports that DNA methylation is associated with IgE sensitization early in life and revealed new candidate genes for atopy. Moreover, our study provides evidence that maternal DNA methylation levels are associated with IgE sensitization in the child supporting early in utero effects on atopy predisposition."
Yes,EWAS,33542415,Gene regulation contributes to explain the impact of early life socioeconomic disadvantage on adult inflammatory levels in two cohort studies.,Sci Rep,"Individuals experiencing socioeconomic disadvantage in childhood have a higher rate of inflammation-related diseases decades later. Little is known about the mechanisms linking early life experiences to the functioning of the immune system in adulthood. To address this, we explore the relationship across social-to-biological layers of early life social exposures on levels of adulthood inflammation and the mediating role of gene regulatory mechanisms, epigenetic and transcriptomic profiling from blood, in 2,329 individuals from two European cohort studies. Consistently across both studies, we find transcriptional activity explains a substantive proportion (78% and 26%) of the estimated effect of early life disadvantaged social exposures on levels of adulthood inflammation. Furthermore, we show that mechanisms other than cis DNA methylation may regulate those transcriptional fingerprints. These results further our understanding of social-to-biological transitions by pinpointing the role of gene regulation that cannot fully be explained by differential cis DNA methylation."
No,DNAm age,33558008,An integrative study of five biological clocks in somatic and mental health.,Elife,"Biological clocks have been developed at different molecular levels and were found to be more advanced in the presence of somatic illness and mental disorders. However, it is unclear whether different biological clocks reflect similar aging processes and determinants. In ~3000 subjects, we examined whether five biological clocks (telomere length, epigenetic, transcriptomic, proteomic, and metabolomic clocks) were interrelated and associated to somatic and mental health determinants. Correlations between biological aging indicators were small (allr< 0.2), indicating little overlap. The most consistent associations of advanced biological aging were found for male sex, higher body mass index (BMI), metabolic syndrome, smoking, and depression. As compared to the individual clocks, a composite index of all five clocks showed most pronounced associations with health determinants. The large effect sizes of the composite index and the low correlation between biological aging indicators suggest that one's biological age is best reflected by combining aging measures from multiple cellular levels.© 2021, Jansen et al."
No,Epigenetics,33542217,An all-to-all approach to the identification of sequence-specific readers for epigenetic DNA modifications on cytosine.,Nat Commun,"Epigenetic modifications of DNA play important roles in many biological processes. Identifying readers of these epigenetic marks is a critical step towards understanding the underlying mechanisms. Here, we present an all-to-all approach, dubbed digital affinity profiling via proximity ligation (DAPPL), to simultaneously profile human TF-DNA interactions using mixtures of random DNA libraries carrying different epigenetic modifications (i.e., 5-methylcytosine, 5-hydroxymethylcytosine, 5-formylcytosine, and 5-carboxylcytosine) on CpG dinucleotides. Many proteins that recognize consensus sequences carrying these modifications in symmetric and/or hemi-modified forms are identified. We further demonstrate that the modifications in different sequence contexts could either enhance or suppress TF binding activity. Moreover, many modifications can affect TF binding specificity. Furthermore, symmetric modifications show a stronger effect in either enhancing or suppressing TF-DNA interactions than hemi-modifications. Finally, in vivo evidence suggests that USF1 and USF2 might regulate transcription via hydroxymethylcytosine-binding activity in weak enhancers in human embryonic stem cells."
No,Epigenetics,33505025,Systematic analysis of binding of transcription factors to noncoding variants.,Nature,"Many sequence variants have been linked to complex human traits and diseases1, but deciphering their biological functions remains challenging, as most of them reside in noncoding DNA. Here we have systematically assessed the binding of 270 human transcription factors to 95,886 noncoding variants in the human genome using an ultra-high-throughput multiplex protein-DNA binding assay, termed single-nucleotide polymorphism evaluation by systematic evolution of ligands by exponential enrichment (SNP-SELEX). The resulting 828 million measurements of transcription factor-DNA interactions enable estimation of the relative affinity of these transcription factors to each variant in vitro and evaluation of the current methods to predict the effects of noncoding variants on transcription factor binding. We show that the position weight matrices of most transcription factors lack sufficient predictive power, whereas the support vector machine combined with the gapped k-mer representation show much improved performance, when assessed on results from independent SNP-SELEX experiments involving a new set of 61,020 sequence variants. We report highly predictive models for 94 human transcription factors and demonstrate their utility in genome-wide association studies and understanding of the molecular pathways involved in diverse human traits and diseases."
No,Cancer,33536596,An epigenetic tipping point in cancer comes under the microscope.,Nature,NA
No,Reference,33536621,Regulatory genomic circuitry of human disease loci by integrative epigenomics.,Nature,"Annotating the molecular basis of human disease remains an unsolved challenge, as 93% of disease loci are non-coding and gene-regulatory annotations are highly incomplete1-3. Here we present EpiMap, a compendium comprising 10,000 epigenomic maps across 800 samples, which we used to define chromatin states, high-resolution enhancers, enhancer modules, upstream regulators and downstream target genes. We used this resource to annotate 30,000 genetic loci that were associated with 540 traits4, predicting trait-relevant tissues, putative causal nucleotide variants in enriched tissue enhancers and candidate tissue-specific target genes for each. We partitioned multifactorial traits into tissue-specific contributing factors with distinct functional enrichments and disease comorbidity patterns, and revealed both single-factor monotropic and multifactor pleiotropic loci. Top-scoring loci frequently had multiple predicted driver variants, converging through multiple enhancers with a common target gene, multiple genes in common tissues, or multiple genes and multiple tissues, indicating extensive pleiotropy. Our results demonstrate the importance of dense, rich, high-resolution epigenomic annotations for the investigation of complex traits."
Yes,EWAS,33593402,Novel DNA methylation signatures of tobacco smoking with trans-ethnic effects.,Clin Epigenetics,"Smoking remains one of the leading preventable causes of death. Smoking leaves a strong signature on the blood methylome as shown in multiple studies using the Infinium HumanMethylation450 BeadChip. Here, we explore novel blood methylation smoking signals on the Illumina MethylationEPIC BeadChip (EPIC) array, which also targets novel CpG-sites in enhancers.A smoking-methylation meta-analysis was carried out using EPIC DNA methylation profiles in 1407 blood samples from four UK population-based cohorts, including the MRC National Survey for Health and Development (NSHD) or 1946 British birth cohort, the National Child Development Study (NCDS) or 1958 birth cohort, the 1970 British Cohort Study (BCS70), and the TwinsUK cohort (TwinsUK). The overall discovery sample included 269 current, 497 former, and 643 never smokers. Replication was pursued in 3425 trans-ethnic samples, including 2325 American Indian individuals participating in the Strong Heart Study (SHS) in 1989-1991 and 1100 African-American participants in the Genetic Epidemiology Network of Arteriopathy Study (GENOA).Altogether 952 CpG-sites in 500 genes were differentially methylated between smokers and never smokers after Bonferroni correction. There were 526 novel smoking-associated CpG-sites only profiled by the EPIC array, of which 486 (92%) replicated in a meta-analysis of the American Indian and African-American samples. Novel CpG sites mapped both to genes containing previously identified smoking-methylation signals and to 80 novel genes not previously linked to smoking, with the strongest novel signal in SLAMF7. Comparison of former versus never smokers identified that 37 of these sites were persistently differentially methylated after cessation, where 16 represented novel signals only profiled by the EPIC array. We observed a depletion of smoking-associated signals in CpG islands and an enrichment in enhancer regions, consistent with previous results.This study identified novel smoking-associated signals as possible biomarkers of exposure to smoking and may help improve our understanding of smoking-related disease risk."
