EC,,Category,pmid,title,source,abstract
No,,Methods,34461822,A validated generally applicable approach using the systematic assessment of disease modules by GWAS reveals a multi-omic module strongly associated with risk factors in multiple sclerosis.,BMC Genomics,"There exist few, if any, practical guidelines for predictive and falsifiable multi-omic data integration that systematically integrate existing knowledge. Disease modules are popular concepts for interpreting genome-wide studies in medicine but have so far not been systematically evaluated and may lead to corroborating multi-omic modules.We assessed eight module identification methods in 57 previously published expression and methylation studies of 19 diseases using GWAS enrichment analysis. Next, we applied the same strategy for multi-omic integration of 20 datasets of multiple sclerosis (MS), and further validated the resulting module using both GWAS and risk-factor-associated genes from several independent cohorts. Our benchmark of modules showed that in immune-associated diseases modules inferred from clique-based methods were the most enriched for GWAS genes. The multi-omic case study using MS data revealed the robust identification of a module of 220 genes. Strikingly, most genes of the module were differentially methylated upon the action of one or several environmental risk factors in MS (n = 217, P = 10- 47) and were also independently validated for association with five different risk factors of MS, which further stressed the high genetic and epigenetic relevance of the module for MS.We believe our analysis provides a workflow for selecting modules and our benchmark study may help further improvement of disease module methods. Moreover, we also stress that our methodology is generally applicable for combining and assessing the performance of multi-omic approaches for complex diseases.© 2021. The Author(s)."
No,,Methods,34461811,Novel DNA methylation loci and genes showing pleiotropic association with Alzheimer's dementia: a network Mendelian randomization analysis.,Epigenetics,"Previous genome-wide association studies (GWAS) have identified potential genetic variants involved in the risk of Alzheimer's dementia, but their underlying biological interpretation remains largely unclear. In addition, the effects of DNA methylation and gene expression on Alzheimer's dementia are not well understood. A network summary data-based Mendelian randomization (SMR) analysis was performed integrating cis- DNA methylation quantitative trait loci (mQTL) /cis- gene expression QTL (eQTL) data in the brain and blood, as well as GWAS summarized data for Alzheimer's dementia to evaluate the pleiotropic associations of DNA methylation and gene expression with Alzheimer's dementia and to explore the complex mechanisms underpinning Alzheimer's dementia. After correction for multiple testing (false discovery rate [FDR]P< 0.05) and filtering using the heterogeneity in dependent instruments (HEIDI) test (PHEIDI>0.01), we identified dozens of DNA methylation sites and genes showing pleiotropic associations with Alzheimer's dementia. We found 22 and 16 potentially causal pathways of Alzheimer's dementia (i.e., SNP→DNA methylation→Gene expression→Alzheimer's dementia) in the brain and blood, respectively. Approximately two-thirds of the identified DNA methylation sites had an influence on gene expression and the expression of almost all the identified genes was regulated by DNA methylation. Our network SMR analysis provided evidence supporting the pleiotropic association of some novel DNA methylation sites and genes with Alzheimer's dementia and revealed possible causal pathways underlying the pathogenesis of Alzheimer's dementia. Our findings shed light on the role of DNA methylation in gene expression and in the development of Alzheimer's dementia."
Yes,,EWAS,34523531,Pregnancy exposure to synthetic phenols and placental DNA methylation - An epigenome-wide association study in male infants from the EDEN cohort.,Environ Pollut,"In utero exposure to environmental chemicals, such as synthetic phenols, may alter DNA methylation in different tissues, including placenta - a critical organ for fetal development. We studied associations between prenatal urinary biomarker concentrations of synthetic phenols and placental DNA methylation. Our study involved 202 mother-son pairs from the French EDEN cohort. Nine phenols were measured in spot urine samples collected between 22 and 29 gestational weeks. We performed DNA methylation analysis of the fetal side of placental tissues using the IlluminaHM450 BeadChips. We evaluated methylation changes of individual CpGs in an adjusted epigenome-wide association study (EWAS) and identified differentially methylated regions (DMRs). We performed mediation analysis to test whether placental tissue heterogeneity mediated the association between urinary phenol concentrations and DNA methylation. We identified 46 significant DMRs (≥5 CpGs) associated with triclosan (37 DMRs), 2,4-dichlorophenol (3), benzophenone-3 (3), methyl- (2) and propylparaben (1). All but 2 DMRs were positively associated with phenol concentrations. Out of the 46 identified DMRs, 7 (6 for triclosan) encompassed imprinted genes (APC, FOXG1, GNAS, GNASAS, MIR886, PEG10, SGCE), which represented a significant enrichment. Other identified DMRs encompassed genes encoding proteins responsible for cell signaling, transmembrane transport, cell adhesion, inflammatory, apoptotic and immunological response, genes encoding transcription factors, histones, tumor suppressors, genes involved in tumorigenesis and several cancer risk biomarkers. Mediation analysis suggested that placental cell heterogeneity may partly explain these associations. This is the first study describing the genome-wide modifications of placental DNA methylation associated with pregnancy exposure to synthetic phenols or their precursors. Our results suggest that cell heterogeneity might mediate the effects of triclosan exposure on placental DNA methylation. Additionally, the enrichment of imprinted genes within the DMRs suggests mechanisms by which certain exposures, mainly to triclosan, could affect fetal development.Copyright © 2021 The Authors. Published by Elsevier Ltd.. All rights reserved."
Yes,,EWAS,34516295,Epigenome-Wide DNA Methylation and Pesticide Use in the Agricultural Lung Health Study.,Environ Health Perspect,"Pesticide exposure is associated with many long-term health outcomes; the potential underlying mechanisms are not well established for most associations. Epigenetic modifications, such as DNA methylation, may contribute. Individual pesticides may be associated with specific DNA methylation patterns but no epigenome-wide association study (EWAS) has evaluated methylation in relation to individual pesticides.We conducted an EWAS of DNA methylation in relation to several pesticide active ingredients.The Agricultural Lung Health Study is a case-control study of asthma, nested within the Agricultural Health Study. We analyzed blood DNA methylation measured using Illumina's EPIC array in 1,170 male farmers of European ancestry. For pesticides still on the market at blood collection (2009-2013), we evaluated nine active ingredients for which at least 30 participants reported past and current (within the last 12 months) use, as well as seven banned organochlorines with at least 30 participants reporting past use. We used robust linear regression to compare methylation at individual C-phosphate-G sites (CpGs) among users of a specific pesticide to never users.Using family-wise error rate (p<9×10-8) or false-discovery rate (FDR<0.05), we identified 162 differentially methylated CpGs across 8 of 9 currently marketed active ingredients (acetochlor, atrazine, dicamba, glyphosate, malathion, metolachlor, mesotrione, and picloram) and one banned organochlorine (heptachlor). Differentially methylated CpGs were unique to each active ingredient, and a dose-response relationship with lifetime days of use was observed for most. Significant CpGs were enriched for transcription motifs and 28% of CpGs were associated with whole bloodcis-gene expression, supporting functional effects of findings. We corroborated a previously reported association between dichlorodiphenyltrichloroethane (banned in the United States in 1972) and epigenetic age acceleration.We identified differential methylation for several active ingredients in male farmers of European ancestry. These may serve as biomarkers of chronic exposure and could inform mechanisms of long-term health outcomes from pesticide exposure. https://doi.org/10.1289/EHP8928."
Yes,,EWAS,34515027,Epigenome-wide analysis of DNA methylation and coronary heart disease: a nested case-control study.,Elife,"Background:Identifying environmentally responsive genetic loci where DNA methylation is associated with coronary heart disease (CHD) may reveal novel pathways or therapeutic targets for CHD. We conducted the first prospective epigenome-wide analysis of DNA methylation in relation to incident CHD in the Asian population.Methods:We did a nested case-control study comprising incident CHD cases and 1:1 matched controls who were identified from the 10-year follow-up of the China Kadoorie Biobank. Methylation level of baseline blood leukocyte DNA was measured by Infinium Methylation EPIC BeadChip. We performed the single cytosine-phosphate-guanine (CpG) site association analysis and network approach to identify CHD-associated CpG sites and co-methylation gene module.Results:After quality control, 982 participants (mean age 50.1 years) were retained. Methylation level at 25 CpG sites across the genome was associated with incident CHD (genome-wide false discovery rate [FDR] < 0.05 or module-specific FDR <0.01). One SD increase in methylation level of identified CpGs was associated with differences in CHD risk, ranging from a 47% decrease to a 118% increase. Mediation analyses revealed 28.5% of the excessed CHD risk associated with smoking was mediated by methylation level at the promoter region ofANKS1Agene (P for mediation effect = 0.036). Methylation level at the promoter region ofSNX30was associated with blood pressure and subsequent risk of CHD, with the mediating proportion to be 7.7% (P = 0.003) via systolic blood pressure and 6.4% (P = 0.006) via diastolic blood pressure. Network analysis revealed a co-methylation module associated with CHD.Conclusions:We identified novel blood methylation alterations associated with incident CHD in the Asian population and provided evidence of the possible role of epigenetic regulations in the smoking- and BP-related pathways to CHD risk.Funding:This work was supported by National Natural Science Foundation of China (81390544 and 91846303). The CKB baseline survey and the first re-survey were supported by a grant from the Kadoorie Charitable Foundation in Hong Kong. The long-term follow-up is supported by grants from the UK Wellcome Trust (202922/Z/16/Z, 088158/Z/09/Z, 104085/Z/14/Z), grant (2016YFC0900500, 2016YFC0900501, 2016YFC0900504, 2016YFC1303904) from the National Key and Program of China, and Chinese Ministry of Science and Technology (2011BAI09B01).© 2021, Si et al."
Yes,,EWAS,34507616,Prenatal risk factors and neonatal DNA methylation in very preterm infants.,Clin Epigenetics,"Prenatal risk factors are related to poor health and developmental outcomes for infants, potentially via epigenetic mechanisms. We tested associations between person-centered prenatal risk profiles, cumulative prenatal risk models, and epigenome-wide DNA methylation (DNAm) in very preterm neonates.We studied 542 infants from a multi-center study of infants born < 30 weeks postmenstrual age. We assessed 24 prenatal risk factors via maternal report and medical record review. Latent class analysis was used to define prenatal risk profiles. DNAm was quantified from neonatal buccal cells using the Illumina MethylationEPIC Beadarray.We identified three latent profiles of women: a group with few risk factors (61%) and groups with elevated physical (26%) and psychological (13%) risk factors. Neonates born to women in higher risk subgroups had differential DNAm at 2 CpG sites. Higher cumulative prenatal risk was associated with methylation at 15 CpG sites, 12 of which were located in genes previously linked to physical and mental health and neurodevelopment.We observed associations between prenatal risk factors and DNAm in very preterm infants using both person-centered and cumulative risk approaches. Epigenetics offers a potential biological indicator of prenatal risk exposure.© 2021. The Author(s)."
Yes,,EWAS,34482817,DNA methylation changes in African American women with a history of preterm birth from the InterGEN study.,BMC Genom Data,"Preterm birth (< 37 weeks' gestation) is a common outcome of pregnancy that has been associated with increased risk of cardiovascular disease for women later in life. Little is known about the physiologic mechanisms underlying this risk. To date, no studies have evaluated if differences in DNA methylation (DNAm) among women who experience preterm birth are short-term or if they persist and are associated with subsequent cardiovascular sequelae or other health disorders. The purpose of this study was to examine long-term epigenetic effects of preterm birth in African American mothers (n = 182) from the InterGEN Study (2014-2019). In this study, we determine if differences in DNAm exist between women who reported a preterm birth in the last 3-5 years compared to those who had full-term births by using two different approaches: epigenome-wide association study (EWAS) and genome-wide co-methylation analyses.Though no significant CpG sites were identified using the EWAS approach, we did identify significant modules of co-methylation associated with preterm birth. Co-methylation analyses showed correlations with preterm birth in gene ontology and KEGG pathways. Functional annotation analysis revealed enrichment for pathways related to central nervous system and sensory perception. No association was observed between DNAm age and preterm birth, though larger samples are needed to confirm this further.We identified differentially methylated gene networks associated with preterm birth in African American women 3-5 years after birth, including pathways related to neurogenesis and sensory processing. More research is needed to understand better these associations and replicate them in an independent cohort. Further study should be done in this area to elucidate mechanisms linking preterm birth and later epigenomic changes that may contribute to the development of health disorders and maternal mood and well-being.© 2021. The Author(s)."
Yes,,EWAS,34473906,Infant RSV immunoprophylaxis changes nasal epithelial DNA methylation at 6 years of age.,Pediatr Pulmonol,"Respiratory syncytial virus (RSV) infection has been associated with childhood wheeze and asthma, and potential mechanisms include persistent epigenetic effects.In the randomized, placebo-controlled MAKI trial, 429 preterm infants randomly received RSV immunoprophylaxis with palivizumab or placebo during their first RSV season. Children were followed until age 6 for asthma evaluation. DNA methylation in cells obtained by nasal brushes at age 6 was measured by Illumina MethylationEPIC array.RSV immunoprophylaxis in infancy had a significant impact on global methylation patterns in nasal cells at age 6. The first principal component (PC) related to the immunoprophylaxis intervention was enriched for the pathway ""detection of chemical stimulus involved in sensory perception of smell"" and ""T cell differentiation."" Subsequent analysis of these PCs indicated an effect of RSV immunoprophylaxis on cell type composition of nasal brushed cells. Three CpG sites, cg18040241, cg08243963, and cg19555973 which are annotated to genes GLB1L2, SC5D, and BPIFB1, were differentially methylated at genome-wide significance, but were not associated with asthma.The study provides the first proof of concept that RSV immunoprophylaxis during infancy has long-term effects on nasal epigenetic signatures at age 6, relating to host sensory perception, epidermal growth factor receptor signaling, and adaptive immune responses.© 2021 The Authors. Pediatric Pulmonology published by Wiley Periodicals LLC."
Yes,,EWAS,34461807,Association between dietary patterns reflecting one-carbon metabolism nutrients intake before pregnancy and placental DNA methylation.,Epigenetics,"The preconception period represents an important window for foetal and epigenetic programming. Some micronutrients (B vitamins, choline, betaine, methionine) implicated in one-carbon metabolism (OCM) are essential for major epigenetic processes that take place in early pregnancy. However, few studies have evaluated the implication of the micronutrients in placental DNA methylation. We investigated whether intake of OCM nutrients in the year before pregnancy was associated with placental DNA methylation in the EDEN mother-child cohort. Maternal dietary intake was assessed with a food-frequency questionnaire. Three dietary patterns, 'varied and balanced diet,' 'vegetarian tendency,' and 'bread and starchy food,' were used to characterize maternal OCM dietary intake. The Illumina Infinium HumanMethylation450 BeadChip was used to measure placental DNA methylation of 573 women included in the analyses. We evaluated the association of dietary patterns with global DNA methylation. Then, we conducted an agnostic epigenome-wide association study (EWAS) and investigated differentially methylated regions (DMRs) associated with each dietary pattern. We found no significant association between the three dietary patterns and global DNA methylation or individual CpG sites. DMR analyses highlighted associations between the 'varied and balanced' or 'vegetarian tendency' pattern and DMRs located at genes previously implicated in functions essential for embryonic development, such as neurodevelopment. The 'bread and starchy food' pattern was associated with regions related to genes whose functions involve various metabolic and cell synthesis-related processes. In mainly well-nourished French women without major deficiencies, OCM intake before pregnancy was not associated with major variation in DNA methylation."
Yes,,EWAS,34427971,Age patterns of intra-pair DNA methylation discordance in twins: Sex difference in epigenomic instability and implication on survival.,Aging Cell,"Aging is a biological process linked to specific patterns and changes in the epigenome. We hypothesize that age-related variation in the DNA methylome could reflect cumulative environmental modulation to the epigenome which could impact epigenomic instability and survival differentially by sex. To test the hypothesis, we performed sex-stratified epigenome-wide association studies on age-related intra-pair DNA methylation discordance in 492 twins aged 56-80 years. We identified 3084 CpGs showing increased methylation variability with age (FDR < 0.05, 7 CpGs with p < 1e-07) in male twins but no significant site found in female twins. The results were replicated in an independent cohort of 292 twins aged 30-74 years with 37% of the discovery CpGs successfully replicated in male twins. Functional annotation showed that genes linked to the identified CpGs were significantly enriched in signaling pathways, neurological functions, extracellular matrix assembly, and cancer. We further explored the implication of discovery CpGs on individual survival in an old cohort of 224 twins (220 deceased). In total, 264 CpGs displayed significant association with risk of death in male twins. In female twins, 175 of the male discovery CpGs also showed non-random correlation with mortality. Intra-pair comparison showed that majority of the discovery CpGs have higher methylation in the longer-lived twins suggesting that loss of DNA methylation during aging contributes to increased risk of death which is more pronounced in male twins. In conclusion, age-related epigenomic instability in the DNA methylome is more evident in males than in females and could impact individual survival and contribute to sex difference in human lifespan.© 2021 The Authors. Aging Cell published by Anatomical Society and John Wiley & Sons Ltd."
Yes,,EWAS,34425644,Methylation biomarkers of polybrominated diphenyl ethers (PBDEs) and association with breast cancer risk at the time of menopause.,Environ Int,"Exposure to polybrominated diphenyl ethers (PBDEs) may influence risk of developing post-menopausal breast cancer. Although mechanisms are poorly understood, epigenetic regulation of gene expression may play a role.To identify DNA methylation (DNAm) changes associated with PBDE serum levels and test the association of these biomarkers with breast cancer risk.We studied 397 healthy women (controls) and 133 women diagnosed with breast cancer (cases) between ages 40 and 58 years who participated in the California Teachers Study. PBDE levels were measured in blood. Infinium Human Methylation EPIC Bead Chips were used to measure DNAm. Using multivariable linear regression models, differentially methylated CpG sites (DMSs) and regions (DMRs) associated with serum PBDE levels were identified using controls. For top-ranked DMSs and DMRs, targeted next-generation bisulfite sequencing was used to measure DNAm for 133 invasive breast cancer cases and 301 age-matched controls. Conditional logistic regression was used to evaluate associations between DMSs and DMRs and breast cancer risk.We identified 15 DMSs and 10 DMRs statistically significantly associated with PBDE levels (FDR < 0.05). Methylation changes in a DMS at BMP8B and DMRs at TP53 and A2M-AS1 were statistically significantly (FDR < 0.05) associated with breast cancer risk.We show for the first time that serum PBDE levels are associated with differential methylation and that PBDE-associated DNAm changes in blood are associated with breast cancer risk.Copyright © 2021 The Authors. Published by Elsevier Ltd.. All rights reserved."
Yes,,EWAS,34415308,Epigenome-wide association study of mitochondrial genome copy number.,Hum Mol Genet,"We conducted cohort- and race-specific epigenome-wide association analyses of mtDNA copy number (mtDNA CN) measured in whole blood from participants of African and European origins in five cohorts (n = 6182, mean age 57-67 years, 65% women). In the meta-analysis of all the participants, we discovered 21 mtDNA CN-associated CpG sites (p < 1 x 10-7), with a 0.7 to 3.0 standard deviation increase (3 CpGs) or decrease (18 CpGs) in mtDNA CN corresponding to a 1% increase in DNA methylation. Several significant CpGs have been reported to be associated with at least two risk factors (e.g. chronological age or smoking) for cardiovascular disease (CVD). Five genes (PRDM16, NR1H3, XRCC3, POLK, and PDSS2), which harbor nine significant CpGs, are known to be involved in mitochondrial biosynthesis and functions. For example, NR1H3 encodes a transcription factor that is differentially expressed during an adipose tissue transition. The methylation level of cg09548275 in NR1H3 was negatively associated with mtDNA CN (effect size = -1.71, p = 4 x 10-8) and positively associated with the NR1H3 expression level (effect size = 0.43, p = 0.0003), which indicates that the methylation level in NR1H3 may underlie the relationship between mtDNA CN, the NR1H3 transcription factor, and energy expenditure. In summary, the study results suggest that mtDNA CN variation in whole blood is associated with DNA methylation levels in genes that are involved in a wide range of mitochondrial activities. These findings will help reveal molecular mechanisms between mtDNA CN and CVD.© The Author(s) 2021. Published by Oxford University Press. All rights reserved. For Permissions, please email: journals.permissions@oup.com."
