,Date,Category,Paper ID,Title,Journal,Summary,
Yes,20190312,ewas,30833390,Genomic and molecular characterization of preterm birth.,Proc Natl Acad Sci USA,Preterm birth�and maternal blood.�Includes whole genome sequencing and RNA-seq,
No,20190312,dnam score,30842548,An epigenetic score for BMI based on DNA methylation correlates with poor physical health and major disease in the Lothian Birth Cohort.,Int J Obes (Lond),BMI score�associated with health and disease in�LBC.,
No,20190312,dnam age,30842553,Synchrony and asynchrony between an epigenetic clock and developmental timing.,Sci Rep,Developmental stage at least partially independent�of DNAm age in mammalian neural retina.,
No,20190326,mechanism,30698680,Fumarates target the metabolic-epigenetic interplay of brain-homing T cells in multiple sclerosis.,Brain,Fumaric acid esters are�highly effective immunomodulators in patients with�multiple sclerosis. This effect appears to be due to DNA methylation�changes in�brain-homing CCR6+ CD4 and CD8 T cells.,
No,20190326,longitudinal,30867049,Impact of chemotherapy for breast cancer on leukocyte DNA methylation landscape and cognitive function: a prospective study.,Clin Epigenetics,Chemotherapy�changes DNAm in blood.,
,20190326,ewas,30870065,Epigenomic profiling of newborns with isolated orofacial clefts reveals widespread DNA methylation changes and implicates metastable epiallele regions in disease risk.,Epigenetics,Orofacial cleft�associated with DNAm from blood spots collected at birth (includes�VTRNA2-1 gene),
No,20190326,longitudinal,30871403,DNA methylation changes associated with Parkinson's disease progression: outcomes from the first longitudinal genome-wide methylation analysis in blood.,Epigenetics,Longitudinal DNAm changes and associations with treatment in�Parkinsons disease,
,20190326,ewas,30872662,DNA methylation signature of smoking in lung cancer is enriched for exposure signatures in newborn and adult blood.,Sci Rep,Prenatal and own smoking DNAm associations in blood enriched in�lung tumour�DNAm differences.,
,20190326,ewas,30873861,DNA methylation abundantly associates with fetal alcohol spectrum disorder and its subphenotypes.,Epigenomics,Fetal alcohol syndrome�associated with DNAm of blood collected in childhood (after age 5),
,20190326,ewas,30874594,Genomewide Study of Epigenetic Biomarkers of Opioid Dependence in European- American Women.,Sci Rep,Opiod dependence�associated with DNAm in blood.,
No,20190326,methods,30875430,Bigmelon: tools for analysing large DNA methylation datasets.,Bioinformatics,Bigmelon�is a tool for normalizing and analysing large DNAm datasets,
,20190326,ewas,30876376,Epigenome-wide association study reveals methylation pathways associated with childhood allergic sensitization.,Epigenetics,Allergic sensitisation�associated with DNAm in blood in childhood.,
No,20190326,mechanism,30877840,Interaction of nutrition and genetics via DNMT3L-mediated DNA methylation determines cognitive decline.,Neurobiol Aging,Vitamin intake and genetic variation within DNMT3L interact to influence�cognitive decline.,
,20190326,ewas,30879037,"Shift work, DNA methylation and epigenetic age.",Int J Epidemiol,Shift work�associated with DNAm and epigenetic age in blood.,
No,20190326,mechanism,30879057,"Prenatal smoke exposure, DNA methylation and a link between DRD1 and lung cancer.",Int J Epidemiol,Letter to the editor discusses�our study�of persistence of prenatal smoking DNAm effects in connection with�a link�between�DRD1 and lung cancer�.,
,20190326,ewas,30879397,Persistent epigenetic changes in adult daughters of older mothers.,Epigenetics,Maternal age�with DNAm in blood collected in adulthood.�,
No,20190326,tissues,30885044,Locus-specific DNA methylation prediction in cord blood and placenta.,Epigenetics,CpG site correlations between�placenta and cord blood�DNAm.�,
,20190326,ewas,30893429,Epigenetic Associations with Estimated Glomerular Filtration Rate (eGFR) among Men with HIV Infection.,Clin Infect Dis,Kidney function�in HIV�associated with DNAm in blood.,
,20190326,ewas,30898171,Parallel profiling of DNA methylation and hydroxymethylation highlights neuropathology-associated epigenetic variation in Alzheimer's disease.,Clin Epigenetics,Degree of Alzheimer's disease pathology�associated with DNAm and hydroxymethylation in�entorhinal cortex.,
No,20190326,variation,30900359,Screening for rare epigenetic variations in autism and schizophrenia.,Hum Mutat,Epivariations' in blood DNAm linked to�autism and schizophrenia�(these are like rare variants),
No,20190326,comparison,30911103,Genome-wide Analysis Reveals DNA Methylation Alterations in Obesity Associated with High Risk of Colorectal Cancer.,Sci Rep,Associations of�colorectal cancer and of obesity�similar in the DNAm of blood,
No,20190326,dnam age,31738745,A meta-analysis of genome-wide association studies of epigenetic age acceleration,PLoS Genet,"An even larger�GWAS of epigenetic age acceleration�(n=�13,493) identifies a few novel genetic associations.",
Yes,20190401,ewas,30905381,"Sensitive Periods for the Effect of Childhood Adversity on DNA Methylation: Results From a Prospective, Longitudinal Study.",Biol Psychiatry,"DNA methylation at 7 years is associated with�childhood adversity, mainly before age 3.",
No,20190401,ewas,30909978,Differential genome-wide DNA methylation patterns in childhood obesity.,BMC Res Notes,DNA methylation in blood at 13 years is associated with�obesity�but not prenatal maternal stress (n=31).�,
No,20190401,ewas,30913233,DNA methylation among firefighters.,PLoS ONE,DNA methylation in blood is different between�new and incumbent firefighters (n=86).�,
No,20190401,ewas,30913238,Effects of early social deprivation on epigenetic statuses and adaptive behavior of young children: A study based on a cohort of institutionalized infants and toddlers.,PLoS ONE,DNA methylation in blood is different between children raised in families vs�orphanages�(n=58).,
No,20190401,epigenetics,30914725,Characteristics and homogeneity of N6-methylation in human genomes.,Sci Rep,"N-6 methylated deoxyadenosine (m6dA)�was recently discovered in humans and other eukaryotes.� It is somewhat rare but consistent within cell types, and it is associated with higher gene expression.",
Yes,20190401,ewas,30915882,Novel DNA methylation sites associated with cigarette smoking among African Americans.,Epigenetics,"DNA methylation in saliva of�African Americans associated with smoking, six novel sites identified and replicated.",
No,20190401,imprinting,30918249,Parent of origin genetic effects on methylation in humans are common and influence complex trait variation.,Nat Commun,"Parent of origin effects�in DNA methylation observed at 171 novel loci. A PheWAS identified ""a previously unidentified imprinted locus associated with waist circumference"".�",
Yes,20190401,ewas,30925934,"Prenatal maternal antidepressants, anxiety, and depression and offspring DNA methylation: epigenome-wide associations at birth and persistence into early childhood.",Clin Epigenetics,DNA methylation in cord blood is associated with�maternal antidepressant use in pregnancy.,
No,20190401,ewas,30926763,DNA methylation in genes of longevity-regulating pathways: association with obesity and metabolic complications.,Aging (Albany NY),"CpG sites associated with longevity included several associated with BMI and with age in patients with metabolic disorders, ""suggesting a role of DNAm in aging-related metabolic alterations"".",
No,20190408,methods,30922215,A (fire)cloud-based DNA methylation data preprocessing and quality control platform.,BMC Bioinformatics,A Bioconductor R package supports cloud-based�preprocessing�of a very large DNA methylation datasets.,
No,20190408,ewas,30924596,SIPA1L3 methylation modifies the benefit of smoking cessation on lung adenocarcinoma survival: an epigenomic-smoking interaction analysis.,Mol Oncol,Methylome-wide interaction between smoking cessation and lung cancer survival found that smoking cessation was beneficial only for those with low methylation levels at a specific�CpG site.,
No,20190408,variation,30929737,Diagnostic Utility of Genome-wide DNA Methylation Testing in Genetically Unsolved Individuals with Suspected Hereditary Conditions.,Am J Hum Genet,"They train a model for detecting hereditary conditions using blood DNA methylation. ""This study demonstrates that genomic DNA methylation analysis can facilitate the molecular diagnosis of unresolved clinical cases ..."" They further show how investigating ""epi-variation"" in individuals can be used to further narrow down a diagnosis.",
Yes,20190408,ewas,30935889,Identification of novel differentially methylated sites with potential as clinical predictors of impaired respiratory function and COPD.,EBioMedicine,Identification of novel differentially methylated sites with potential as clinical predictors of impaired respiratory function and COPD,
Yes,20190408,ewas,30938765,Alcohol and DNA Methylation: An Epigenome-Wide Association Study in Blood and Normal Breast Tissue.,Am J Epidemiol,Alcohol and DNA Methylation: An Epigenome-Wide Association Study in Blood and Normal Breast Tissue.,
Yes,20190408,ewas,30940212,Association of leukocyte DNA methylation changes with dietary folate and alcohol intake in the EPIC study.,Clin Epigenetics,Association of leukocyte DNA methylation changes with dietary folate and alcohol intake in the EPIC study,
Yes,20190408,ewas,30941597,"Prosocial Emotion, Adolescence, and Warfare : DNA Methylation Associates with Culturally Salient Combat Variables.",Hum Nat,"Prosocial Emotion, Adolescence, and Warfare : DNA Methylation Associates with Culturally Salient Combat Variables.",
No,20190408,methods,30944378,A Network-guided Association Mapping Approach from DNA Methylation to Disease.,Sci Rep,"Describes a network-based method for using DNA methylation to distinguish between disease states (e.g. malignant vs benign tumours). Integrates associations between DNA methylation, gene expression and disease phenotype.",
No,20190415,mouse,30858345,Remodeling of epigenome and transcriptome landscapes with aging in mice reveals widespread induction of inflammatory responses.,Genome Res,Remodeling of epigenome and transcriptome landscapes with aging in mice reveals widespread induction of�inflammatory responses.?,
No,20190415,mouse,30936186,Intra-individual methylomics detects the impact of early-life adversity.,Life Sci Alliance,Intra-individual methylomics detects the impact of early-life adversity.,
No,20190415,methods,30941158,A Multi-Cohort and Multi-Omics Meta-Analysis Framework to Identify Network-Based Gene Signatures.,Front Genet,A Multi-Cohort and Multi-Omics Meta-Analysis Framework to Identify Network-Based Gene Signatures.,
No,20190415,candidate,30947592,ERα Gene Promoter Methylation in Cognitive Function and Quality of Life of Patients With Alzheimer Disease.,J Geriatr Psychiatry Neurol,ER? Gene Promoter Methylation in Cognitive Function and Quality of Life of Patients With Alzheimer Disease.,
No,20190415,mouse,30948436,DNA (de)methylation in embryonic stem cells controls CTCF-dependent chromatin boundaries.,Genome Res,DNA (de)methylation in embryonic stem cells controls CTCF-dependent chromatin boundaries.,
No,20190415,candidate,30950195,DNA methylation-reprogrammed oxytocin receptor underlies insensitivity to oxytocin in pre-eclamptic placental vasculature.,J Cell Mol Med,DNA methylation-reprogrammed oxytocin receptor underlies insensitivity to oxytocin in pre-eclamptic placental vasculature.,
No,20190415,mouse,30955436,"Somatic expression of piRNA and associated machinery in the mouse identifies short, tissue-specific piRNA.",Epigenetics,"Somatic expression of piRNA and associated machinery in the mouse identifies short, tissue-specific piRNA",
,20190415,ewas,30956810,Pregnancy lipidomic profiles and DNA methylation in newborns from the CHAMACOS cohort.,Environ Epigenet,Pregnancy lipidomic profiles and DNA methylation in newborns from the CHAMACOS cohort.,
,20190415,ewas,30958317,Longitudinal Epigenome-Wide Methylation Study of Cognitive Decline and Motor Progression in Parkinson's Disease.,J Parkinsons Dis,Longitudinal Epigenome-Wide Methylation Study of Cognitive Decline and Motor Progression in Parkinson's Disease.,
,20190415,ewas,30966798,Environmental factors influence the epigenetic signature of newborns from mothers with gestational diabetes.,Epigenomics,Environmental factors influence the epigenetic signature of newborns from mothers with gestational diabetes.,
,20190415,ewas,30966880,Variable DNA methylation in neonates mediates the association between prenatal smoking and birth weight.,"Philos Trans R Soc Lond, B, Biol Sci",Variable DNA methylation in neonates mediates the association between prenatal smoking and birth weight.,
No,20190415,review,30982733,Epigenetics in Human Obesity and Type 2 Diabetes.,Cell Metab,Epigenetics in Human Obesity and Type 2 Diabetes,
No,20190429,ewas,30872577,Dissecting features of epigenetic variants underlying cardiometabolic risk using full-resolution epigenome profiling in regulatory elements.,Nat Commun,Dissecting features of epigenetic variants underlying cardiometabolic risk using full-resolution epigenome profiling in regulatory elements,
Yes,20190429,ewas,30906879,Residential exposure to radon and DNA methylation across the lifecourse: an exploratory study in the ALSPAC birth cohort.,Wellcome Open Res,Residential exposure to radon and DNA methylation across the lifecourse: an exploratory study in the ALSPAC birth cohort,
No,20190429,wgbs,30975860,The NASA Twins Study: A multidimensional analysis of a year-long human spaceflight.,Science,The NASA Twins Study: A multidimensional analysis of a year-long human spaceflight,
No,20190429,methods,30976086,Sex-differential DNA methylation and associated regulation networks in human brain implicated in the sex-biased risks of psychiatric disorders.,Mol Psychiatry,"After performing a typical EWAS, they �extended the regulatory networks related to sex-differential methylation and psychiatric disorders by integrating methylation quantitative trait loci (meQTLs), gene expression, and protein-protein interaction data.� ",
No,20190429,wgbs,30988170,Noninvasive Detection of Bladder Cancer by Shallow-Depth Genome-Wide Bisulfite Sequencing of Urinary Cell-Free DNA for Methylation and Copy Number Profiling.,Clin Chem,Noninvasive Detection of Bladder Cancer by Shallow-Depth Genome-Wide Bisulfite Sequencing of Urinary Cell-Free�DNA�for�Methylation�and Copy Number Profiling,
No,20190429,methods,30988719,An integrative module analysis of DNA methylation landscape in aging.,Exp Ther Med,"Identified modules in 3 different age groups, identified overlapping modules, and then found that was �dynamic�.  Somehow protein interactions and correlations between CpG sites were used to discover modules.",
Yes,20190429,ewas,30989176,Blood DNA methylation and breast cancer: A prospective case-cohort analysis in the Sister Study.,J Natl Cancer Inst,Blood DNA methylation and breast cancer: A prospective case-cohort analysis in the Sister Study.,
No,20190429,wgbs,30992551,Aberrant DNA methylation as a diagnostic biomarker of diabetic embryopathy.,Genet Med,Aberrant DNA methylation as a diagnostic biomarker of diabetic embryopathy,
No,20190429,methods,30999858,Walking pathways with positive feedback loops reveal DNA methylation biomarkers of colorectal cancer.,BMC Bioinformatics,Describe a method for linking changes in DNA methylation at putative transcription factor binding sites to changes in gene expression in tumor samples. Claim to use machine learning and artificial intelligence methods.,
No,20190429,ewas,31003786,Epigenome-wide Association Study of Attention-Deficit/Hyperactivity Disorder Symptoms in Adults.,Biol Psychiatry,Epigenome-wide Association Study of Attention-Deficit/Hyperactivity Disorder Symptoms in Adults.,
Yes,20190429,ewas,31004082,Epigenome-wide Analysis Identifies Genes and Pathways Linked to Neurobehavioral Variation in Preterm Infants.,Sci Rep,Epigenome-wide Analysis Identifies Genes and Pathways Linked to Neurobehavioral Variation in Preterm Infants. ,
,20190429,ewas,31008534,Noninvasive diagnosis of urothelial cancer in urine using DNA hypermethylation signatures-Gender matters.,Int J Cancer,Non-invasive diagnosis of urothelial cancer in urine using DNA hypermethylation signatures - Gender matters,
No,20190429,dnam age,31009935,"Socioeconomic position, lifestyle habits and biomarkers of epigenetic aging: a multi-cohort analysis.",Aging (Albany NY),"Socioeconomic position, lifestyle habits and biomarkers of epigenetic aging: a multi-cohort analysis. ",
No,20190429,wgbs,31009952,Placental DNA methylation levels at CYP2E1 and IRS2 are associated with child outcome in a prospective autism study.,Hum Mol Genet,Placental DNA methylation levels at CYP2E1 and IRS2 are associated with child outcome in a prospective autism study,
Yes,20190429,ewas,31010371,Identification of DNA methylation patterns predisposing for an efficient response to BCG vaccination in healthy BCG-naïve subjects.,Epigenetics,Identification of DNA methylation patterns predisposing for an efficient response to BCG vaccination in healthy BCG-na�ve subjects,
Yes,20190429,ewas,31015461,Meta-analysis of epigenome-wide association studies in neonates reveals widespread differential DNA methylation associated with birthweight.,Nat Commun,Meta-analysis of epigenome-wide association studies in neonates reveals widespread differential DNA methylation associated with birthweight,
,20190429,ewas,31015518,Genome-wide DNA methylation analysis in obese women predicts an epigenetic signature for future endometrial cancer.,Sci Rep,Genome-wide DNA methylation analysis in obese women predicts an epigenetic signature for future endometrial cancer,
,20190520,ewas,31020763,"Neonatal amygdalae and hippocampi are influenced by genotype and prenatal environment, and reflected in the neonatal DNA methylome.",Genes Brain Behav,"Scans of neonatal amygdalae and hippocampi, genotype, cord blood DNA methylation, prenatal environment",
Yes,20190520,ewas,31024609,Genome-Wide DNA Methylation Profiles Reveal Common Epigenetic Patterns of Interferon-Related Genes in Multiple Autoimmune Diseases.,Front Genet,Multiple autoimmune diseases and CD4+ T cell methylation,
No,20190520,ewas,31026301,Maternal circadian disruption is associated with variation in placental DNA methylation.,PLoS ONE,Maternal circadian disruption (placenta),
No,20190520,epigenetics,31028648,Simultaneous Profiling of mRNA Transcriptome and DNA Methylome from a Single Cell.,Methods Mol Biol,Simultaneous Profiling of mRNA Transcriptome and�DNA�Methylome from a Single Cell,
,20190520,ewas,31031804,The Cord Blood Insulin and Mitochondrial DNA Content Related Methylome.,Front Genet,Cord Blood insulin and mitochondrial�DNA�content in cord blood. ,
Yes,20190520,ewas,31033411,"Circulating levels of inflammatory markers and DNA methylation, an analysis of repeated samples from a population based cohort.",Epigenetics,"Circulating levels of inflammatory markers and�DNA methylation, an analysis of repeated samples from a population based cohort",
No,20190520,dnam age,31038702,Comparative validation of an epigenetic mortality risk score with three aging biomarkers for predicting mortality risks among older adult males.,Int J Epidemiol,Comparative validation of an epigenetic mortality risk score with three aging biomarkers for predicting mortality risks among older adult males,
,20190520,ewas,31039056,Associations between Maternal Tobacco Smoke Exposure and the Cord Blood [Formula: see text] DNA Methylome.,Environ Health Perspect,Maternal tobacco smoke exposure and cord blood. ,
Yes,20190520,ewas,31039828,Epigenome-wide association study for lifetime estrogen exposure identifies an epigenetic signature associated with breast cancer risk.,Clin Epigenetics,"Breast cancer, estrogen exposure and blood DNA methylation",
No,20190520,ewas,31053557,Combining evidence from four immune cell types identifies DNA methylation patterns that implicate functionally distinct pathways during Multiple Sclerosis progression.,EBioMedicine,Four immune cell types and multiple sclerosis progression,
No,20190520,ewas,31053723,Differential methylation of enhancer at IGF2 is associated with abnormal dopamine synthesis in major psychosis.,Nat Commun,Major psychosis in prefrontal cortex neurons.,
Yes,20190520,ewas,31062658,Epigenome-wide DNA methylation in placentas from preterm infants: association with maternal socioeconomic status.,Epigenetics,Socioeconomic Status in preterm infants (placenta),
No,20190520,methods,31063461,An integrative association method for omics data based on a modified Fisher's method with application to childhood asthma.,PLoS Genet,"Calculated a combined p-value of association between a trait and SNPs, DNAm and mRNA linked to a given gene",
No,20190520,ewas,31064978,DNA methylation signatures of monozygotic twins clinically discordant for multiple sclerosis.,Nat Commun,"Monozygotic twins clinically discordant for multiple sclerosis (n=45) have 7 CpG site associations, 2 validated",
No,20190520,reference,31068700,Next-generation characterization of the Cancer Cell Line Encyclopedia.,Nature,Next-generation characterization of the Cancer Cell Line Encyclopedia.,
No,20190520,epigenetics,31069058,Detection and analysis of RNA methylation.,F1000Res,Detection and analysis of RNA methylation.,
,20190520,ewas,31070508,Prenatal maternal depressive symptoms and infant DNA methylation: a longitudinal epigenome-wide study.,Nord J Psychiatry,Maternal depressive symptoms and infant saliva.  ,
Yes,20190520,ewas,31073081,Epigenome-wide association study of lung function level and its change.,Eur Respir J,Lung function change,
Yes,20190520,ewas,31076557,"Integrative analysis of gene expression, DNA methylation, physiological traits, and genetic variation in human skeletal muscle.",Proc Natl Acad Sci USA,"Integrative analysis of gene expression, DNA methylation, physiological traits, and genetic variation in human skeletal muscle.",
No,20190520,ewas,31086609,Maternal dietary glycaemic change during gestation influences insulin-related gene methylation in the placental tissue: a genome-wide methylation analysis.,Genes Nutr,Maternal dietary glycaemic change (placenta),
No,20190520,methods,31088362,Guidance for DNA methylation studies: statistical insights from the Illumina EPIC array.,BMC Genomics,Guidance for DNA methylation studies: statistical insights from the Illumina EPIC array,
No,20190520,ewas,31099405,Genome-wide gene expression in a pharmacological hormonal transition model and its relation to depressive symptoms.,Acta Psychiatr Scand,Pharmacological hormonal transition model and depressive symptoms.,
Yes,20190520,ewas,31100065,In-utero epigenetic factors are associated with early-onset myopia in young children.,PLoS ONE,Myopia at 3 predicted by 5 CpG sites in cord blood (n=519). ,
Yes,20190520,ewas,31101124,Blood DNA methylation and breast cancer risk: a meta-analysis of four prospective cohort studies.,Breast Cancer Res,"Breast cancer, estrogen exposure and blood DNA methylation",
No,20190603,global,30302724,"Methamphetamine (MA) Use Induces Specific Changes in LINE-1 Partial Methylation Patterns, Which Are Associated with MA-Induced Paranoia: a Multivariate and Neuronal Network Study.",Mol Neurobiol,"Methamphetamine (MA) Use Induces Specific Changes in LINE-1 Partial�Methylation�Patterns, Which Are Associated with MA-Induced Paranoia: a Multivariate and Neuronal Network Study",
Yes,20190603,ewas,30779925,Blood-Derived DNA Methylation Signatures of Crohn's Disease and Severity of Intestinal Inflammation.,Gastroenterology,Blood-Derived�DNA Methylation�Signatures of Crohn's Disease and Severity of Intestinal Inflammation,
No,20190603,ewas,31109152,Impact of Acute Aerobic Exercise on Genome-Wide DNA-Methylation in Natural Killer Cells-A Pilot Study.,Genes (Basel),Impact of Acute Aerobic Exercise on Genome-Wide�DNA-Methylation�in Natural Killer Cells-A Pilot Study,
No,20190603,dnam age,31113906,"Epigenetic clock analysis of human fibroblasts <i>in vitro</i>: effects of hypoxia, donor age, and expression of hTERT and SV40 largeT.",Aging (Albany NY),"Epigenetic clock analysis of human fibroblasts�in vitro: effects of hypoxia, donor age, and expression of hTERT and SV40 largeT.",
No,20190603,ewas,31113950,Epigenetic dysregulation of enhancers in neurons is associated with Alzheimer's disease pathology and cognitive symptoms.,Nat Commun,Epigenetic dysregulation of enhancers in neurons is associated with Alzheimer's disease pathology and cognitive symptoms.,
No,20190603,ewas,31116258,Genome-wide DNA methylation profile in the peripheral blood of cocaine and crack dependents.,Braz J Psychiatry,�Genome-wide�DNA methylation�profile in the peripheral blood of cocaine and crack dependents,
No,20190603,candidate,31122292,Identification of dynamic glucocorticoid-induced methylation changes at the FKBP5 locus.,Clin Epigenetics,Identification of dynamic glucocorticoid-induced�methylation�changes at the FKBP5 locus,
No,20190603,ewas,31132961,Genome-wide DNA methylation profiling of human diabetic peripheral neuropathy in subjects with type 2 diabetes mellitus.,Epigenetics,Genome-wide�DNA methylation�profiling of human diabetic peripheral neuropathy in subjects with type 2 diabetes mellitus,
No,20190603,dnam age,31138013,Human epigenetic ageing is logarithmic with time across the entire lifespan.,Epigenetics,Human Epigenetic Aging is Logarithmic with Time across the Entire LifeSpan,
Yes,20190603,ewas,31139831,Epigenome-wide association analysis of daytime sleepiness in the Multi-Ethnic Study of Atherosclerosis reveals African-American-specific associations.,Sleep,Epigenome-wide association analysis of daytime sleepiness in the Multi-Ethnic Study of Atherosclerosis reveals African-American-specific associations.,
No,20190610,ewas,31084332,Epigenome-Wide Association Study Indicates Hypomethylation of MTRNR2L8 in Large-Artery Atherosclerosis Stroke.,Stroke,Epigenome-Wide Association Study Indicates Hypomethylation of MTRNR2L8 in Large-Artery Atherosclerosis Stroke,
No,20190610,methods,31138268,OSCA: a tool for omic-data-based complex trait analysis.,Genome Biol,OSCA - Omics based tool for complex traits analysis ,
Yes,20190610,ewas,31142478,Altered DNA methylation in children born to mothers with rheumatoid arthritis during pregnancy.,Ann Rheum Dis,"Altered DNA methylation in children born to mothers with rheumatoid arthritis during pregnancy. ""80 blood samples from children (mean age=6.8 years) born to mothers with RA. As controls, blood samples from 354 children (mean age=6.0 years) from the population-based Generation R Study were used"" ""147 CpGs were differentially methylated""",
Yes,20190610,ewas,31143935,"Genetically predicted levels of DNA methylation biomarkers and breast cancer risk: data from 228,951 women of European descent.",J Natl Cancer Inst,"Genetically predicted levels of DNA methylation biomarkers and breast cancer risk: data from 228,951 women of European descent?",
No,20190610,genetics,31144443,CpG-related SNPs in the MS4A region have a dose-dependent effect on risk of late-onset Alzheimer disease.,Aging Cell,"CpG-related SNPs in the MS4A region have a dose-dependent effect on risk of late-onset Alzheimer disease. ""We confirm the importance of CGS in AD and the potential for creating a functional CpG dosage-derived genetic score to predict AD risk.""",
Yes,20190610,ewas,31148503,Prenatal Particulate Air Pollution and DNA Methylation in Newborns: An Epigenome-Wide Meta-Analysis.,Environ Health Perspect,"Prenatal Particulate Air Pollution and DNA Methylation in Newborns: An Epigenome-Wide Meta-Analysis. "" exposure to PM10 (n=1,949) and PM2.5 (n=1,551) at maternal home addresses during pregnancy and newborn DNA methylation"" ""Six CpGs were significantly associated [false discovery rate (FDR) <0.05] with prenatal PM10 and 14 with PM2.5 exposure.""",
No,20190610,ewas,31152171,Occupational exposure to gases/fumes and mineral dust affect DNA methylation levels of genes regulating expression.,Hum Mol Genet,Occupational exposure to gases/fumes and mineral dust affect DNA methylation levels of genes regulating expression. Comb-p,
No,20190610,variation,31155008,A genomic atlas of systemic interindividual epigenetic variation in humans.,Genome Biol,A genomic atlas of systemic interindividual epigenetic variation in humans,
No,20190610,dnam age,31156022,Human aging DNA methylation signatures are conserved but accelerated in cultured fibroblasts.,Epigenetics,"Human Aging DNA Methylation Signatures are Conserved but Accelerated in Cultured Fibroblasts. ""epigenetic aging is approximately 62x times faster in cultured cells than in the human body""",
Yes,20190610,ewas,31165884,Association of dietary folate and vitamin B-12 intake with genome-wide DNA methylation in blood: a large-scale epigenome-wide association analysis in 5841 individuals.,Am J Clin Nutr,"Association of dietary folate and vitamin B-12 intake with genome-wide DNA methylation in blood: a large-scale epigenome-wide association analysis in 5841 individuals. ""The categorical model resulted in 6 DMPs, which are all negatively associated with folate intake"" ""Vitamin B-12 intake was not associated with DMPs""",
