present,ec,type,pmid,title,source,abstract
,Yes,ewas,36319817,Meta-analysis of epigenome-wide association studies of major depressive disorder.,Sci Rep,"Epigenetic mechanisms have been hypothesized to play a role in the etiology of major depressive disorder (MDD). In this study, we performed a meta-analysis between two case-control MDD cohorts to identify differentially methylated positions (DMPs) and differentially methylated regions (DMRs) in MDD. Using samples from two Cohorts (a total of 298 MDD cases and 63 controls with repeated samples, on average ~ 1.8 samples/subject), we performed an EWAS meta-analysis. Multiple cytosine-phosphate-guanine sites annotated to TNNT3 were associated with MDD reaching study-wide significance, including cg08337959 (p = 2.3 × 10-11). Among DMPs with association p values less than 0.0001, pathways from REACTOME such as Ras activation upon Ca2+influx through the NMDA receptor (p = 0.0001, p-adjusted = 0.05) and long-term potentiation (p = 0.0002, p-adjusted = 0.05) were enriched in this study. A total of 127 DMRs with Sidak-corrected p value < 0.05 were identified from the meta-analysis, including DMRs annotated to TNNT3 (chr11: 1948933 to 1949130 [6 probes], Sidak corrected P value = 4.32 × 10-41), S100A13 (chr1: 153599479 to 153600972 [22 probes], Sidak corrected P value = 5.32 × 10-18), NRXN1 (chr2: 50201413 to 50201505 [4 probes], Sidak corrected P value = 1.19 × 10-11), IL17RA (chr22: 17564750 to 17565149, Sidak corrected P value = 9.31 × 10-8), and NPFFR2 (chr4: 72897565 to 72898212, Sidak corrected P value = 8.19 × 10-7). Using 2 Cohorts of depression case-control samples, we identified DMPs and DMRs associated with MDD. The molecular pathways implicated by these data include mechanisms involved in neuronal synaptic plasticity, calcium signaling, and inflammation, consistent with reports from previous genetic and protein biomarker studies indicating that these mechanisms are involved in the neurobiology of depression.© 2022. The Author(s)."
,Yes,ewas,36303554,Epigenome-wide association study of biomarkers of liver function identifies albumin-associated DNA methylation sites among male veterans with HIV.,Front Genet,"Background: Liver disease (LD) is an important cause of morbidity and mortality for people with HIV (PWH). The molecular factors linked with LD in PWH are varied and incompletely characterized. We performed an epigenome-wide association study (EWAS) to identify associations between DNA methylation (DNAm) and biomarkers of liver function-aspartate transaminase, alanine transaminase, albumin, total bilirubin, platelet count, FIB-4 score, and APRI score-in male United States veterans with HIV.Methods:Blood samples and clinical data were obtained from 960 HIV-infected male PWH from the Veterans Aging Cohort Study. DNAm was assessed using the Illumina 450K or the EPIC 850K array in two mutually exclusive subsets. We performed a meta-analysis for each DNAm site measured by either platform. We also examined the associations between four measures of DNAm age acceleration (AA) and liver biomarkers.Results:Nine DNAm sites were positively associated with serum albumin in the meta-analysis of the EPIC and 450K EWAS after correcting for multiple testing. Four DNAm sites (cg16936953, cg18942579, cg01409343, and cg12054453), annotated within theTMEM49and four of the remaining five sites (cg18181703, cg03546163, cg20995564, and cg23966214) annotated toSOCS3,FKBP5,ZEB2, andSAMD14genes, respectively. The DNAm site, cg12992827, was not annotated to any known coding sequence. No significant associations were detected for the other six liver biomarkers. Higher PhenoAA was significantly associated with lower level of serum albumin (β= -0.007,p-value = 8.6 × 10-4, CI: -0.011116, -0.002884).Conclusion:We identified epigenetic associations of both individual DNAm sites and DNAm AA with liver function through serum albumin in men with HIV. Further replication analyses in independent cohorts are warranted to confirm the epigenetic mechanisms underlying liver function and LD in PWH.Copyright © 2022 Titanji, Lee, Wang, Chen, Hui, Lo Re III, So-Armah, Justice, Xu, Freiberg, Gwinn, Marconi and Sun."
,No,ewas,36292679,Profiling Genome-Wide DNA Methylation in Children with Autism Spectrum Disorder and in Children with Fragile X Syndrome.,Genes (Basel),"Autism spectrum disorder (ASD) is an early onset, developmental disorder whose genetic cause is heterogeneous and complex. In total, 70% of ASD cases are due to an unknown etiology. Among the monogenic causes of ASD, fragile X syndrome (FXS) accounts for 2-4% of ASD cases, and 60% of individuals with FXS present with ASD. Epigenetic changes, specifically DNA methylation, which modulates gene expression levels, play a significant role in the pathogenesis of both disorders. Thus, in this study, using the Human Methylation EPIC Bead Chip, we examined the global DNA methylation profiles of biological samples derived from 57 age-matched male participants (2-6 years old), including 23 subjects with ASD, 23 subjects with FXS with ASD (FXSA) and 11 typical developing (TD) children. After controlling for technical variation and white blood cell composition, using the conservatory threshold of the false discovery rate (FDR ≤ 0.05), in the three comparison groups, TD vs. AD, TD vs. FXSA and ASD vs. FXSA, we identified 156, 79 and 3100 differentially methylated sites (DMS), and 14, 13 and 263 differential methylation regions (DMRs). Interestingly, several genes differentially methylated among the three groups were among those listed in the SFARI Gene database, including thePAK2,GTF2IandFOXP1genes important for brain development. Further, enrichment analyses identified pathways involved in several functions, including synaptic plasticity. Our preliminary study identified a significant role of altered DNA methylation in the pathology of ASD and FXS, suggesting that the characterization of a DNA methylation signature may help to unravel the pathogenicity of FXS and ASD and may help the development of an improved diagnostic classification of children with ASD and FXSA. In addition, it may pave the way for developing therapeutic interventions that could reverse the altered methylome profile in children with neurodevelopmental disorders."
,Yes,ewas,36292585,Differentially Methylated DNA Regions and Left Ventricular Hypertrophy in African Americans: A HyperGEN Study.,Genes (Basel),"Left ventricular (LV) hypertrophy (LVH) is an independent risk factor for cardiovascular disease, and African Americans experience a disparate high risk of LVH. Genetic studies have identified potential candidate genes and variants related to the condition. Epigenetic modifications may continue to help unravel disease mechanisms. We used methylation and echocardiography data from 636 African Americans selected from the Hypertension Genetic Epidemiology Network (HyperGEN) to identify differentially methylated regions (DMRs) associated with LVH. DNA extracted from whole blood was assayed on Illumina Methyl450 arrays. We fit linear mixed models to examine associations between co-methylated regions and LV traits, and we then conducted single CpG analyses within significant DMRs. We identified associations between DMRs and ejection fraction (<i>XKR6</i>), LV internal diastolic dimension (<i>TRAK1</i>), LV mass index (<i>GSE1</i>, <i>RPS15 A</i>, <i>PSMD7</i>), and relative wall thickness (<i>DNHD1</i>). In single CpG analysis, CpG sites annotated to <i>TRAK1</i> and <i>DNHD1</i> were significant. These CpGs were not associated with LV traits in replication cohorts but the direction of effect for <i>DNHD1</i> was consistent across cohorts. Of note, <i>DNHD1</i>, <i>GSE1</i>, and <i>PSMD7</i> may contribute to cardiac structural function. Future studies should evaluate relationships between regional DNA methylation patterns and the development of LVH."
,Yes,ewas,36274151,Temporal associations between leukocytes DNA methylation and blood lipids: a longitudinal study.,Clin Epigenetics,"The associations between blood lipids and DNA methylation have been investigated in epigenome-wide association studies mainly among European ancestry populations. Several studies have explored the direction of the association using cross-sectional data, while evidence of longitudinal data is still lacking.We tested the associations between peripheral blood leukocytes DNA methylation and four lipid measures from Illumina 450 K or EPIC arrays in 1084 participants from the Chinese National Twin Registry and replicated the result in 988 participants from the China Kadoorie Biobank. A total of 23 associations of 19 CpG sites were identified, with 4 CpG sites located in or adjacent to 3 genes (TMEM49, SNX5/SNORD17 and CCDC7) being novel. Among the validated associations, we conducted a cross-lagged analysis to explore the temporal sequence and found temporal associations of methylation levels of 2 CpG sites with triglyceride and 2 CpG sites with high-density lipoprotein-cholesterol (HDL-C) in all twins. In addition, methylation levels of cg11024682 located in SREBF1 at baseline were temporally associated with triglyceride at follow-up in only monozygotic twins. We then performed a mediation analysis with the longitudinal data and the result showed that the association between body mass index and HDL-C was partially mediated by the methylation level of cg06500161 (ABCG1), with a mediation proportion of 10.1%.Our study indicated that the DNA methylation levels of ABCG1, AKAP1 and SREBF1 may be involved in lipid metabolism and provided evidence for elucidating the regulatory mechanism of lipid homeostasis.© 2022. The Author(s)."
,Yes,ewas,36266660,Maternal blood pressure associates with placental DNA methylation both directly and through alterations in cell-type composition.,BMC Med,"Maternal blood pressure levels reflect cardiovascular adaptation to pregnancy and proper maternal-fetal exchanges through the placenta and are very sensitive to numerous environmental stressors. Maternal hypertension during pregnancy has been associated with impaired placental functions and with an increased risk for children to suffer from cardiovascular and respiratory diseases later on. Investigating changes in placental DNA methylation levels and cell-type composition in association with maternal blood pressure could help elucidate its relationships with placental and fetal development.Taking advantage of a large cohort of 666 participants, we investigated the association between epigenome-wide DNA methylation patterns in the placenta, measured using the Infinium HumanMethylation450 BeadChip, placental cell-type composition, estimated in silico, and repeated measurements of maternal steady and pulsatile blood pressure indicators during pregnancy.At the site-specific level, no significant association was found between maternal blood pressure and DNA methylation levels after correction for multiple testing (false discovery rate < 0.05), but 5 out of 24 previously found CpG associations were replicated (p-value < 0.05). At the regional level, our analyses highlighted 64 differentially methylated regions significantly associated with at least one blood pressure component, including 35 regions associated with mean arterial pressure levels during late pregnancy. These regions were found enriched for genes implicated in lung development and diseases. Further mediation analyses show that a significant part of the association between steady blood pressure-but not pulsatile pressure-and placental methylation can be explained by alterations in placental cell-type composition. In particular, elevated blood pressure levels are associated with a decrease in the ratio between mesenchymal stromal cells and syncytiotrophoblasts, even in the absence of preeclampsia.This study provides the first evidence that the association between maternal steady blood pressure during pregnancy and placental DNA methylation is both direct and partly explained by changes in cell-type composition. These results could hint at molecular mechanisms linking maternal hypertension to lung development and early origins of childhood respiratory problems and at the importance of controlling maternal blood pressure during pregnancy.© 2022. The Author(s)."
x,Yes,ewas,36253871,Local CpG density affects the trajectory and variance of age-associated DNA methylation changes.,Genome Biol,"DNA methylation is an epigenetic mark associated with the repression of gene promoters. Its pattern in the genome is disrupted with age and these changes can be used to statistically predict age with epigenetic clocks. Altered rates of aging inferred from these clocks are observed in human disease. However, the molecular mechanisms underpinning age-associated DNA methylation changes remain unknown. Local DNA sequence can program steady-state DNA methylation levels, but how it influences age-associated methylation changes is unknown.We analyze longitudinal human DNA methylation trajectories at 345,895 CpGs from 600 individuals aged between 67 and 80 to understand the factors responsible for age-associated epigenetic changes at individual CpGs. We show that changes in methylation with age occur at 182,760 loci largely independently of variation in cell type proportions. These changes are especially apparent at 8322 low CpG density loci. Using SNP data from the same individuals, we demonstrate that methylation trajectories are affected by local sequence polymorphisms at 1487 low CpG density loci. More generally, we find that low CpG density regions are particularly prone to change and do so variably between individuals in people aged over 65. This differs from the behavior of these regions in younger individuals where they predominantly lose methylation.Our results, which we reproduce in two independent groups of individuals, demonstrate that local DNA sequence influences age-associated DNA methylation changes in humans in vivo. We suggest that this occurs because interactions between CpGs reinforce maintenance of methylation patterns in CpG dense regions.© 2022. The Author(s)."
,Yes,ewas,36329530,Whole blood methylome-derived features to discriminate endocrine hypertension.,Clin Epigenetics,"Arterial hypertension represents a worldwide health burden and a major risk factor for cardiovascular morbidity and mortality. Hypertension can be primary (primary hypertension, PHT), or secondary to endocrine disorders (endocrine hypertension, EHT), such as Cushing's syndrome (CS), primary aldosteronism (PA), and pheochromocytoma/paraganglioma (PPGL). Diagnosis of EHT is currently based on hormone assays. Efficient detection remains challenging, but is crucial to properly orientate patients for diagnostic confirmation and specific treatment. More accurate biomarkers would help in the diagnostic pathway. We hypothesized that each type of endocrine hypertension could be associated with a specific blood DNA methylation signature, which could be used for disease discrimination. To identify such markers, we aimed at exploring the methylome profiles in a cohort of 255 patients with hypertension, either PHT (n = 42) or EHT (n = 213), and at identifying specific discriminating signatures using machine learning approaches.Unsupervised classification of samples showed discrimination of PHT from EHT. CS patients clustered separately from all other patients, whereas PA and PPGL showed an overall overlap. Global methylation was decreased in the CS group compared to PHT. Supervised comparison with PHT identified differentially methylated CpG sites for each type of endocrine hypertension, showing a diffuse genomic location. Among the most differentially methylated genes, FKBP5 was identified in the CS group. Using four different machine learning methods-Lasso (Least Absolute Shrinkage and Selection Operator), Logistic Regression, Random Forest, and Support Vector Machine-predictive models for each type of endocrine hypertension were built on training cohorts (80% of samples for each hypertension type) and estimated on validation cohorts (20% of samples for each hypertension type). Balanced accuracies ranged from 0.55 to 0.74 for predicting EHT, 0.85 to 0.95 for predicting CS, 0.66 to 0.88 for predicting PA, and 0.70 to 0.83 for predicting PPGL.The blood DNA methylome can discriminate endocrine hypertension, with methylation signatures for each type of endocrine disorder.© 2022. The Author(s)."
,No,meqtl,36342317,Identification of novel meQTLs strongly associated with rheumatoid arthritis by large-scale epigenome-wide analysis.,FEBS Open Bio,"Rheumatoid arthritis (RA) is highly heritable, and previous studies have suggested that genetic variation may affect susceptibility to RA by altering epigenetic modifications (e.g., DNA methylation). Here, we examined how genetic variation influences DNA methylation (DNAm) in RA by integrating individual genetic variation and DNAm data. Epigenome-wide meQTL (methylation quantitative trait loci) analysis was performed on 354 RA patients and 335 controls, scanning 30,101,744 relationships between 62 SNPs and 485,512 DNA methylation sites. Two regulatory relationship pairs (FDR<0.05) showed very strong associations with RA risk. One was rs10796216-cg00475509, and the DNAm decreased by 0.0168 per addition of allele rs10796216-A. The other was rs6546473-cg13358873, for which a 0.0365 reduction of DNAm at cg13358873 was observed for each addition of allele rs6546473-A, and lower DNAm was found to be significantly associated with RA risk (P = 2.0407e-28). Moreover, both pairs of meQTL showed a strong regulatory relationship only in RA samples, so they can be subsequently considered as risk markers for RA. In conclusion, our integrated analysis of genetic and epigenetic variation suggests that genetic variation may affect the risk of RA by regulating DNA methylation levels. Alterations of DNAm at cg00475509 and cg13358873 loci conferred by rs10796216-A and rs6546473-A allele may suggest a potential risk for RA. Our results deepen our understanding of the genetic and epigenetic mechanisms of RA and provide novel associations that can be further investigated in future studies.This article is protected by copyright. All rights reserved."
x,No,methods,36335502,Phasing DNA Methylation.,Methods Mol Biol,"Haplotyping enables the study of allele-specific events. Heterozygous variants, primarily single nucleotide variants (SNVs), enable the assignment of the paternal and maternal origin of the chromosomes and are widely employed to phase sequencing reads to their haplotype of origin. Certain long-read technologies enable the detection of both the DNA sequence and DNA modifications. These long reads and their inherent methylation information are suitable for genome-wide haplotyping and allele-specific DNA methylation analysis. Here, we describe the workflow to phase reads and DNA methylation using nanopore sequencing.© 2023. The Author(s), under exclusive license to Springer Science+Business Media, LLC, part of Springer Nature."
