who,pmid,title,source,abstract
*,38010586,Blood DNA methylation and liver cancer in American Indians: evidence from the Strong Heart Study.,Cancer Causes Control,"Liver cancer incidence among American Indians/Alaska Natives has risen over the past 20 years. Peripheral blood DNA methylation may be associated with liver cancer and could be used as a biomarker for cancer risk. We evaluated the association of blood DNA methylation with risk of liver cancer.We conducted a prospective cohort study in 2324 American Indians, between age 45 and 75 years, from Arizona, Oklahoma, North Dakota and South Dakota who participated in the Strong Heart Study between 1989 and 1991. Liver cancer deaths (n = 21) were ascertained using death certificates obtained through 2017. The mean follow-up duration (SD) for non-cases was 25.1 (5.6) years and for cases, 11.0 (8.8) years. DNA methylation was assessed from blood samples collected at baseline using MethylationEPIC BeadChip 850 K arrays. We used Cox regression models adjusted for age, sex, center, body mass index, low-density lipoprotein cholesterol, smoking, alcohol consumption, and immune cell proportions to examine the associations.We identified 9 CpG sites associated with liver cancer. cg16057201 annotated to MRFAP1) was hypermethylated among cases vs. non-cases (hazard ratio (HR) for one standard deviation increase in methylation was 1.25 (95% CI 1.14, 1.37). The other eight CpGs were hypomethylated and the corresponding HRs (95% CI) ranged from 0.58 (0.44, 0.75) for cg04967787 (annotated to PPRC1) to 0.77 (0.67, 0.88) for cg08550308. We also assessed 7 differentially methylated CpG sites associated with liver cancer in previous studies. The adjusted HR for cg15079934 (annotated to LPS1) was 1.93 (95% CI 1.10, 3.39).Blood DNA methylation may be associated with liver cancer mortality and may be altered during the development of liver cancer.© 2023. The Author(s)."
*,38053194,Integration of datasets for individual prediction of DNA methylation-based biomarkers.,Genome Biol,"Epigenetic scores (EpiScores) can provide biomarkers of lifestyle and disease risk. Projecting new datasets onto a reference panel is challenging due to separation of technical and biological variation with array data. Normalisation can standardise data distributions but may also remove population-level biological variation.We compare two birth cohorts (Lothian Birth Cohorts of 1921 and 1936 - nLBC1921= 387 and nLBC1936= 498) with blood-based DNA methylation assessed at the same chronological age (79 years) and processed in the same lab but in different years and experimental batches. We examine the effect of 16 normalisation methods on a novel BMI EpiScore (trained in an external cohort, n = 18,413), and Horvath's pan-tissue DNA methylation age, when the cohorts are normalised separately and together. The BMI EpiScore explains a maximum variance of R2=24.5% in BMI in LBC1936 (SWAN normalisation). Although there are cross-cohort R2differences, the normalisation method makes a minimal difference to within-cohort estimates. Conversely, a range of absolute differences are seen for individual-level EpiScore estimates for BMI and age when cohorts are normalised separately versus together. While within-array methods result in identical EpiScores whether a cohort is normalised on its own or together with the second dataset, a range of differences is observed for between-array methods.Normalisation methods returning similar EpiScores, whether cohorts are analysed separately or together, will minimise technical variation when projecting new data onto a reference panel. These methods are important for cases where raw data is unavailable and joint normalisation of cohorts is computationally expensive.© 2023. The Author(s)."
,38137029,Epigenetic Profiling of Type 2 Diabetes Mellitus: An Epigenome-Wide Association Study of DNA Methylation in the Korean Genome and Epidemiology Study.,Genes (Basel),"Diabetes is characterized by persistently high blood glucose levels and severe complications and affects millions of people worldwide. In this study, we explored the epigenetic landscape of diabetes using data from the Korean Genome and Epidemiology Study (KoGES), specifically the Ansung-Ansan (AS-AS) cohort. Using epigenome-wide association studies, we investigated DNA methylation patterns in patients with type 2 diabetes mellitus (T2DM) and those with normal glucose regulation. Differential methylation analysis revealed 106 differentially methylated probes (DMPs), with the 10 top DMPs prominently associated with TXNIP, PDK4, NBPF20, ARRDC4, UFM1, PFKFB2, C7orf50, and ABCG1, indicating significant changes in methylation. Correlation analysis highlighted the association between the leading DMPs (e.g., cg19693031 and cg26974062 for TXNIP and cg26823705 for NBPF20) and key glycemic markers (fasting plasma glucose and hemoglobin A1c), confirming their relevance in T2DM. Moreover, we identified 62 significantly differentially methylated regions (DMRs) spanning 61 genes. A DMR associated with PDE1C showed hypermethylation, whereas DMRs associated with DIP2C, FLJ90757, PRSS50, and TDRD9 showed hypomethylation. PDE1C and TDRD9 showed a strong positive correlation between the CpG sites included in each DMR, which have previously been implicated in T2DM-related processes. This study contributes to the understanding of epigenetic modifications in T2DM. These valuable insights can be utilized in identifying potential biomarkers and therapeutic targets for effective management and prevention of diabetes."
,38048101,Linking Prenatal Environmental Exposures to Lifetime Health with Epigenome-Wide Association Studies: State-of-the-Science Review and Future Recommendations.,Environ Health Perspect,"The prenatal environment influences lifetime health; epigenetic mechanisms likely predominate. In 2016, the first international consortium paper on cigarette smoking during pregnancy and offspring DNA methylation identified extensive, reproducible exposure signals. This finding raised expectations for epigenome-wide association studies (EWAS) of other exposures.We review the current state-of-the-science for DNA methylation associations across prenatal exposures in humans and provide future recommendations.We reviewed 134 prenatal environmental EWAS of DNA methylation in newborns, focusing on 51 epidemiological studies with meta-analysis or replication testing. Exposures spanned cigarette smoking, alcohol consumption, air pollution, dietary factors, psychosocial stress, metals, other chemicals, and other exogenous factors. Of the reproducible DNA methylation signatures, we examined implementation as exposure biomarkers.Only 19 (14%) of these prenatal EWAS were conducted in cohorts of 1,000 or more individuals, reflecting the still early stage of the field. To date, the largest perinatal EWAS sample size was 6,685 participants. For comparison, the most recent genome-wide association study for birth weight included more than 300,000 individuals. Replication, at some level, was successful with exposures to cigarette smoking, folate, dietary glycemic index, particulate matter with aerodynamic diameter<10μmand<2.5μm, nitrogen dioxide, mercury, cadmium, arsenic, electronic waste, PFAS, and DDT. Reproducible effects of a more limited set of prenatal exposures (smoking, folate) enabled robust methylation biomarker creation.Current evidence demonstrates the scientific premise for reproducible DNA methylation exposure signatures. Better powered EWAS could identify signatures across many exposures and enable comprehensive biomarker development. Whether methylation biomarkers of exposures themselves cause health effects remains unclear. We expect that larger EWAS with enhanced coverage of epigenome and exposome, along with improved single-cell technologies and evolving methods for integrative multi-omics analyses and causal inference, will expand mechanistic understanding of causal links between environmental exposures, the epigenome, and health outcomes throughout the life course. https://doi.org/10.1289/EHP12956."
,37992405,Examination of newborn DNA methylation among women with polycystic ovary syndrome/hirsutism.,Epigenetics,"Research suggests that polycystic ovary syndrome (PCOS) traits (e.g., hyperandrogenism) may create a suboptimal intrauterine environment and induce epigenetic modifications. Therefore, we assessed the associations of PCOS traits with neonatal DNA methylation (DNAm) using two independent cohorts. DNAm was measured in both cohorts using the Infinium MethylationEPIC array. Multivariable robust linear regression was used to determine associations of maternal PCOS exposure or preconception testosterone with methylation β-values at each CpG probe and corrected for multiple testing by false-discovery rate (FDR). In the birth cohort, 12% (102/849) had a PCOS diagnosis (8.1% PCOS without hirsutism; 3.9% PCOS with hirsutism). Infants exposed to maternal PCOS with hirsutism compared to no PCOS had differential DNAm at cg02372539 [β(SE): -0.080 (0.010); FDRp = 0.009], cg08471713 [β(SE):0.077 (0.014); FDRp = 0.016] and cg17897916 [β(SE):0.050 (0.009); FDRp = 0.009] with adjustment for maternal characteristics including pre-pregnancy BMI. PCOS with hirsutism was also associated with 8 differentially methylated regions (DMRs). PCOS without hirsutism was not associated with individual CpGs. In an independent preconception cohort, total testosterone concentrations were associated with 3 DMRs but not with individual CpGs, though the top quartile of testosterone compared to the lowest was marginally associated with increased DNAm at cg21472377 near an uncharacterized locus (FDRp = 0.09). Examination of these probes and DMRs indicate they may be under foetal genetic control. Overall, we found several associations among newborns exposed to PCOS, specifically when hirsutism was reported, and among newborns of women with relatively higher testosterone around conception."
,37995466,Cord blood DNA methylation signatures associated with preeclampsia are enriched for cardiovascular pathways: insights from the VDAART trial.,EBioMedicine,"Preeclampsia has been associated with maternal epigenetic changes, in particular DNA methylation changes in the placenta. It has been suggested that preeclampsia could also cause DNA methylation changes in the neonate. We examined DNA methylation in relation to gene expression in the cord blood of offspring born to mothers with preeclampsia.This study included 128 mother-child pairs who participated in the Vitamin D Antenatal Asthma Reduction Trial (VDAART), where assessment of preeclampsia served as secondary outcome. We performed an epigenome-wide association study of preeclampsia and cord blood DNA methylation (Illumina 450 K chip). We then examined gene expression of the same subjects for validation and replicated the gene signatures in independent DNA methylation datasets. Lastly, we applied functional enrichment and network analyses to identify biological pathways that could potentially be involved in preeclampsia.In the cord blood samples (n = 128), 263 CpGs were differentially methylated (FDR <0.10) in preeclampsia (n = 16), of which 217 were annotated. Top pathways in the functional enrichment analysis included apelin signaling pathway and other endothelial and cardiovascular pathways. Of the 217 genes, 13 showed differential expression (p's < 0.001) in preeclampsia and 11 had been previously related to preeclampsia (p's < 0.0001). These genes were linked to apelin, cGMP and Notch signaling pathways, all having a role in angiogenic process and cardiovascular function.Preeclampsia is related to differential cord blood DNA methylation signatures of cardiovascular pathways, including the apelin signaling pathway. The association of these cord blood DNA methylation signatures with offspring's long-term morbidities due to preeclampsia should be further investigated.VDAART is funded by National Heart, Lung, and Blood Institute grants of R01HL091528 and UH3OD023268. HMK is supported by Jane and Aatos Erkko Foundation, Paulo Foundation, and the Pediatric Research Foundation. HM is supported by K01 award from NHLBI (1K01HL146977-01A1). PK is supported by K99HL159234 from NIH/NHLBI.Copyright © 2023 The Author(s). Published by Elsevier B.V. All rights reserved."
,38012757,A novel approach to risk exposure and epigenetics-the use of multidimensional context to gain insights into the early origins of cardiometabolic and neurocognitive health.,BMC Med,"Each mother-child dyad represents a unique combination of genetic and environmental factors. This constellation of variables impacts the expression of countless genes. Numerous studies have uncovered changes in DNA methylation (DNAm), a form of epigenetic regulation, in offspring related to maternal risk factors. How these changes work together to link maternal-child risks to childhood cardiometabolic and neurocognitive traits remains unknown. This question is a key research priority as such traits predispose to future non-communicable diseases (NCDs). We propose viewing risk and the genome through a multidimensional lens to identify common DNAm patterns shared among diverse risk profiles.We identified multifactorial Maternal Risk Profiles (MRPs) generated from population-based data (n = 15,454, Avon Longitudinal Study of Parents and Children (ALSPAC)). Using cord blood HumanMethylation450 BeadChip data, we identified genome-wide patterns of DNAm that co-vary with these MRPs. We tested the prospective relation of these DNAm patterns (n = 914) to future outcomes using decision tree analysis. We then tested the reproducibility of these patterns in (1) DNAm data at age 7 and 17 years within the same cohort (n = 973 and 974, respectively) and (2) cord DNAm in an independent cohort, the Generation R Study (n = 686).We identified twenty MRP-related DNAm patterns at birth in ALSPAC. Four were prospectively related to cardiometabolic and/or neurocognitive childhood outcomes. These patterns were replicated in DNAm data from blood collected at later ages. Three of these patterns were externally validated in cord DNAm data in Generation R. Compared to previous literature, DNAm patterns exhibited novel spatial distribution across the genome that intersects with chromatin functional and tissue-specific signatures.To our knowledge, we are the first to leverage multifactorial population-wide data to detect patterns of variability in DNAm. This context-based approach decreases biases stemming from overreliance on specific samples or variables. We discovered molecular patterns demonstrating prospective and replicable relations to complex traits. Moreover, results suggest that patterns harbour a genome-wide organisation specific to chromatin regulation and target tissues. These preliminary findings warrant further investigation to better reflect the reality of human context in molecular studies of NCDs.© 2023. The Author(s)."
,38018434,Maternal caffeine consumption during pregnancy and offspring cord blood DNA methylation: an epigenome-wide association study meta-analysis.,Epigenomics,"Background:Prenatal caffeine exposure may influence offspring health via DNA methylation, but no large studies have tested this.Materials & methods:Epigenome-wide association studies and differentially methylated regions in cord blood (450k or EPIC Illumina arrays) were meta-analyzed across six European cohorts (n = 3725). Differential methylation related to self-reported caffeine intake (mg/day) from coffee, tea and cola was compared with assess whether caffeine is driving effects.Results:One CpG site (cg19370043,PRRX1) was associated with caffeine and another (cg14591243,STAG1) with cola intake. A total of 12-22 differentially methylated regions were detected with limited overlap across caffeinated beverages.Conclusion:We found little evidence to support an intrauterine effect of caffeine on offspring DNA methylation. Statistical power limitations may have impacted our findings."
,38129841,Longitudinal multi-omics study reveals common etiology underlying association between plasma proteome and BMI trajectories in adolescent and young adult twins.,BMC Med,"The influence of genetics and environment on the association of the plasma proteome with body mass index (BMI) and changes in BMI remains underexplored, and the links to other omics in these associations remain to be investigated. We characterized protein-BMI trajectory associations in adolescents and adults and how these connect to other omics layers.Our study included two cohorts of longitudinally followed twins: FinnTwin12 (N = 651) and the Netherlands Twin Register (NTR) (N = 665). Follow-up comprised 4 BMI measurements over approximately 6 (NTR: 23-27 years old) to 10 years (FinnTwin12: 12-22 years old), with omics data collected at the last BMI measurement. BMI changes were calculated in latent growth curve models. Mixed-effects models were used to quantify the associations between the abundance of 439 plasma proteins with BMI at blood sampling and changes in BMI. In FinnTwin12, the sources of genetic and environmental variation underlying the protein abundances were quantified by twin models, as were the associations of proteins with BMI and BMI changes. In NTR, we investigated the association of gene expression of genes encoding proteins identified in FinnTwin12 with BMI and changes in BMI. We linked identified proteins and their coding genes to plasma metabolites and polygenic risk scores (PRS) applying mixed-effects models and correlation networks.We identified 66 and 14 proteins associated with BMI at blood sampling and changes in BMI, respectively. The average heritability of these proteins was 35%. Of the 66 BMI-protein associations, 43 and 12 showed genetic and environmental correlations, respectively, including 8 proteins showing both. Similarly, we observed 7 and 3 genetic and environmental correlations between changes in BMI and protein abundance, respectively. S100A8 gene expression was associated with BMI at blood sampling, and the PRG4 and CFI genes were associated with BMI changes. Proteins showed strong connections with metabolites and PRSs, but we observed no multi-omics connections among gene expression and other omics layers.Associations between the proteome and BMI trajectories are characterized by shared genetic, environmental, and metabolic etiologies. We observed few gene-protein pairs associated with BMI or changes in BMI at the proteome and transcriptome levels.© 2023. The Author(s)."
,37986811,NMR metabolomic modelling of age and lifespan: a multi-cohort analysis.,medRxiv,"Metabolomic age models have been proposed for the study of biological aging, however they have not been widely validated. We aimed to assess the performance of newly developed and existing nuclear magnetic resonance spectroscopy (NMR) metabolomic age models for prediction of chronological age (CA), mortality, and age-related disease. 98 metabolic variables were measured in blood from nine UK and Finnish cohort studies (N ≈ 31,000 individuals, age range 24-86 years). We used non-linear and penalised regression to model CA and time to all-cause mortality. We examined associations of four new and two previously published metabolomic age models, with ageing risk factors and phenotypes. Within the UK Biobank (N≈ 102,000), we tested prediction of CA, incident disease (cardiovascular disease (CVD), type-2 diabetes mellitus, cancer, dementia, chronic obstructive pulmonary disease) and all-cause mortality. Cross-validated Pearson'srbetween metabolomic age models and CA ranged between 0.47-0.65 in the training set (mean absolute error: 8-9 years). Metabolomic age models, adjusted for CA, were associated with C-reactive protein, and inversely associated with glomerular filtration rate. Positively associated risk factors included obesity, diabetes, smoking, and physical inactivity. In UK Biobank, correlations of metabolomic age with chronological age were modest (r= 0.29-0.33), yet all metabolomic model scores predicted mortality (hazard ratios of 1.01 to 1.06 / metabolomic age year) and CVD, after adjustment for CA. While metabolomic age models were only moderately associated with CA in an independent population, they provided additional prediction of morbidity and mortality over CA itself, suggesting their wider applicability."
,38044700,Associations between epigenome-wide DNA methylation and height-related traits among Sub-Saharan Africans: the RODAM study.,J Dev Orig Health Dis,"Human height and related traits are highly complex, and extensively research has shown that these traits are determined by both genetic and environmental factors. Such factors may partially affect these traits through epigenetic programing. Epigenetic programing is dynamic and plays an important role in controlling gene expression and cell differentiation during (early) development. DNA methylation (DNAm) is the most commonly studied epigenetic feature. In this study we conducted an epigenome-wide DNAm association analysis on height-related traits in a Sub-Saharan African population, in order to detect DNAm biomarkers across four height-related traits. DNAm profiles were acquired in whole blood samples of 704 Ghanaians, sourced from the Research on Obesity and Diabetes among African Migrants study, using the Illumina Infinium HumanMethylation450 BeadChip. Linear models were fitted to detect differentially methylated positions (DMPs) and regions (DMRs) associated with height, leg-to-height ratio (LHR), leg length, and sitting height. No epigenome-wide significant DMPs were recorded. However we did observe among our top DMPs five informative probes associated with the height-related traits: cg26905768 (leg length), cg13268132 (leg length), cg19776793 (height), cg23072383 (LHR), and cg24625894 (sitting height). All five DMPs are annotated to genes whose functions were linked to bone cell regulation and development. DMR analysis identified overlapping DMRs within the gene body ofHLA-DPB1gene, and theHOXAgene cluster. In this first epigenome-wide association studies of these traits, our findings suggest DNAm associations with height-related heights, and might influence development and maintenance of these traits. Further studies are needed to replicate our findings, and to elucidate the molecular mechanism underlying human height-related traits."
,37932858,Alterations to DNA methylation patterns induced by chemotherapy treatment are associated with negative impacts on the olfactory pathway.,Breast Cancer Res,"Exposure to cytotoxic chemotherapy treatment may alter DNA methylation (DNAm) in breast cancer patients.We performed DNAm analysis in 125 breast cancer patients with blood drawn before and after chemotherapy, using the Illumina MethylationEPIC array. DNAm changes of 588,798 individual CpGs (including 41,207 promoter regions) were evaluated using linear regression models adjusted for monocyte proportion. Gene set enrichment analyses (GSEA) were conducted to identify key Gene Ontology (GO) biological processes or Kyoto Encyclopedia of Genes and Genomes (KEGG) pathways associated with chemotherapy. Results were validated in a separate cohort of breast cancer patients who were treated (n = 1273) and not treated (n = 872) by chemotherapy (1808 blood, 337 saliva).A total of 141 differentially methylated CpGs and 11 promoters were significantly associated with chemotherapy after multiple testing corrections in both the paired sample and single time point analyses. GSEA of promoter regions (pre-ranked by test statistics) identified six suppressed biological processes (p < 4.67e-8) related to sensory perception and detection of chemical stimuli, including smell perception (GO:0007606, GO:0007608, GO:0009593, GO:0050906, GO:0050907, and GO:0050911). The same six biological processes were significantly suppressed in the validation dataset (p < 9.02e-14). The KEGG pathway olfactory transduction (hsa04740) was also found to be significantly suppressed (ppaired-samples = 1.72e-9, psingle-timepoint-blood = 2.03e-15 and psingle-timepoint-saliva = 7.52e-56).The enrichment of imprinted genes within biological processes and pathways suggests a biological mechanism by which chemotherapy could affect the perception of smell.© 2023. The Author(s)."
,38062110,Integrated omics analysis of coronary artery calcifications and myocardial infarction: the Framingham Heart Study.,Sci Rep,"Gene function can be described using various measures. We integrated association studies of three types of omics data to provide insights into the pathophysiology of subclinical coronary disease and myocardial infarction (MI). Using multivariable regression models, we associated: (1) single nucleotide polymorphism, (2) DNA methylation, and (3) gene expression with coronary artery calcification (CAC) scores and MI. Among 3106 participants of the Framingham Heart Study, 65 (2.1%) had prevalent MI and 60 (1.9%) had incident MI, median CAC value was 67.8 [IQR 10.8, 274.9], and 1403 (45.2%) had CAC scores > 0 (prevalent CAC). Prevalent CAC was associated with AHRR (linked to smoking) and EXOC3 (affecting platelet function and promoting hemostasis). CAC score was associated with VWA1 (extracellular matrix protein associated with cartilage structure in endomysium). For prevalent MI we identified FYTTD1 (down-regulated in familial hypercholesterolemia) and PINK1 (linked to cardiac tissue homeostasis and ischemia-reperfusion injury). Incident MI was associated with IRX3 (enhancing browning of white adipose tissue) and STXBP3 (controlling trafficking of glucose transporter type 4 to plasma). Using an integrative trans-omics approach, we identified both putatively novel and known candidate genes associated with CAC and MI. Replication of findings is warranted.© 2023. The Author(s)."
,38106096,Somatic mutation as an explanation for epigenetic aging.,bioRxiv,"DNA methylation marks have recently been used to build models known as ""epigenetic clocks"" which predict calendar age. As methylation of cytosine promotes C-to-T mutations, we hypothesized that the methylation changes observed with age should reflect the accrual of somatic mutations, and the two should yield analogous aging estimates. In analysis of multimodal data from 9,331 human individuals, we find that CpG mutations indeed coincide with changes in methylation, not only at the mutated site but also with pervasive remodeling of the methylome out to ±10 kilobases. This one-to-many mapping enables mutation-based predictions of age that agree with epigenetic clocks, including which individuals are aging faster or slower than expected. Moreover, genomic loci where mutations accumulate with age also tend to have methylation patterns that are especially predictive of age. These results suggest a close coupling between the accumulation of sporadic somatic mutations and the widespread changes in methylation observed over the course of life."
*,37925521,A non-invasive method for concurrent detection of multiple early-stage cancers in women.,Sci Rep,"Untargeted serum metabolomics was combined with machine learning-powered data analytics to develop a test for the concurrent detection of multiple cancers in women. A total of fifteen cancers were tested where the resulting metabolome data was sequentially analysed using two separate algorithms. The first algorithm successfully identified all the cancer-positive samples with an overall accuracy of > 99%. This result was particularly significant given that the samples tested were predominantly from early-stage cancers. Samples identified as cancer-positive were next analysed using a multi-class algorithm, which then enabled accurate discernment of the tissue of origin for the individual samples. Integration of serum metabolomics with appropriate data analytical tools, therefore, provides a powerful screening platform for early-stage cancers.© 2023. The Author(s)."
*,38095720,Unraveling phenotypic variance in metabolic syndrome through multi-omics.,Hum Genet,"Complex multi-omics effects drive the clustering of cardiometabolic risk factors, underscoring the imperative to comprehend how individual and combined omics shape phenotypic variation. Our study partitions phenotypic variance in metabolic syndrome (MetS), blood glucose (GLU), triglycerides (TG), high-density lipoprotein cholesterol (HDL-C), and blood pressure through genome, transcriptome, metabolome, and exposome (i.e., lifestyle exposome) analyses. Our analysis included a cohort of 62,822 unrelated individuals with white British ancestry, sourced from the UK biobank. We employed linear mixed models to partition phenotypic variance using the restricted maximum likelihood (REML) method, implemented in MTG2 (v2.22). We initiated the analysis by individually modeling omics, followed by subsequent integration of pairwise omics in a joint model that also accounted for the covariance and interaction between omics layers. Finally, we estimated the correlations of various omics effects between the phenotypes using bivariate REML. Significant proportions of the MetS variance were attributed to distinct data sources: genome (9.47%), transcriptome (4.24%), metabolome (14.34%), and exposome (3.77%). The phenotypic variances explained by the genome, transcriptome, metabolome, and exposome ranged from 3.28% for GLU to 25.35% for HDL-C, 0% for GLU to 19.34% for HDL-C, 4.29% for systolic blood pressure (SBP) to 35.75% for TG, and 0.89% for GLU to 10.17% for HDL-C, respectively. Significant correlations were found between genomic and transcriptomic effects for TG and HDL-C. Furthermore, significant interaction effects between omics data were detected for both MetS and its components. Interestingly, significant correlation of omics effect between the phenotypes was found. This study underscores omics' roles, interaction effects, and random-effects covariance in unveiling phenotypic variation in multi-omics domains.© 2023. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature."
,38066556,DNA methylation modulated genetic variant effect on gene transcriptional regulation.,Genome Biol,"Expression quantitative trait locus (eQTL) analysis has emerged as an important tool in elucidating the link between genetic variants and gene expression, thereby bridging the gap between risk SNPs and associated diseases. We recently identified and validated a specific case where the methylation of a CpG site influences the relationship between the genetic variant and gene expression.Here, to systematically evaluate this regulatory mechanism, we develop an extended eQTL mapping method, termed DNA methylation modulated eQTL (memo-eQTL). Applying this memo-eQTL mapping method to 128 normal prostate samples enables identification of 1063 memo-eQTLs, the majority of which are not recognized as conventional eQTLs in the same cohort. We observe that the methylation of the memo-eQTL CpG sites can either enhance or insulate the interaction between SNP and gene expression by altering CTCF-based chromatin 3D structure.This study demonstrates the prevalence of memo-eQTLs paving the way to identify novel causal genes for traits or diseases associated with genetic variations.© 2023. The Author(s)."
*,37985455,Application of deep learning in cancer epigenetics through DNA methylation analysis.,Brief Bioinform,"DNA methylation is a fundamental epigenetic modification involved in various biological processes and diseases. Analysis of DNA methylation data at a genome-wide and high-throughput level can provide insights into diseases influenced by epigenetics, such as cancer. Recent technological advances have led to the development of high-throughput approaches, such as genome-scale profiling, that allow for computational analysis of epigenetics. Deep learning (DL) methods are essential in facilitating computational studies in epigenetics for DNA methylation analysis. In this systematic review, we assessed the various applications of DL applied to DNA methylation data or multi-omics data to discover cancer biomarkers, perform classification, imputation and survival analysis. The review first introduces state-of-the-art DL architectures and highlights their usefulness in addressing challenges related to cancer epigenetics. Finally, the review discusses potential limitations and future research directions in this field.© The Author(s) 2023. Published by Oxford University Press."
,37967346,A proteomic analysis of atrial fibrillation in a prospective longitudinal cohort (AGES-Reykjavik study).,Europace,"Atrial fibrillation (AF) is associated with high risk of comorbidities and mortality. Our aim was to examine causal and predictive relationships between 4137 serum proteins and incident AF in the prospective population-based Age, Gene/Environment Susceptibility-Reykjavik (AGES-Reykjavik) study.The study included 4765 participants, of whom 1172 developed AF. Cox proportional hazards regression models were fitted for 4137 baseline protein measurements adjusting for known risk factors. Protein associations were tested for replication in the Cardiovascular Health Study (CHS). Causal relationships were examined in a bidirectional, two-sample Mendelian randomization analysis. The time-dependent area under the receiver operating characteristic curve (AUC)-statistic was examined as protein levels and an AF-polygenic risk score (PRS) were added to clinical risk models. The proteomic signature of incident AF consisted of 76 proteins, of which 63 (83%) were novel and 29 (38%) were replicated in CHS. The signature included both N-terminal prohormone of brain natriuretic peptide (NT-proBNP)-dependent (e.g. CHST15, ATP1B1, and SVEP1) and independent components (e.g. ASPN, AKR1B, and LAMA1/LAMB1/LAMC1). Nine causal candidates were identified (TAGLN, WARS, CHST15, CHMP3, COL15A1, DUSP13, MANBA, QSOX2, and SRL). The reverse causal analysis suggested that most AF-associated proteins were affected by the genetic liability to AF. N-terminal prohormone of brain natriuretic peptide improved the prediction of incident AF events close to baseline with further improvements gained by the AF-PRS at all time points.The AF proteomic signature includes biologically relevant proteins, some of which may be causal. It mainly reflects an NT-proBNP-dependent consequence of the genetic liability to AF. N-terminal prohormone of brain natriuretic peptide is a promising marker for incident AF in the short term, but risk assessment incorporating a PRS may improve long-term risk assessment.© The Author(s) 2023. Published by Oxford University Press on behalf of the European Society of Cardiology."
*,37982274,Validation of an Integrated Genetic-Epigenetic Test for the Assessment of Coronary Heart Disease.,J Am Heart Assoc,"Coronary heart disease (CHD) is the leading cause of death in the world. Unfortunately, many of the key diagnostic tools for CHD are insensitive, invasive, and costly; require significant specialized infrastructure investments; and do not provide information to guide postdiagnosis therapy. In prior work using data from the Framingham Heart Study, we provided in silico evidence that integrated genetic-epigenetic tools may provide a new avenue for assessing CHD.In this communication, we use an improved machine learning approach and data from 2 additional cohorts, totaling 449 cases and 2067 controls, to develop a better model for ascertaining symptomatic CHD. Using the DNA from the 2 new cohorts, we translate and validate the in silico findings into an artificial intelligence-guided, clinically implementable method that uses input from 6 methylation-sensitive digital polymerase chain reaction and 10 genotyping assays. Using this method, the overall average area under the curve, sensitivity, and specificity in the 3 test cohorts is 82%, 79%, and 76%, respectively. Analysis of targeted cytosine-phospho-guanine loci shows that they map to key risk pathways involved in atherosclerosis that suggest specific therapeutic approaches.We conclude that this scalable integrated genetic-epigenetic approach is useful for the diagnosis of symptomatic CHD, performs favorably as compared with many existing methods, and may provide personalized insight to CHD therapy. Furthermore, given the dynamic nature of DNA methylation and the ease of methylation-sensitive digital polymerase chain reaction methodologies, these findings may pave a pathway for precision epigenetic approaches for monitoring CHD treatment response."
,38001063,Paired single-cell multi-omics data integration with Mowgli.,Nat Commun,"The profiling of multiple molecular layers from the same set of cells has recently become possible. There is thus a growing need for multi-view learning methods able to jointly analyze these data. We here present Multi-Omics Wasserstein inteGrative anaLysIs (Mowgli), a novel method for the integration of paired multi-omics data with any type and number of omics. Of note, Mowgli combines integrative Nonnegative Matrix Factorization and Optimal Transport, enhancing at the same time the clustering performance and interpretability of integrative Nonnegative Matrix Factorization. We apply Mowgli to multiple paired single-cell multi-omics data profiled with 10X Multiome, CITE-seq, and TEA-seq. Our in-depth benchmark demonstrates that Mowgli's performance is competitive with the state-of-the-art in cell clustering and superior to the state-of-the-art once considering biological interpretability. Mowgli is implemented as a Python package seamlessly integrated within the scverse ecosystem and it is available at http://github.com/cantinilab/mowgli .© 2023. The Author(s)."
,38011566,Single-cell bisulfite-free 5mC and 5hmC sequencing with high sensitivity and scalability.,Proc Natl Acad Sci U S A,"Existing single-cell bisulfite-based DNA methylation analysis is limited by low DNA recovery, and the measurement of 5hmC at single-base resolution remains challenging. Here, we present a bisulfite-free single-cell whole-genome 5mC and 5hmC profiling technique, named Cabernet, which can characterize 5mC and 5hmC at single-base resolution with high genomic coverage. Cabernet utilizes Tn5 transposome for DNA fragmentation, which enables the discrimination between different alleles for measuring hemi-methylation status. Using Cabernet, we revealed the 5mC, hemi-5mC and 5hmC dynamics during early mouse embryo development, uncovering genomic regions exclusively governed by active or passive demethylation. We show that hemi-methylation status can be used to distinguish between pre- and post-replication cells, enabling more efficient cell grouping when integrated with 5mC profiles. The property of Tn5 naturally enables Cabernet to achieve high-throughput single-cell methylome profiling, where we probed mouse cortical neurons and embryonic day 7.5 (E7.5) embryos, and constructed the library for thousands of single cells at high efficiency, demonstrating its potential for analyzing complex tissues at substantially low cost. Together, we present a way of high-throughput methylome and hydroxymethylome detection at single-cell resolution, enabling efficient analysis of the epigenetic status of biological systems with complicated nature such as neurons and cancer cells."
