,pmid,title,source,abstract,probs
,38007229,NA,NA,"Despite the evidence supporting the relationship between socioeconomic status (SES) and severe mental disorders (SMD), the directionality of the associations between income or education and mental disorders is still poorly understood.To investigate the potential bidirectional causal relationships between genetic liability to the two main components of SES (income and educational attainment (EA)) on three SMD: schizophrenia, bipolar disorder (BD) and depression.We performed a bidirectional, two-sample univariable Mendelian randomisation (UVMR) and multivariable Mendelian randomisation (MVMR) study using SES phenotypes (income, n=397?751 and EA, n=766?345) and SMD (schizophrenia, n=127?906; BD, n=51?710 and depression, n=500?119) genome-wide association studies summary-statistics to dissect the potential direct associations of income and EA with SMD.UVMR showed that genetic liability to higher income was associated with decreased risk of schizophrenia and depression, with a smaller reverse effect of schizophrenia and depression on income. Effects were comparable after adjusting for EA in the MVMR. UMVR showed bidirectional negative associations between genetic liability to EA and depression and positive associations between genetic liability to EA and BD, with no significant effects on schizophrenia. After accounting for income, MVMR showed a bidirectional positive direction between genetic liability to EA and BD and schizophrenia but not with depression.Our results suggest a heterogeneous link pattern between SES and SMD. We found a negative bidirectional association between genetic liability to income and the risk of schizophrenia and depression. On the contrary, we found a positive bidirectional relationship of genetic liability to EA with schizophrenia and BD, which only becomes apparent after adjusting for income in the case of schizophrenia.These findings shed light on the directional mechanisms between social determinants and mental disorders and suggest that income and EA should be studied separately in relation to mental illness.© Author(s) (or their employer(s)) 2023. Re-use permitted under CC BY-NC. Published by BMJ.",1.09E-19
,37980427,Integrative genome-wide analyses identify novel loci associated with kidney stones and provide insights into its genetic architecture.,Nat Commun,"Kidney stone disease (KSD) is a complex disorder with high heritability and prevalence. We performed a large genome-wide association study (GWAS) meta-analysis for KSD to date, including 720,199 individuals with 17,969 cases in European population. We identified 44 susceptibility loci, including 28 novel loci. Cell type-specific analysis pinpointed the proximal tubule as the most relevant cells where susceptibility variants might act through a tissue-specific fashion. By integrating kidney-specific omics data, we prioritized 223 genes which strengthened the importance of ion homeostasis, including calcium and magnesium in stone formation, and suggested potential target drugs for the treatment. The genitourinary and digestive diseases showed stronger genetic correlations with KSD. In this study, we generate an atlas of candidate genes, tissue and cell types involved in the formation of KSD. In addition, we provide potential drug targets for KSD treatment and insights into shared regulation with other diseases.© 2023. The Author(s).",9.32E-20
,38011560,Ketamine and the neurobiology of depression: Toward next-generation rapid-acting antidepressant treatments.,Proc Natl Acad Sci U S A,"Ketamine has emerged as a transformative and mechanistically novel pharmacotherapy for depression. Its rapid onset of action, efficacy for treatment-resistant symptoms, and protection against relapse distinguish it from prior antidepressants. Its discovery emerged from a reconceptualization of the neurobiology of depression and, in turn, insights from the elaboration of its mechanisms of action inform studies of the pathophysiology of depression and related disorders. It has been 25 y since we first presented our ketamine findings in depression. Thus, it is timely for this review to consider what we have learned from studies of ketamine and to suggest future directions for the optimization of rapid-acting antidepressant treatment.",8.93E-20
,37965200,TWINGEN - protocol for an observational clinical biobank recall and biomarker study to identify individuals with high risk of Alzheimer's disease.,medRxiv,"A better understanding of the earliest stages of Alzheimer's disease (AD) could expedite the development or administration of treatments. Large population biobanks hold the promise to identify individuals at an elevated risk of AD and related dementias based on health registry information. Here, we establish the protocol for an observational clinical recall and biomarker study called TWINGEN with the aim to identify individuals at high risk of AD by assessing cognition, health and AD-related biomarkers. Suitable candidates were identified and invited to participate in the new study among Finnish biobank donors according to TWINGEN study criteria.A multi-center study (n=800) to obtain blood-based biomarkers, telephone-administered and web-based memory and cognitive parameters, questionnaire information on lifestyle, health and psychological factors, and accelerometer data for measures of physical activity, sedentary behavior and sleep. A sub-cohort are being asked to participate in an in-person neuropsychological assessment (n=200) and wear an Oura ring (n=50). All participants in the TWINGEN study have genome-wide genotyping data and up to 48 years of follow-up data from the population-based older Finnish Twin Cohort (FTC) study of the University of Helsinki. TWINGEN data will be transferred to Finnish Institute of Health and Welfare (THL) biobank and we aim to further to transfer it to the FinnGen study where it will be combined with health registry data for prediction of AD.This recall study consists of FTC/THL/FinnGen participants whose data were acquired in accordance with the Finnish Biobank Act. The recruitment protocols followed the biobank protocols approved by Finnish Medicines Agency. The TWINGEN study plan was approved by the Ethics Committee of Hospital District of Helsinki and Uusimaa (number 16831/2022). THL Biobank approved the research plan with the permission no: THLBB2022_83.",8.71E-20
,37953923,Open access-enabled evaluation of epigenetic age acceleration in colorectal cancer and development of a classifier with diagnostic potential.,Front Genet,"Aberrant DNA methylation (DNAm) is known to be associated with the aetiology of cancer, including colorectal cancer (CRC). In the past, the availability of open access data has been the main driver of innovative method development and research training. However, this is increasingly being eroded by the move to controlled access, particularly of medical data, including cancer DNAm data. To rejuvenate this valuable tradition, we leveraged DNAm data from 1,845 samples (535 CRC tumours, 522 normal colon tissues adjacent to tumours, 72 colorectal adenomas, and 716 normal colon tissues from healthy individuals) from 14 open access studies deposited in NCBI GEO and ArrayExpress. We calculated each sample's epigenetic age (EA) using eleven epigenetic clock models and derived the corresponding epigenetic age acceleration (EAA). For EA, we observed that most first- and second-generation epigenetic clocks reflect the chronological age in normal tissues adjacent to tumours and healthy individuals [e.g., Horvath (r= 0.77 and 0.79), Zhang elastic net (EN) (r= 0.70 and 0.73)] unlike the epigenetic mitotic clocks (EpiTOC, HypoClock, MiAge) (r< 0.3). For EAA, we used PhenoAge, Wu, and the above mitotic clocks and found them to have distinct distributions in different tissue types, particularly between normal colon tissues adjacent to tumours and cancerous tumours, as well as between normal colon tissues adjacent to tumours and normal colon tissue from healthy individuals. Finally, we harnessed these associations to develop a classifier using elastic net regression (with lasso and ridge regularisations) that predicts CRC diagnosis based on a patient's sex and EAAs calculated from histologically normal controls (i.e., normal colon tissues adjacent to tumours and normal colon tissue from healthy individuals). The classifier demonstrated good diagnostic potential with ROC-AUC = 0.886, which suggests that an EAA-based classifier trained on relevant data could become a tool to support diagnostic/prognostic decisions in CRC for clinical professionals. Our study also reemphasises the importance of open access clinical data for method development and training of young scientists. Obtaining the required approvals for controlled access data would not have been possible in the timeframe of this study.Copyright © 2023 Widayati, Schneider, Panteleeva, Chernysheva, Hrbkova, Beck, Voloshin and Chervova.",8.12E-20
,38054719,Phasevarions in Haemophilus influenzae biogroup aegyptius control expression of multiple proteins.,Microbiol Spectr,"Haemophilus influenzaebiogroupaegyptiusis a human-adapted pathogen and the causative agent of Brazilian purpuric fever (BPF), an invasive disease with high mortality, that sporadically manifests in children previously suffering conjunctivitis. Phase variation is a rapid and reversible switching of gene expression found in many bacterial species, and typically associated with outer-membrane proteins. Phase variation of cytoplasmic DNA methyltransferases has been shown to play important roles in bacterial gene regulation and can act as epigenetic switches, regulating the expression of multiple genes as part of systems called phasevarions (phase-variable regulons). This study characterized two alleles of the ModA phasevarion present inH. influenzaebiogroupaegyptius, ModA13, found in non-BPF causing strains and ModA16, unique to BPF causing isolates. Phase variation of ModA13 and ModA16 led to genome-wide changes to DNA methylation resulting in altered protein expression. These changes did not affect serum resistance inH. influenzaebiogroupaegyptiusstrains.",7.17E-20
,37962168,Systems genetics approaches for understanding complex traits with relevance for human disease.,Elife,"Quantitative traits are often complex because of the contribution of many loci, with further complexity added by environmental factors. In medical research, systems genetics is a powerful approach for the study of complex traits, as it integrates intermediate phenotypes, such as RNA, protein, and metabolite levels, to understand molecular and physiological phenotypes linking discrete DNA sequence variation to complex clinical and physiological traits. The primary purpose of this review is to describe some of the resources and tools of systems genetics in humans and rodent models, so that researchers in many areas of biology and medicine can make use of the data.© 2023, Allayee, Farber et al.",6.62E-20
,37946226,"The immunomodulating activity of trimodulin (polyvalent IgM, IgA, IgG solution): a post hoc analysis of the phase II CIGMA trial.",Crit Care,"The phase II CIGMA trial performed in 160 patients with severe community-acquired pneumonia (sCAP) found treatment with trimodulin (human polyvalent immunoglobulin [Ig]:?~?23% IgM,?~?21% IgA,?~?56% IgG) was associated with a lower mortality in those patients with elevated baseline serum levels of C-reactive protein (CRP) and/or subnormal IgM.In this post hoc analysis, the pharmacodynamic effects of trimodulin treatment (182.6 mg/kg/day for 5 days) were investigated on Ig replenishment, cellular markers of inflammation (absolute neutrophil [ANC] and lymphocyte [ALC] count, neutrophil-to-lymphocyte ratio [NLR]), and soluble markers of inflammation (procalcitonin [PCT] and CRP). The impact of these pharmacodynamic effects on mortality was also evaluated.Compared with healthy subjects, baseline serum levels of IgM, IgG, and ALC were significantly lower, and ANC, NLR, PCT and CRP significantly higher in sCAP patients (p?<?0.0001). Low Ig concentrations increased with trimodulin. Normalization of ANC (analysis of variance [ANOVA] p?=?0.016) and PCT (ANOVA p?=?0.027) was more rapid with trimodulin compared with placebo. These and other effects were more evident in patients with low baseline IgM levels. Normalization of PCT and CRP levels was both steadier and faster with trimodulin treatment. In patients with low baseline ALC, trimodulin was associated with a lower 28-day all-cause mortality rate (14.5% vs 32.1% in placebo, p?=?0.043) and more ventilator-free days ([VFD]; median VFD: 3.5 vs 11 in placebo, p?=?0.043). These numerical differences were greater if baseline IgM was also low (low ALC, low IgM: 8.1% mortality vs 34.1% placebo, p?=?0.006; 3 VFD vs 15 VFD, p?=?0.009, respectively). Results were consistent in patients with high baseline CRP (low ALC, high CRP: 10.9% mortality vs 34.1% placebo, p?=?0.011).This post hoc pharmacodynamic analysis of a blinded phase II trial suggests that trimodulin compensates for, and more rapidly modifies, the dysregulated inflammatory response seen in sCAP patients. Trimodulin was associated with significantly lower mortality and more VFD in subgroups with high CRP and low ALC. This effect was particularly marked in patients who also had low baseline IgM values. These findings require confirmation in prospective trials.© 2023. The Author(s).",6.34E-20
,38163095,Epigenetic signature of ionizing radiation in therapy-related AML patients.,Heliyon,"Therapy-related acute myeloid leukaemia (t-AML) is a late side effect of previous chemotherapy (ct-AML) and/or radiotherapy (rt-AML) or immunosuppressive treatment. t-AMLs, which account for ?10-20 % of all AML cases, are extremely aggressive and have a poor prognosis compared tode novoAML. Our hypothesis is that exposure to radiation causes genome-wide epigenetic changes in rt-AML. An epigenome-wide association study was undertaken, measuring over 850K methylation sites across the genome from fifteen donors (five healthy, fivede novo, and five t-AMLs). The study predominantly focussed on 94K sites that lie in CpG-rich gene promoter regions. Genome-wide hypomethylation was discovered in AML, primarily in intergenic regions. Additionally, genes specific to AML were identified with promoter hypermethylation. A two-step validation was conducted, both internally, using pyrosequencing to measure methylation levels in specific regions across fifteen primary samples, and externally, with an additional eight AML samples. We demonstrated that theMESTandGATA5gene promoters, which were previously identified as tumour suppressors, were noticeably hypermethylated in rt-AML, as opposed to other subtypes of AML and control samples. These may indicate the epigenetic involvement in the development of rt-AML at the molecular level and could serve as potential targets for drug therapy in rt-AML.Crown Copyright © 2023 Published by Elsevier Ltd.",6.26E-20
,38002940,The Nutriepigenome.,Genes (Basel),"Unlike genetic changes, epigenetics modulates gene expression without stable modification of the genome. Even though all cells, including sperm and egg, have an epigenome pattern, most of these modifications occur during lifetime and interestingly, some of them, are reversible. Lifestyle and especially nutrients as well as diet regimens are presently gaining importance due to their ability to affect the epigenome. On the other hand, since the epigenome profoundly affects gene expression profile it can be speculated that the epigenome could modulate individual response to nutrients. Recent years have thus seen growing interest on nutrients, macronutrients ratio and diet regimens capable to affect the epigenetic pattern. In fact, while genetic alterations are mostly detrimental at the individual level, reshaping the epigenome may be a feasible strategy to positively counteract the detrimental effect of aging. Here, I review nutrient consumption and diet regimens as a possible strategy to counteract aging-driven epigenome derangement.",4.64E-20
,38025780,Single nucleotide polymorphisms rs148582811 regulates its host gene ARVCF expression to affect nicotine-associated hippocampus-dependent memory.,iScience,"Although numerous susceptibility loci are nominated for nicotine dependence (ND), no report showed any association ofARVCFwith ND. Through genome-wide sequencing analysis, we first identified genetic variants associated nominally with ND and then replicated them in an independent sample. Of the six replicated variants, rs148582811 inARVCFlocated in the enhancer-associated marker peak is attractive. The effective-median-based Mendelian randomization analysis indicated thatARVCFis a causal gene for ND. RNA-seq analysis detected decreasedARVCFexpression in smokers compared to nonsmokers. Luciferase reporter assays indicated that rs148582811 and its located DNA fragment allele-specifically regulatedARVCFexpression. Immunoprecipitation analysis revealed that transcription factor X-ray repair cross-complementing protein 5 (XRCC5) bound to the DNA fragment containing rs148582811 and allele-specifically regulatedARVCFexpression at the mRNA and protein levels. With theArvcfknockout mouse model, we showed thatArvcfdeletion not only impairs hippocampus-dependent learning and memory, but also alleviated nicotine-induced memory deficits.© 2023 The Author(s).",4.58E-20
,38110397,Genetic and epigenetic features of bilateral Wilms tumor predisposition in patients from the Children's Oncology Group AREN18B5-Q.,Nat Commun,"Developing synchronous bilateral Wilms tumor suggests an underlying (epi)genetic predisposition. Here, we evaluate this predisposition in 68 patients using whole exome or genome sequencing (n?=?85 tumors from 61 patients with matched germline blood DNA), RNA-seq (n?=?99 tumors), and DNA methylation analysis (n?=?61 peripheral blood, n?=?29 non-diseased kidney, n?=?99 tumors). We determine the predominant events for bilateral Wilms tumor predisposition: 1)pre-zygotic germline genetic variants readily detectable in blood DNA [WT1 (14.8%), NYNRIN (6.6%), TRIM28 (5%), and BRCA-related genes (5%)] or 2)post-zygotic epigenetic hypermethylation at 11p15.5 H19/ICR1 that may require analysis of multiple tissue types for diagnosis. Of 99 total tumor specimens, 16 (16.1%) have 11p15.5 normal retention of imprinting, 25 (25.2%) have 11p15.5 copy neutral loss of heterozygosity, and 58 (58.6%) have 11p15.5 H19/ICR1 epigenetic hypermethylation (loss of imprinting). Here, we ascertain the epigenetic and genetic modes of bilateral Wilms tumor predisposition.© 2023. The Author(s).",3.79E-20
,38028596,The human genome as the common heritage of humanity.,Front Genet,"While debate on the international regulation of human genomic research remains unsettled, the Universal Declaration on the Human Genome and Human Rights, 1997 qualifies the human genome as ""heritage of humankind"" in a symbolic sense. Using document analysis this article assesses whether, how and to what extent the common heritage framework is relevant in regulation of human genomic research. The article traces the history of the Human Genome Project to reveal the international community's race against privatization of the human genome and its resulting qualification as the common heritage of humanity. Further, it reviews the archival records of UNESCO's International Bioethics Committee to discover the rationale for qualifying the human genome as common heritage of humankind. The article finds that the common heritage of mankind framework remains relevant to the application of the human genome at the collective level. However, the framework is at odds with the individual dimension of the human genome based on individual personality rights. The article thus argues that the right to benefit from scientific progress and its applications offers an alternative international regulatory framework for human genomic research.Copyright © 2023 Kabata and Thaldar.",3.76E-20
,38127979,Genomic loci influence patterns of structural covariance in the human brain.,Proc Natl Acad Sci U S A,"Normal and pathologic neurobiological processes influence brain morphology in coordinated ways that give rise to patterns of structural covariance (PSC) across brain regions and individuals during brain aging and diseases. The genetic underpinnings of these patterns remain largely unknown. We apply a stochastic multivariate factorization method to a diverse population of 50,699 individuals (12 studies and 130 sites) and derive data-driven, multi-scale PSCs of regional brain size. PSCs were significantly correlated with 915 genomic loci in the discovery set, 617 of which are newly identified, and 72% were independently replicated. Key pathways influencing PSCs involve reelin signaling, apoptosis, neurogenesis, and appendage development, while pathways of breast cancer indicate potential interplays between brain metastasis and PSCs associated with neurodegeneration and dementia. Using support vector machines, multi-scale PSCs effectively derive imaging signatures of several brain diseases. Our results elucidate genetic and biological underpinnings that influence structural covariance patterns in the human brain.",3.52E-20
x,38001063,Paired single-cell multi-omics data integration with Mowgli.,Nat Commun,"The profiling of multiple molecular layers from the same set of cells has recently become possible. There is thus a growing need for multi-view learning methods able to jointly analyze these data. We here present Multi-Omics Wasserstein inteGrative anaLysIs (Mowgli), a novel method for the integration of paired multi-omics data with any type and number of omics. Of note, Mowgli combines integrative Nonnegative Matrix Factorization and Optimal Transport, enhancing at the same time the clustering performance and interpretability of integrative Nonnegative Matrix Factorization. We apply Mowgli to multiple paired single-cell multi-omics data profiled with 10X Multiome, CITE-seq, and TEA-seq. Our in-depth benchmark demonstrates that Mowgli's performance is competitive with the state-of-the-art in cell clustering and superior to the state-of-the-art once considering biological interpretability. Mowgli is implemented as a Python package seamlessly integrated within the scverse ecosystem and it is available at http://github.com/cantinilab/mowgli .© 2023. The Author(s).",3.31E-20
,38026023,The name of the game: palaeoproteomics and radiocarbon dates further refine the presence and dispersal of caprines in eastern and southern Africa.,R Soc Open Sci,"We report the first large-scale palaeoproteomics research on eastern and southern African zooarchaeological samples, thereby refining our understanding of early caprine (sheep and goat) pastoralism in Africa. Assessing caprine introductions is a complicated task because of their skeletal similarity to endemic wild bovid species and the sparse and fragmentary state of relevant archaeological remains. Palaeoproteomics has previously proved effective in clarifying species attributions in African zooarchaeological materials, but few comparative protein sequences of wild bovid species have been available. Using newly generated type I collagen sequences for wild species, as well as previously published sequences, we assess species attributions for elements originally identified as caprine or 'unidentifiable bovid' from 17 eastern and southern African sites that span seven millennia. We identified over 70% of the archaeological remains and the direct radiocarbon dating of domesticate specimens allows refinement of the chronology of caprine presence in both African regions. These results thus confirm earlier occurrences in eastern Africa and the systematic association of domesticated caprines with wild bovids at all archaeological sites. The combined biomolecular approach highlights repeatability and accuracy of the methods for conclusive contribution in species attribution of archaeological remains in dry African environments.© 2023 The Authors.",2.82E-20
,38092170,Effects of cadmium exposure during pregnancy on genome-wide DNA methylation and the CREB/CREM pathway in the testes of male offspring rats.,Chemosphere,"This experimental study explored the multigenerational and transgenerational effects of cadmium (Cd) exposure during pregnancy on the testicular tissue and spermatogenesis of male offspring rats. CdCl2at different doses (0, 0.5, 1, 2 mg/kg/day) were dispensed to pregnant SD rats, thus producing generation F1. Adult females in F1 (PND 56) were mated with untreated fertile males so as to produce generation F2. Likewise, adult females in F2 were mated to produce generation F3. Damages to testicular tissue were observed in all the three generations, with serum testosterone (T) increased in F2 and F3. Notably, the genome-wide DNA methylation level in the testicular tissue of F1 was altered, as was the expression of F1-F3 methyltransferases. In addition, the expression of Creb/Crem pathway, a pathway critical for the metamorphosis from postmeiotic round spermatocytes to spermatozoa, was also remarkably altered in the three generations. In concludion, prenatal Cd exposure might bring multigenerational and transgenerational toxic effects to testes via genome-wide DNA methylation and the regulation of CREB/CREM pathway.Copyright © 2023 Elsevier Ltd. All rights reserved.",2.75E-20
,38020709,Genome-wide meta-analysis and fine-mapping prioritize potential causal variants and genes related to leprosy.,MedComm (2020),"To date, genome-wide association studies (GWASs) have discovered 35 susceptible loci of leprosy; however, the cumulative effects of these loci can only partially explain the overall risk of leprosy, and the causal variants and genes within these loci remain unknown. Here, we conducted out new GWASs in two independent cohorts of 5007 cases and 4579 controls and then a meta-analysis in these newly generated and multiple previously published (2277 cases and 3159 controls) datasets were performed. Three novel and 15 previously reported risk loci were identified from these datasets, increasing the known leprosy risk loci of explained genetic heritability from 23.0 to 38.5%. A comprehensive fine-mapping analysis was conducted, and 19 causal variants and 14 causal genes were identified. Specifically, manual checking of epigenomic information from the Epimap database revealed that the causal variants were mainly located within the immune-relevant or immune-specific regulatory elements. Furthermore, by using gene-set, tissue, and cell-type enrichment analyses, we highlighted the key roles of immune-related tissues and cells and implicated the PD-1 signaling pathways in the pathogenetic mechanism of leprosy. Collectively, our study identified candidate causal variants and elucidated the potential regulatory and coding mechanisms for genes associated with leprosy.© 2023 The Authors. MedComm published by Sichuan International Medical Exchange & Promotion Association (SCIMEA) and John Wiley & Sons Australia, Ltd.",2.25E-20
,38014305,Expansion of human centromeric arrays in cells undergoing break-induced replication.,bioRxiv,"Human centromeres are located within ?-satellite arrays and evolve rapidly, which can lead to individual variation in array lengths. Proposed mechanisms for such alterations in lengths are unequal cross-over between sister chromatids, gene conversion, and break-induced replication. However, the underlying molecular mechanisms responsible for the massive, complex, and homogeneous organization of centromeric arrays have not been experimentally validated. Here, we use droplet digital PCR assays to demonstrate that centromeric arrays can expand and contract within ~20 somatic cell divisions of a cell line. We find that the frequency of array variation among single-cell-derived subclones ranges from a minimum of ~7% to a maximum of ~100%. Further clonal evolution revealed that centromere expansion is favored over contraction. We find that the homologous recombination protein RAD52 and the helicase PIF1 are required for extensive array change, suggesting that centromere sequence evolution can occur via break-induced replication.",2.15E-20
,38028480,Case Report: Transthyretin Glu54Leu-a rare mutation with predominant cardiac phenotype.,Front Cardiovasc Med,"We report two unrelated Bulgarian families with hereditary transthyretin (ATTR) amyloidosis due to a rare p.Glu74Leu (Glu54Leu) pathogenic variant found in seven individuals-three of them symptomatic. Only one family with the same variant and with a Swedish origin has been clinically described so far. Our patients are characterized by predominant cardiac involvement, very much similar to the Swedish patients. Although the initial complaint was bilateral carpal tunnel syndrome, advanced amyloid cardiomyopathy was found in two symptomatic carriers at diagnosis with heart failure manifestations. The neurological involvement was considered as mild, with mainly sensory signs and symptoms being present. We followed a non-biopsy algorithm to confirm the diagnosis. Tafamidis 61?mg has been initiated as the only approved disease modifying treatment for ATTR cardiomyopathy. Clinical stability in the absence of adverse events has been observed at follow up.© 2023 Gospodinova, Zhelyazkova, Chamova, Asenov, Pavlova, Todorov, Mikova, Palashev, Gruev, Kundurdjiev, Todorova and Tournev.",2.09E-20
,38137509,Methylation Analysis of Urinary Sample in Non-Muscle-Invasive Bladder Carcinoma: Frequency and Management of Invalid Result.,Biomedicines,"Numerous studies showed that methylation analysis represents a newly developed urinary marker based on DNA methylation changes in a panel of genomic biomarkers and it could represent a valid tool in terms of the diagnosis and prediction of high-grade urothelial carcinoma recurrences. One of the limits of the use of this new molecular method during a follow-up is represented by the number of invalid tests in routine practice.A total of 782 patients with a diagnosis of non-muscle-invasive high-grade carcinoma (NMIBC) was studied. The Bladder EpiCheck test (BE) was performed together with cytology in all cases within 1 year after the end of treatment. In 402 patients, the urinary samples were voided urine (UV), while, in 380 cases, the samples were collected after bladder washing (IU). For all the patients with invalid BE results, a second BE test was performed following the instructions for use that indicated the test should be repeated with a new urinary sample in the case of an invalid result.Analyzing the two different groups (UV and IU), we found the invalid BE results seemed to be not related to urinary samples (p= 0.13 Fisher's exact test), suggesting that the collection method was not relevant in order to reduce the number of invalid tests.In the follow-up for NMIBC, for patients for whom a BE test is planned, a combined approach of cytology and a methylation test is recommended in order to repeat the BE test with an invalid result only in those cases with a cytological diagnosis of atypical urothelial cells (AUC) suspicious for high-grade urothelial carcinoma (SHGUC) and high-grade urothelial carcinoma (HGUC).",1.95E-20
,38075038,Genome-wide DNA methylation pattern in whole blood of patients with Hashimoto thyroiditis.,Front Endocrinol (Lausanne),"Hashimoto thyroiditis (HT), a prevalent autoimmune disorder, is not yet thoroughly understood, especially when it comes to the influence of epigenetics in its pathogenesis. The primary goal of this research was to probe the DNAm profile across the genome in the whole blood derived from patients suffering from HT.Using the Illumina 850K BeadChip, we conducted a genome-wide DNAm assessment on 10 matched pairs of HT sufferers and healthy individuals. Genes with differential methylation (DMGs) were identified and underwent functional annotation via the databases of Gene Ontology and Kyoto Encyclopedia of Genes and Genomes. The transcriptional significance of potential epigenetic biomarker genes was corroborated through qRT-PCR.The DNAm profiling across the genome indicated an overall reduction in methylation in HT subjects in comparison with their healthy counterparts. We detected 283 DMPs (adjusted P < 0.05 and |??| > 0.1), among which 152 exhibited hypomethylation and 131 demonstrated hypermethylation. Further analysis exposed a noteworthy concentration of hypermethylated DMPs in the 3´UTR, North Shore, and CpG islands, while there was a significant decrease in the Open Sea (all P < 0.001). The 283 DMPs were broadly distributed from chromosome 1 to 22, with chromosome 6 harboring the most DMPs (n = 51) and chromosome 12 carrying the most DMGs (n = 15). TheSLFN12gene, which presented with extreme hypomethylation in its promoter DMPs among HT patients, was identified as the epigenetic marker gene. Consequently, theSLFN12mRNA expression was markedly upregulated in HT, displaying a negative relationship with its methylation levels. The area under curve (AUC) value for theSLFN12gene among HT patients was 0.85 (sensitivity: 0.7, specificity: 0.7), a significant difference compared with healthy controls. The methylation levels of all DMPs inSLFN12gene were negatively correlated with TSH and one CpG site (cg24470734) was positively assocciated with FT4.This investigation presents an initial comprehensive DNAm blueprint for individuals with HT, which permits clear differentiation between HT subjects and normal controls through an epigenetic lens. TheSLFN12gene plays a pivotal role in the onset of HT, suggesting that the methylation status of this gene could serve as a potential epigenetic indicator for HT.Copyright © 2023 Zhou, Liu, Chen, Ren, Wan, Chen, He, Wei, Gao, Liu and Shen.",1.66E-20
x,38011566,Single-cell bisulfite-free 5mC and 5hmC sequencing with high sensitivity and scalability.,Proc Natl Acad Sci U S A,"Existing single-cell bisulfite-based DNA methylation analysis is limited by low DNA recovery, and the measurement of 5hmC at single-base resolution remains challenging. Here, we present a bisulfite-free single-cell whole-genome 5mC and 5hmC profiling technique, named Cabernet, which can characterize 5mC and 5hmC at single-base resolution with high genomic coverage. Cabernet utilizes Tn5 transposome for DNA fragmentation, which enables the discrimination between different alleles for measuring hemi-methylation status. Using Cabernet, we revealed the 5mC, hemi-5mC and 5hmC dynamics during early mouse embryo development, uncovering genomic regions exclusively governed by active or passive demethylation. We show that hemi-methylation status can be used to distinguish between pre- and post-replication cells, enabling more efficient cell grouping when integrated with 5mC profiles. The property of Tn5 naturally enables Cabernet to achieve high-throughput single-cell methylome profiling, where we probed mouse cortical neurons and embryonic day 7.5 (E7.5) embryos, and constructed the library for thousands of single cells at high efficiency, demonstrating its potential for analyzing complex tissues at substantially low cost. Together, we present a way of high-throughput methylome and hydroxymethylome detection at single-cell resolution, enabling efficient analysis of the epigenetic status of biological systems with complicated nature such as neurons and cancer cells.",1.66E-20
,37967046,Dose response of running on blood biomarkers of wellness in generally healthy individuals.,PLoS One,"Exercise is effective toward delaying or preventing chronic disease, with a large body of evidence supporting its effectiveness. However, less is known about the specific healthspan-promoting effects of exercise on blood biomarkers in the disease-free population. In this work, we examine 23,237 generally healthy individuals who self-report varying weekly running volumes and compare them to 4,428 generally healthy sedentary individuals, as well as 82 professional endurance runners. We estimate the significance of differences among blood biomarkers for groups of increasing running levels using analysis of variance (ANOVA), adjusting for age, gender, and BMI. We attempt and add insight to our observational dataset analysis via two-sample Mendelian randomization (2S-MR) using large independent datasets. We find that self-reported running volume associates with biomarker signatures of improved wellness, with some serum markers apparently being principally modified by BMI, whereas others show a dose-effect with respect to running volume. We further detect hints of sexually dimorphic serum responses in oxygen transport and hormonal traits, and we also observe a tendency toward pronounced modifications in magnesium status in professional endurance athletes. Thus, our results further characterize blood biomarkers of exercise and metabolic health, particularly regarding dose-effect relationships, and better inform personalized advice for training and performance.Copyright: © 2023 Nogal et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",1.42E-20
,37993681,Mechanisms and consequences of sex differences in immune responses.,Nat Rev Nephrol,"Biological sex differences refer to differences between males and females caused by the sex chromosome complement (that is, XY or XX), reproductive tissues (that is, the presence of testes or ovaries), and concentrations of sex steroids (that is, testosterone or oestrogens and progesterone). Although these sex differences are binary for most human individuals and mice, transgender individuals receiving hormone therapy, individuals with genetic syndromes (for example, Klinefelter and Turner syndromes) and people with disorders of sexual development reflect the diversity in sex-based biology. The broad distribution of sex steroid hormone receptors across diverse cell types and the differential expression of X-linked and autosomal genes means that sex is a biological variable that can affect the function of all physiological systems, including the immune system. Sex differences in immune cell function and immune responses to foreign and self antigens affect the development and outcome of diverse diseases and immune responses.© 2023. Springer Nature Limited.",1.4E-20
