ec,date,type,pmid,title,source,abstract
Yes,20210416,EWAS,33818294,Epigenome-wide analysis of long-term air pollution exposure and DNA methylation in monocytes: results from the Multi-Ethnic Study of Atherosclerosis.,Epigenetics,"Air pollution might affect atherosclerosis through DNA methylation changes in cells crucial to atherosclerosis, such as monocytes. We conducted an epigenome-wide study of DNA methylation in CD14+ monocytes and long-term ambient air pollution exposure in adults participating in the Multi-Ethnic Study of Atherosclerosis (MESA). We also assessed the association between differentially methylated signals andcis-gene expression. Using spatiotemporal models, one-year average concentrations of outdoor fine particulate matter (PM2.5) and oxides of nitrogen (NOX) were estimated at participants' homes. We assessed DNA methylation and gene expression using Illumina 450k and HumanHT-12 v4 Expression BeadChips, respectively (n = 1,207). We used bump hunting and site-specific approaches to identify differentially methylated signals (false discovery rate of 0.05) and used linear models to assess associations between differentially methylated signals andcis-gene expression. Four differentially methylated regions (DMRs) located on chromosomes 5, 6, 7, and 16 (within or nearSDHAP3, ZFP57, HOXA5, andPRM1, respectively) were associated with PM2.5. The DMRs on chromosomes 5 and 6 also associated with NOX. The DMR on chromosome 5 had the smallest p-value for both PM2.5(p = 1.4×10-6) and NOX(p = 7.7×10-6). Three differentially methylated CpGs were identified for PM2.5, and cg05926640 (nearTOMM20) had the smallest p-value (p = 5.6×10-8). NOXsignificantly associated with cg11756214 withinZNF347(p = 5.6×10-8). Several differentially methylated signals were also associated withcis-gene expression. The DMR located on chromosome 7 was associated with the expression ofHOXA5, HOXA9, andHOXA10. The DMRs located on chromosomes 5 and 16 were associated with expression ofMRPL36andDEXI, respectively. The CpG cg05926640 was associated with expression ofARID4B, IRF2BP2, andTOMM20. We identified differential DNA methylation in monocytes associated with long-term air pollution exposure. Methylation signals associated with gene expression might help explain how air pollution contributes to cardiovascular disease."
Yes,20210416,EWAS,33784941,"DNA methylation signatures in cord blood associated with birthweight are enriched for dmCpGs previously associated with maternal hypertension or pre-eclampsia, smoking and folic acid intake.",Epigenetics,"Many epidemiological studies have linked low birthweight to an increased risk of non-communicable diseases (NCDs) in later life, with epigenetic proceseses suggested as an underlying mechanism. Here, we sought to identify neonatal methylation changes associated with birthweight, at both the individual CpG and genomic regional level, and whether the birthweight-associated methylation signatures were associated with specific maternal factors. Using the Illumina Human MethylationEPIC array we assessed DNA methylation in the cord blood of 557 and 483 infants from the UK Pregnancies Better Eating and Activity Trial and Southampton Women's Survey, respectively. Adjusting for gestational age and other covariates, an epigenome-wide association study identified 2911 (FDR≤0.05) and 236 (Bonferroni corrected p≤6.45x10-8) differentially methylated CpGs (dmCpGs), and 1230 differentially methylated regions (DMRs) (Stouffer ≤0.05) associated with birthweight. The top birthweight-associated dmCpG was located within the Homeobox Telomere-Binding Protein 1 (HMBOX1) gene with a 195g (95%CI: -241, -149g) decrease in birthweight per 10% increase in methylation, while the top DMR was located within the promoter of corticotropin releasing hormone binding protein (CRHBP).. Furthermore, the birthweight-related dmCpGs were enriched for dmCpGs previously associated with gestational hypertension/pre-eclampsia (14.51%, p=1.37x10-255), maternal smoking (7.71%, p=1.50x10-57) and maternal plasma folate levels during pregnancy (0.33%, p=0.029). The identification of birthweight-associated methylation markers, particularly those connected to specific pregnancy complications and exposures, may provide insights into the developmental pathways that affect birthweight and/or suggest surrogate markers to identify adverse prenatal exposures for stratifying for individuals at risk of later NCDs."
Yes,20210416,EWAS,33771206,Meta-analysis of genome-wide DNA methylation identifies shared associations across neurodegenerative disorders.,Genome Biol,"People with neurodegenerative disorders show diverse clinical syndromes, genetic heterogeneity, and distinct brain pathological changes, but studies report overlap between these features. DNA methylation (DNAm) provides a way to explore this overlap and heterogeneity as it is determined by the combined effects of genetic variation and the environment. In this study, we aim to identify shared blood DNAm differences between controls and people with Alzheimer's disease, amyotrophic lateral sclerosis, and Parkinson's disease.We use a mixed-linear model method (MOMENT) that accounts for the effect of (un)known confounders, to test for the association of each DNAm site with each disorder. While only three probes are found to be genome-wide significant in each MOMENT association analysis of amyotrophic lateral sclerosis and Parkinson's disease (and none with Alzheimer's disease), a fixed-effects meta-analysis of the three disorders results in 12 genome-wide significant differentially methylated positions. Predicted immune cell-type proportions are disrupted across all neurodegenerative disorders. Protein inflammatory markers are correlated with profile sum-scores derived from disease-associated immune cell-type proportions in a healthy aging cohort. In contrast, they are not correlated with MOMENT DNAm-derived profile sum-scores, calculated using effect sizes of the 12 differentially methylated positions as weights.We identify shared differentially methylated positions in whole blood between neurodegenerative disorders that point to shared pathogenic mechanisms. These shared differentially methylated positions may reflect causes or consequences of disease, but they are unlikely to reflect cell-type proportion differences."
Yes,20210416,EWAS,33766110,Pre-adolescence DNA methylation is associated with BMI status change from pre- to post-adolescence.,Clin Epigenetics,"Previous studies have shown that DNA methylation (DNAm) is associated with body mass index (BMI). However, it is unknown whether DNAm at pre-adolescence is associated with BMI status transition from pre- to post-adolescence. In the Isle of Wight (IoW) birth cohort, genome-wide DNA methylation in whole blood was measured using Illumina Infinium Human450 and EPIC BeadChip arrays in n = 325 subjects, and pre- to post-adolescence BMI transition was classified into four groups: (1) normal to normal, (2) normal to overweight or obese, (3) overweight or obese to normal, and (4) persistent overweight or obese. We used recursive random forest to screen genome-wide Cytosine-phosphate-Guanine (CpG) sites with DNAm potentially associated with BMI transition for each gender, and the association of BMI status transition with DNAm at an earlier age was assessed via logistic regressions. To evaluate gender specificity, interactions between DNAm and gender were included in the model. Findings in the IoW cohort were further tested in an independent cohort, the Avon Longitudinal Study of Parents and Children (ALSPAC).In total, 174 candidate CpGs were selected including CpGs from screening and CpGs previously associated correctionally with BMI in children and adults. Of these 174 CpGs, pre-adolescent DNAm of 38 CpGs in the IoW cohort was associated with BMI status transition, including 30 CpGs showing gender-specific associations. Thirteen CpGs showed consistent associations between the IoW cohort and the ALSPAC cohort (11 of which were gender-specific).Pre-adolescence DNAm is associated with the change in BMI status from pre- to post-adolescence and such associations are likely to be gender-specific."
Yes,20210416,EWAS,33785011,The impact of cesarean delivery on infant DNA methylation.,BMC Pregnancy Childbirth,"Mounting evidence suggests that cesarean delivery may have a long-lasting effect on infant health. But the underlying mechanisms remain unclear. This study aims to examine whether cesarean delivery on maternal request without any medical indications (CDMR) impacts DNA methylation status in the umbilical cord blood of the infant.A cross-sectional study was conducted in Shanghai, China. A total of 70 CDMR and 70 vaginal deliveries (VD) were recruited in 2012. The cord blood DNA methylation status was measured in 30 CDMR and 30 VD newborns using Illumina Infinium Human Methylation 450 K BeadChip. To validate the results, the cord blood DNA methylation status was measured in another 40 CDMR and 40 VD newborns using targeted bisulfite sequencing assay. A total of 497 CpG sites from 40 genes were included in the analysis.A total of 165 differentially methylated positions (DMPs) exhibited differences in DNA methylation by 10% or more between the CDMR and VD groups, many of which were related to the development of the immune system. Based on the targeted bisulfite sequencing assay, 16 genes (16/22, 72.7%) had higher methylation level in the CDMR group than the VD group. Among them, 5 genes were related to the immune system. After considering the estimation of cell type proportions, there was few significant differences in DNA methylation between CDMR and VD groups.The DMPs identified between CDMR and VD groups might be largely explained by the cell type proportions. Further studies are needed to examine DNA methylation in each cell type separately."
No,20210416,Methods,33838111,Genome-wide programmable transcriptional memory by CRISPR-based epigenome editing.,Cell,"A general approach for heritably altering gene expression has the potential to enable many discovery and therapeutic efforts. Here, we present CRISPRoff-a programmable epigenetic memory writer consisting of a single dead Cas9 fusion protein that establishes DNA methylation and repressive histone modifications. Transient CRISPRoff expression initiates highly specific DNA methylation and gene repression that is maintained through cell division and differentiation of stem cells to neurons. Pairing CRISPRoff with genome-wide screens and analysis of chromatin marks establishes rules for heritable gene silencing. We identify single guide RNAs (sgRNAs) capable of silencing the large majority of genes including those lacking canonical CpG islands (CGIs) and reveal a wide targeting window extending beyond annotated CGIs. The broad ability of CRISPRoff to initiate heritable gene silencing even outside of CGIs expands the canonical model of methylation-based silencing and enables diverse applications including genome-wide screens, multiplexed cell engineering, enhancer silencing, and mechanistic exploration of epigenetic inheritance.Copyright © 2021 Elsevier Inc. All rights reserved."
No,20210416,Omics,33836805,DNA methylation and gene expression integration in cardiovascular disease.,Clin Epigenetics,"The integration of different layers of omics information is an opportunity to tackle the complexity of cardiovascular diseases (CVD) and to identify new predictive biomarkers and potential therapeutic targets. Our aim was to integrate DNA methylation and gene expression data in an effort to identify biomarkers related to cardiovascular disease risk in a community-based population. We accessed data from the Framingham Offspring Study, a cohort study with data on DNA methylation (Infinium HumanMethylation450 BeadChip; Illumina) and gene expression (Human Exon 1.0 ST Array; Affymetrix). Using the MOFA2 R package, we integrated these data to identify biomarkers related to the risk of presenting a cardiovascular event.Four independent latent factors (9, 19, 21-only in women-and 27), driven by DNA methylation, were associated with cardiovascular disease independently of classical risk factors and cell-type counts. In a sensitivity analysis, we also identified factor 21 as associated with CVD in women. Factors 9, 21 and 27 were also associated with coronary heart disease risk. Moreover, in a replication effort in an independent study three of the genes included in factor 27 were also present in a factor identified to be associated with myocardial infarction (CDC42BPB, MAN2A2 and RPTOR). Factor 9 was related to age and cell-type proportions; factor 19 was related to age and B cells count; factor 21 pointed to human immunodeficiency virus infection-related pathways and inflammation; and factor 27 was related to lifestyle factors such as alcohol consumption, smoking and body mass index. Inclusion of factor 21 (only in women) improved the discriminative and reclassification capacity of the Framingham classical risk function and factor 27 improved its discrimination.Unsupervised multi-omics data integration methods have the potential to provide insights into the pathogenesis of cardiovascular diseases. We identified four independent factors (one only in women) pointing to inflammation, endothelium homeostasis, visceral fat, cardiac remodeling and lifestyles as key players in the determination of cardiovascular risk. Moreover, two of these factors improved the predictive capacity of a classical risk function."
No,20210416,Prediction,33785068,Clinical epigenetics settings for cancer and cardiovascular diseases: real-life applications of network medicine at the bedside.,Clin Epigenetics,"Despite impressive efforts invested in epigenetic research in the last 50 years, clinical applications are still lacking. Only a few university hospital centers currently use epigenetic biomarkers at the bedside. Moreover, the overall concept of precision medicine is not widely recognized in routine medical practice and the reductionist approach remains predominant in treating patients affected by major diseases such as cancer and cardiovascular diseases. By its' very nature, epigenetics is integrative of genetic networks. The study of epigenetic biomarkers has led to the identification of numerous drugs with an increasingly significant role in clinical therapy especially of cancer patients. Here, we provide an overview of clinical epigenetics within the context of network analysis. We illustrate achievements to date and discuss how we can move from traditional medicine into the era of network medicine (NM), where pathway-informed molecular diagnostics will allow treatment selection following the paradigm of precision medicine."
No,20210416,Prediction,33752746,DNA methylation biomarker for cumulative lead exposure is associated with Parkinson's disease.,Clin Epigenetics,"Lead, a known neurotoxicant, has previously received attention in Parkinson's disease (PD) research, but epidemiologic studies have been limited in sample size and findings are equivocal. We generated two methylation-based biomarkers for cumulative tibia and patella bone-measured lead exposure in 1528 PD patients and 1169 controls. PD status was associated with increased levels of the DNAm biomarker for tibia-lead levels. We estimated a meta-OR for PD of 1.89 per unit DNAm tibia-lead increase (95% CI 1.59, 2.24; p = 8.1E-13). The current study supports the notion that chronic and long-term lead exposure tracked via DNAm may contribute to PD pathogenesis."
No,20210416,TWAS,33795786,Transcriptomic signals in blood prior to lung cancer focusing on time to diagnosis and metastasis.,Sci Rep,Recent studies have indicated that there are functional genomic signals that can be detected in blood years before cancer diagnosis. This study aimed to assess gene expression in prospective blood samples from the Norwegian Women and Cancer cohort focusing on time to lung cancer diagnosis and metastatic cancer using a nested case-control design. We employed several approaches to statistically analyze the data and the methods indicated that the case-control differences were subtle but most distinguishable in metastatic case-control pairs in the period 0-3 years prior to diagnosis. The genes of interest along with estimated blood cell populations could indicate disruption of immunological processes in blood. The genes identified from approaches focusing on alterations with time to diagnosis were distinct from those focusing on the case-control differences. Our results support that explorative analyses of prospective blood samples could indicate circulating signals of disease-related processes.
No,20210416,VNTR,33824302,Variable number tandem repeats mediate the expression of proximal genes.,Nat Commun,"Variable number tandem repeats (VNTRs) account for significant genetic variation in many organisms. In humans, VNTRs have been implicated in both Mendelian and complex disorders, but are largely ignored by genomic pipelines due to the complexity of genotyping and the computational expense. We describe adVNTR-NN, a method that uses shallow neural networks to genotype a VNTR in 18 seconds on 55X whole genome data, while maintaining high accuracy. We use adVNTR-NN to genotype 10,264 VNTRs in 652 GTEx individuals. Associating VNTR length with gene expression in 46 tissues, we identify 163 ""eVNTRs"". Of the 22 eVNTRs in blood where independent data is available, 21 (95%) are replicated in terms of significance and direction of association. 49% of the eVNTR loci show a strong and likely causal impact on the expression of genes and 80% have maximum effect size at least 0.3. The impacted genes are involved in diseases including Alzheimer's, obesity and familial cancers, highlighting the importance of VNTRs for understanding the genetic basis of complex diseases."
No,20210416,Y,33744870,Male-specific age estimation based on Y-chromosomal DNA methylation.,Aging (Albany NY),"Although DNA methylation variation of autosomal CpGs provides robust age predictive biomarkers, no male-specific age predictor exists based on Y-CpGs yet. Since sex chromosomes play an important role in aging, a Y-chromosome-based age predictor would allow studying male-specific aging effects and would also be useful in forensics. Here, we used blood-based DNA methylation microarray data of 1,057 males from six cohorts aged 15-87 and identified 75 Y-CpGs with an interquartile range of ≥0.1. Of these, 22 and six were significantly hyper- and hypomethylated with age (p(cor)<0.05, Bonferroni), respectively. Amongst several machine learning algorithms, a model based on support vector machines with radial kernel performed best in male-specific age prediction. We achieved a mean absolute deviation (MAD) between true and predicted age of 7.54 years (cor=0.81, validation) when using all 75 Y-CpGs, and a MAD of 8.46 years (cor=0.73, validation) based on the most predictive 19 Y-CpGs. The accuracies of both age predictors did not worsen with increased age, in contrast to autosomal CpG-based age predictors that are known to predict age with reduced accuracy in the elderly. Overall, we introduce the first-of-its-kind male-specific epigenetic age predictor for future applications in aging research and forensics."
