ec,type,pmid,title,source,abstract
No,Prediction,34732805,The relationship of smoking to cg05575921 methylation in blood and saliva DNA samples from several studies.,Sci Rep,"Numerous studies have shown that cg05575921 methylation decreases in response to smoking. However, secondary to methodological issues, the magnitude and dose dependency of that response is as of yet unclear. This lack of certainty is a barrier to the use of DNA methylation clinically to assess and monitor smoking status. To better define this relationship, we conducted a joint analysis of methylation sensitive PCR digital (MSdPCR) assessments of cg05575921 methylation in whole blood and/or saliva DNA to smoking using samples from 421 smokers and 423 biochemically confirmed non-smokers from 4 previously published studies. We found that cg05575921 methylation manifested a curvilinear dose dependent decrease in response to increasing cigarette consumption. In whole blood DNA, the Receiver Operating Characteristic (ROC) Area Under the Curve (AUC) of cg05575921 methylation for predicting daily smoking status was 0.98. In saliva DNA, the gross AUC was 0.91 with correction for cellular heterogeneity improving the AUC to 0.94. Methylation status was significantly associated with the Fagerstrom Test for Nicotine Dependence score, but with significant sampling heterogeneity. We conclude that MSdPCR assessments of cg05575921 methylation are a potentially powerful, clinically implementable tool for the assessment and management of smoking.© 2021. The Author(s)."
No,Prediction,34702360,Validating biomarkers and models for epigenetic inference of alcohol consumption from blood.,Clin Epigenetics,"Information on long-term alcohol consumption is relevant for medical and public health research, disease therapy, and other areas. Recently, DNA methylation-based inference of alcohol consumption from blood was reported with high accuracy, but these results were based on employing the same dataset for model training and testing, which can lead to accuracy overestimation. Moreover, only subsets of alcohol consumption categories were used, which makes it impossible to extrapolate such models to the general population. By using data from eight population-based European cohorts (N = 4677), we internally and externally validated the previously reported biomarkers and models for epigenetic inference of alcohol consumption from blood and developed new models comprising all data from all categories.By employing data from six European cohorts (N = 2883), we empirically tested the reproducibility of the previously suggested biomarkers and prediction models via ten-fold internal cross-validation. In contrast to previous findings, all seven models based on 144-CpGs yielded lower mean AUCs compared to the models with less CpGs. For instance, the 144-CpG heavy versus non-drinkers model gave an AUC of 0.78 ± 0.06, while the 5 and 23 CpG models achieved 0.83 ± 0.05, respectively. The transportability of the models was empirically tested via external validation in three independent European cohorts (N = 1794), revealing high AUC variance between datasets within models. For instance, the 144-CpG heavy versus non-drinkers model yielded AUCs ranging from 0.60 to 0.84 between datasets. The newly developed models that considered data from all categories showed low AUCs but gave low AUC variation in the external validation. For instance, the 144-CpG heavy and at-risk versus light and non-drinkers model achieved AUCs of 0.67 ± 0.02 in the internal cross-validation and 0.61-0.66 in the external validation datasets.The outcomes of our internal and external validation demonstrate that the previously reported prediction models suffer from both overfitting and accuracy overestimation. Our results show that the previously proposed biomarkers are not yet sufficient for accurate and robust inference of alcohol consumption from blood. Overall, our findings imply that DNA methylation prediction biomarkers and models need to be improved considerably before epigenetic inference of alcohol consumption from blood can be considered for practical applications.© 2021. The Author(s)."
No,Prediction,34745991,A CpG Methylation Signature as a Potential Marker for Early Diagnosis of Hepatocellular Carcinoma From HBV-Related Liver Disease Using Multiplex Bisulfite Sequencing.,Front Oncol,"Aberrant methylation of CpG sites served as an epigenetic marker for building diagnostic, prognostic, and recurrence models for hepatocellular carcinoma (HCC).Using Illumina 450K and EPIC Beadchip, we identified 34 CpG sites in peripheral blood mononuclear cell (PBMC) DNA that were differentially methylated in early HCC versus HBV-related liver diseases (HBVLD). We employed multiplex bisulfite sequencing (MBS) based on next-generation sequencing (NGS) to measure methylation of 34 CpG sites in PBMC DNA from 654 patients that were divided into a training set (n= 442) and a test set (n= 212). Using the training set, we selected and built a six-CpG-scorer (namely, cg14171514, cg07721852, cg05166871, cg18087306, cg05213896, and cg18772205), applying least absolute shrinkage and selection operator (LASSO) regression. We performed multivariable analyses of four candidate risk predictors (namely, six-CpG-scorer, age, sex, and AFP level), using 20 times imputation of missing data, non-linearly transformed, and backwards feature selection with logistic regression. The final model's regression coefficients were calculated according to ""Rubin's Rules"". The diagnostic accuracy of the model was internally validated with a 10,000 bootstrap validation dataset and then applied to the test set for validation.The area under the receiver operating characteristic curve (AUROC) of the model was 0.81 (95% CI, 0.77-0.85) and it showed good calibration and decision curve analysis. Using enhanced bootstrap validation, adjusted C-statistics and adjusted Brier score were 0.809 and 0.199, respectively. The model also showed an AUROC value of 0.84 (95% CI 0.79-0.88) of diagnosis for early HCC in the test set.Our model based on the six-CpG-scorer was a reliable diagnosis tool for early HCC from HBVLD. The usage of the MBS method can realize large-scale detection of CpG sites in clinical diagnosis of early HCC and benefit the majority of patients.Copyright © 2021 Li, Song, Qin, Li, Jiang, Ren, Zang, Sun, Zhao and Zhang."
No,Prediction,34786085,Combined detection of stool-based methylation indicators for early screening of colorectal neoplasm.,Am J Transl Res,"In the past two decades, several methylated DNA targets, including gene promoters and other intronic markers have been explored in tumors and benign lesions. Therefore, it can be expected that a panel of stool-based biomarkers will become a screening method for colorectal cancer (CRC) and adenoma with better sensitivity and specificity, aiming to decrease the incidence and mortality of CRC. In this study, the methylation of secreted frizzled-related protein 1 (SFRP1), hyperplastic polyposis protein 1 (HPP1), α-internexin (INA), Wnt inhibitory factor 1 (WIF1), tissue factor pathway inhibitor 2 (TFPI2), ikaros family zinc finger protein 1 (IKZF1), and spastic paraplegia 20 (SPG20) were detected in stool samples from patients with CRC, adenoma, polyps, and healthy controls, respectively, and these biomarkers were used to establish a logistic regression model for classification. Receiver operating characteristic (ROC) curves were drawn to assess the importance of each biomarker. Subsequently, a biomarker or combination of biomarkers was analyzed for early screening of high-risk neoplasm. The data showed that when a single biomarker was used for CRC screening, the sensitivity ranged from 63.9% to 76.8%, the area under the curve (AUC) ranged from 0.821 to 0.875, and the accuracy ranged from 77.0% to 84.5%. Finally, the methylation of SFRP1, HPP1, TFPI2, and IKZF1 was selected using a backward stepwise method in the multivariate logistic analysis according to the Akaike Information Criterion. These findings indicate that stool DNA biomarkers have good diagnostic power in discriminating high-risk level of neoplasm from healthy population.AJTR Copyright © 2021."
No,Protein,34765854,The Proteomic Signature of Recombinant Growth Hormone in Recreational Athletes.,J Endocr Soc,"Administration of human growth hormone (hGH) is prohibited in competitive sport and its detection in an athlete's sample triggers an adverse analytical finding. However, the biological processes that are modulated by recombinant hGH are not well characterized and associated blood serum proteins may constitute new biomarkers for hGH misuse.Thirty-five recreational athletes were enrolled in a study to investigate the time- and dose-dependent response of serum protein levels to recombinant hGH administration. Participants were randomly assigned to 4 groups, receiving 1 of 3 different doses of recombinant hGH or a placebo. Bio samples were collected at 22 time points over a period of 13 weeks, starting 4 weeks before treatment, during 3 weeks of treatment, and at 6 weeks' follow-up. A total of 749 serum samples were analyzed for 1305 protein markers using the SOMAscan proteomics platform.We identified 66 proteins that significantly associated with recombinant hGH administration and dosage, including well known hGH targets, such as IGF1, but also previously unknown hGH-related proteins (eg, protease inhibitors, WFIKKN1, and chemokines, CCL2). Network analysis revealed changes in specific biological pathways, mainly related to the immune system and glucose metabolism.Our analysis suggests that hGH administration affects biological processes more strongly than previously acknowledged. Some of the proteins were dysregulated even after hGH treatment and could potentially be developed into biomarkers for hGH misuse. Moreover, our findings suggest new roles for hGH-associated proteins in the etiology of hGH-related diseases and may indicate new risks that may be associated with hGH misuse.© The Author(s) 2021. Published by Oxford University Press on behalf of the Endocrine Society."
Yes,EWAS,34809630,Genome-wide DNA methylation analysis of pulmonary function in middle and old-aged Chinese monozygotic twins.,Respir Res,"Previous studies have determined the epigenetic association between DNA methylation and pulmonary function among various ethnics, whereas this association is largely unknown in Chinese adults. Thus, we aimed to explore epigenetic relationships between genome-wide DNA methylation levels and pulmonary function among middle-aged Chinese monozygotic twins.The monozygotic twin sample was drawn from the Qingdao Twin Registry. Pulmonary function was measured by three parameters including forced expiratory volume the first second (FEV1), forced vital capacity (FVC), and FEV1/FVC ratio. Linear mixed effect model was used to regress the methylation level of CpG sites on pulmonary function. After that, we applied Genomic Regions Enrichment of Annotations Tool (GREAT) to predict the genomic regions enrichment, and used comb-p python library to detect differentially methylated regions (DMRs). Gene expression analysis was conducted to validate the results of differentially methylated analyses.We identified 112 CpG sites with the level of P < 1 × 10-4which were annotated to 40 genes. We identified 12 common enriched pathways of three pulmonary function parameters. We detected 39 DMRs located at 23 genes, of which PRDM1 was related to decreased pulmonary function, and MPL, LTB4R2, and EPHB3 were related to increased pulmonary function. The gene expression analyses validated DIP2C, ASB2, SLC6A5, and GAS6 related to decreased pulmonary function.Our DNA methylation sequencing analysis on identical twins provides new references for the epigenetic regulation on pulmonary function. Several CpG sites, genes, biological pathways and DMRs are considered as possible crucial to pulmonary function.© 2021. The Author(s)."
Yes,EWAS,34798907,"Prenatal metal exposure, cord blood DNA methylation and persistence in childhood: an epigenome-wide association study of 12 metals.",Clin Epigenetics,"Prenatal exposure to essential and non-essential metals impacts birth and child health, including fetal growth and neurodevelopment. DNA methylation (DNAm) may be involved in pathways linking prenatal metal exposure and health. In the Project Viva cohort, we analyzed the extent to which metals (As, Ba, Cd, Cr, Cs, Cu, Hg, Mg, Mn, Pb, Se, and Zn) measured in maternal erythrocytes were associated with differentially methylated positions (DMPs) and regions (DMRs) in cord blood and tested if associations persisted in blood collected in mid-childhood. We measured metal concentrations in first-trimester maternal erythrocytes, and DNAm in cord blood (N = 361) and mid-childhood blood (N = 333, 6-10 years) with the Illumina HumanMethylation450 BeadChip. For each metal individually, we tested for DMPs using linear models (considered significant at FDR < 0.05), and for DMRs using comb-p (Sidak p < 0.05). Covariates included biologically relevant variables and estimated cell-type composition. We also performed sex-stratified analyses.Pb was associated with decreased methylation of cg20608990 (CASP8) (FDR = 0.04), and Mn was associated with increased methylation of cg02042823 (A2BP1) in cord blood (FDR = 9.73 × 10-6). Both associations remained significant but attenuated in blood DNAm collected at mid-childhood (p < 0.01). Two and nine Mn-associated DMPs were identified in male and female infants, respectively (FDR < 0.05), with two and six persisting in mid-childhood (p < 0.05). All metals except Ba and Pb were associated with ≥ 1 DMR among all infants (Sidak p < 0.05). Overlapping DMRs annotated to genes in the human leukocyte antigen (HLA) region were identified for Cr, Cs, Cu, Hg, Mg, and Mn.Prenatal metal exposure is associated with DNAm, including DMRs annotated to genes involved in neurodevelopment. Future research is needed to determine if DNAm partially explains the relationship between prenatal metal exposures and health outcomes.© 2021. The Author(s)."
No,Prediction,34797422,DNA methylation-based classification of malformations of cortical development in the human brain.,Acta Neuropathol,"Malformations of cortical development (MCD) comprise a broad spectrum of structural brain lesions frequently associated with epilepsy. Disease definition and diagnosis remain challenging and are often prone to arbitrary judgment. Molecular classification of histopathological entities may help rationalize the diagnostic process. We present a retrospective, multi-center analysis of genome-wide DNA methylation from human brain specimens obtained from epilepsy surgery using EPIC 850 K BeadChip arrays. A total of 308 samples were included in the study. In the reference cohort, 239 formalin-fixed and paraffin-embedded (FFPE) tissue samples were histopathologically classified as MCD, including 12 major subtype pathologies. They were compared to 15 FFPE samples from surgical non-MCD cortices and 11 FFPE samples from post-mortem non-epilepsy controls. We applied three different statistical approaches to decipher the DNA methylation pattern of histopathological MCD entities, i.e., pairwise comparison, machine learning, and deep learning algorithms. Our deep learning model, which represented a shallow neuronal network, achieved the highest level of accuracy. A test cohort of 43 independent surgical samples from different epilepsy centers was used to test the precision of our DNA methylation-based MCD classifier. All samples from the test cohort were accurately assigned to their disease classes by the algorithm. These data demonstrate DNA methylation-based MCD classification suitability across major histopathological entities amenable to epilepsy surgery and age groups and will help establish an integrated diagnostic classification scheme for epilepsy-associated MCD.© 2021. The Author(s)."
Yes,EWAS,34775485,Epigenome-wide association study of alcohol use disorder in five brain regions.,Neuropsychopharmacology,"Alcohol use disorder (AUD) is closely linked to the brain regions forming the neurocircuitry of addiction. Postmortem human brain tissue enables the direct study of the molecular pathomechanisms of AUD. This study aims to identify these mechanisms by examining differential DNA-methylation between cases with severe AUD (n = 53) and controls (n = 58) using a brain-region-specific approach, in which sample sizes ranged between 46 and 94. Samples of the anterior cingulate cortex (ACC), Brodmann Area 9 (BA9), caudate nucleus (CN), ventral striatum (VS), and putamen (PUT) were investigated. DNA-methylation levels were determined using the Illumina HumanMethylationEPIC Beadchip. Epigenome-wide association analyses were carried out to identify differentially methylated CpG-sites and regions between cases and controls in each brain region. Weighted correlation network analysis (WGCNA), gene-set, and GWAS-enrichment analyses were performed. Two differentially methylated CpG-sites were associated with AUD in the CN, and 18 in VS (q < 0.05). No epigenome-wide significant CpG-sites were found in BA9, ACC, or PUT. Differentially methylated regions associated with AUD case-/control status (q < 0.05) were found in the CN (n = 6), VS (n = 18), and ACC (n = 1). In the VS, the WGCNA-module showing the strongest association with AUD was enriched for immune-related pathways. This study is the first to analyze methylation differences between AUD cases and controls in multiple brain regions and consists of the largest sample to date. Several novel CpG-sites and regions implicated in AUD were identified, providing a first basis to explore epigenetic correlates of AUD.© 2021. The Author(s)."
Yes,EWAS,34774679,"Blood DNA methylation markers associated with type 2 diabetes, fasting glucose, and HbA1c levels: An epigenome-wide association study in 316 adult twin pairs.",Genomics,"DNA methylation plays an important role in the development and etiology of type 2 diabetes; however, few epigenomic studies have been conducted on twins. Herein, a two-stage study was performed to explore the associations between DNA methylation and type 2 diabetes, fasting plasma glucose, and HbA1c. DNA methylation in 316 twin pairs from the Chinese National Twin Registry (CNTR) was measured using Illumina Infinium BeadChips. In the discovery sample, the results revealed that 63 CpG sites and 6 CpG sites were significantly associated with fasting plasma glucose and HbA1c, respectively. In the replication sample, cg19690313 in TXNIP was associated with both fasting plasma glucose (P = 1.23 × 10-17, FDR < 0.001) and HbA1c (P = 2.29 × 10-18,FDR < 0.001). Furthermore, cg04816311, cg08309687, and cg09249494 may provide new insight in the metabolic mechanism of HbA1c. Our study provides solid evidence that cg19690313 on TXNIP correlates with HbA1c and fasting plasma glucose levels.Copyright © 2021 The Authors. Published by Elsevier Inc. All rights reserved."
