person,ec,date,category,pmid,title,source,abstract
Sarah,No,20230504,dnamage,37118759,Associations of socioeconomic disparities with buccal DNA-methylation measures of biological aging.,Clin Epigenetics,"Individuals who are socioeconomically disadvantaged are at increased risk for aging-related diseases and perform less well on tests of cognitive function. The weathering hypothesis proposes that these disparities in physical and cognitive health arise from an acceleration of biological processes of aging. Theories of how life adversity is biologically embedded identify epigenetic alterations, including DNA methylation (DNAm), as a mechanistic interface between the environment and health. Consistent with the weathering hypothesis and theories of biological embedding, recently developed DNAm algorithms have revealed profiles reflective of more advanced aging and lower cognitive function among socioeconomically-at-risk groups. These DNAm algorithms were developed using blood-DNA, but social and behavioral science research commonly collect saliva or cheek-swab DNA. This discrepancy is a potential barrier to research to elucidate mechanisms through which socioeconomic disadvantage affects aging and cognition. We therefore tested if social gradients observed in blood DNAm measures could be reproduced using buccal-cell DNA obtained from cheek swabs.We analyzed three DNAm measures of biological aging and one DNAm measure of cognitive performance, all of which showed socioeconomic gradients in previous studies: the PhenoAge and GrimAge DNAm clocks, DunedinPACE, and Epigenetic-g. We first computed blood-buccal cross-tissue correlations in n = 21 adults (GEO111165). Cross-tissue correlations were low-to-moderate (r = .25 to r = .48). We next conducted analyses of socioeconomic gradients using buccal DNAm data from SOEP-G (n = 1128, 57% female; age mean = 42 yrs, SD = 21.56, range 0-72). Associations of socioeconomic status with DNAm measures of aging were in the expected direction, but were smaller as compared to reports from blood DNAm datasets (r = - .08 to r = - .13).Our findings are consistent with the hypothesis that socioeconomic disadvantage is associated with DNAm indicators of worse physical health. However, relatively low cross-tissue correlations and attenuated effect sizes for socioeconomic gradients in buccal DNAm compared with reports from analysis of blood DNAm suggest that in order to take full advantage of buccal DNA samples, DNAm algorithms customized to buccal DNAm are needed.© 2023. The Author(s)."
Scott,No,20230504,prediction,37127563,A comparison of feature selection methodologies and learning algorithms in the development of a DNA methylation-based telomere length estimator.,BMC Bioinformatics,"The field of epigenomics holds great promise in understanding and treating disease with advances in machine learning (ML) and artificial intelligence being vitally important in this pursuit. Increasingly, research now utilises DNA methylation measures at cytosine-guanine dinucleotides (CpG) to detect disease and estimate biological traits such as aging. Given the challenge of high dimensionality of DNA methylation data, feature-selection techniques are commonly employed to reduce dimensionality and identify the most important subset of features. In this study, our aim was to test and compare a range of feature-selection methods and ML algorithms in the development of a novel DNA methylation-based telomere length (TL) estimator. We utilised both nested cross-validation and two independent test sets for the comparisons.We found that principal component analysis in advance of elastic net regression led to the overall best performing estimator when evaluated using a nested cross-validation analysis and two independent test cohorts. This approach achieved a correlation between estimated and actual TL of 0.295 (83.4% CI [0.201, 0.384]) on the EXTEND test data set. Contrastingly, the baseline model of elastic net regression with no prior feature reduction stage performed less well in general-suggesting a prior feature-selection stage may have important utility. A previously developed TL estimator, DNAmTL, achieved a correlation of 0.216 (83.4% CI [0.118, 0.310]) on the EXTEND data. Additionally, we observed that different DNA methylation-based TL estimators, which have few common CpGs, are associated with many of the same biological entities.The variance in performance across tested approaches shows that estimators are sensitive to data set heterogeneity and the development of an optimal DNA methylation-based estimator should benefit from the robust methodological approach used in this study. Moreover, our methodology which utilises a range of feature-selection approaches and ML algorithms could be applied to other biological markers and disease phenotypes, to examine their relationship with DNA methylation and predictive value.© 2023. The Author(s)."
,No,20230504,methods,37081487,pycoMeth: a toolbox for differential methylation testing from Nanopore methylation calls,Genome Biol,"We present pycoMeth, a toolbox to store, manage and analyze DNA methylation calls from long-read sequencing data obtained using the Oxford Nanopore Technologies sequencing platform. Building on a novel, rapid-access, read-level and reference-anchored methylation storage format MetH5, we propose efficient algorithms for haplotype aware, multi-sample consensus segmentation and differential methylation testing. We show that MetH5 is more efficient than existing solutions for storing Oxford Nanopore Technologies methylation calls, and carry out benchmarking for pycoMeth segmentation and differential methylation testing, demonstrating increased performance and sensitivity compared to existing solutions designed for short-read methylation data."
,Yes,20230504,ewas,37106120,Genes implicated by a methylome-wide schizophrenia study in neonatal blood show differential expression in adult brain samples.,Mol Psychiatry,"Schizophrenia is a disabling disorder involving genetic predisposition in combination with environmental influences that likely act via dynamic alterations of the epigenome and the transcriptome but its detailed pathophysiology is largely unknown. We performed cell-type specific methylome-wide association study of neonatal blood (N = 333) from individuals who later in life developed schizophrenia and controls. Suggestively significant associations (P < 1.0 × 10-6) were detected in all cell-types and in whole blood with methylome-wide significant associations in monocytes (P = 2.85 × 10-9-4.87 × 10-9), natural killer cells (P = 1.72 × 10-9-7.82 × 10-9) and B cells (P = 3.8 × 10-9). Validation of methylation findings in post-mortem brains (N = 596) from independent schizophrenia cases and controls showed significant enrichment of transcriptional differences (enrichment ratio = 1.98-3.23, P = 2.3 × 10-3-1.0 × 10-5), with specific highly significant differential expression for, for example, BDNF (t = -6.11, P = 1.90 × 10-9). In addition, expression difference in brain significantly predicted schizophrenia (multiple correlation = 0.15-0.22, P = 3.6 × 10-4-4.5 × 10-8). In summary, using a unique design combining pre-disease onset (neonatal) blood methylomic data and post-disease onset (post-mortem) brain transcriptional data, we have identified genes of likely functional relevance that are associated with schizophrenia susceptibility, rather than confounding disease associated artifacts. The identified loci may be of clinical value as a methylation-based biomarker for early detection of increased schizophrenia susceptibility.© 2023. The Author(s), under exclusive licence to Springer Nature Limited."
,No,20230504,ewas,37101222,An epigenome-wide analysis of socioeconomic position and tumor DNA methylation in breast cancer patients.,Clin Epigenetics,"Disadvantaged socioeconomic position (SEP), including lower educational attainment and household income, may influence cancer risk and outcomes. We hypothesized that DNA methylation could function as an intermediary epigenetic mechanism that internalizes and reflects the biological impact of SEP.Based on tumor DNA methylation data from the Illumina 450 K array from 694 breast cancer patients in the Women's Circle of Health Study, we conducted an epigenome-wide analysis in relation to educational attainment and household income. Functional impact of the identified CpG sites was explored in silico using data from publicly available databases.We identified 25 CpG sites associated with household income at an array-wide significance level, but none with educational attainment. Two of the top CpG sites, cg00452016 and cg01667837, were in promoter regions of NNT and GPR37, respectively, with multiple epigenetic regulatory features identified in each region. NNT is involved in β-adrenergic stress signaling and inflammatory responses, whereas GPR37 is involved in neurological and immune responses. For both loci, gene expression was inversely correlated to the levels of DNA methylation. The associations were consistent between Black and White women and did not differ by tumor estrogen receptor (ER) status.In a large breast cancer patient population, we discovered evidence of the significant biological impact of household income on the tumor DNA methylome, including genes in the β-adrenergic stress and immune response pathways. Our findings support biological effects of socioeconomic status on tumor tissues, which might be relevant to cancer development and progression.© 2023. The Author(s)."
,Yes,20230504,ewas,37093107,A meta-analysis of epigenome-wide association studies on pregnancy vitamin B12 concentrations and offspring DNA methylation.,Epigenetics,"Circulating vitamin B12 concentrations during pregnancy are associated with offspring health. Foetal DNA methylation changes could underlie these associations. Within the Pregnancy And Childhood Epigenetics Consortium, we meta-analysed epigenome-wide associations of circulating vitamin B12 concentrations in mothers during pregnancy (n = 2,420) or cord blood (n = 1,029), with cord blood DNA methylation. Maternal and newborn vitamin B12 concentrations were associated with DNA methylation at 109 and 7 CpGs, respectively (False Discovery RateP-value <0.05). Persistent associations with DNA methylation in the peripheral blood of up to 482 children aged 4-10 y were observed for 40.7% of CpGs associated with maternal vitamin B12 and 57.1% of CpGs associated with newborn vitamin B12. Of the CpGs identified in the maternal meta-analyses, 4.6% were associated with either birth weight or gestational age in a previous work. For the newborn meta-analysis, this was the case for 14.3% of the identified CpGs. Also, of the CpGs identified in the newborn meta-analysis, 14.3% and 28.6%, respectively, were associated with childhood cognitive skills and nonverbal IQ. Of the 109 CpGs associated with maternal vitamin B12, 18.3% were associated with nearby gene expression. In this study, we showed that maternal and newborn vitamin B12 concentrations are associated with DNA methylation at multiple CpGs in offspring blood (PFDR<0.05). Whether this differential DNA methylation underlies associations of vitamin B12 concentrations with child health outcomes, such as birth weight, gestational age, and childhood cognition, should be further examined in future studies."
,Yes,20230504,ewas,37088033,Umbilical cord DNA methylation is associated with body mass index trajectories from birth to adolescence.,EBioMedicine,"DNA methylation (DNAm) in cord blood has been associated with various prenatal factors and birth outcomes. This study sought to fill an important knowledge gap: the link of cord DNAm with child postnatal growth trajectories from birth to age 18 years (y).Using data from a US predominantly urban, low-income, multi-ethnic birth cohort (N = 831), we first applied non-parametric methods to identify body-mass-index percentile (BMIPCT) trajectories from birth to age 18 y (the outcome); then, conducted epigenome-wide association study (EWAS) of the outcome, interrogating over 700,000 CpG sites profiled by the Illumina Infinium MethylationEPIC BeadChip. Multivariate linear regression models and likelihood ratio tests (LRT) were applied to examine the DNAm-outcome association in the overall sample and sex strata.We identified four distinct patterns of BMIPCT trajectories: normal weight (NW), Early overweight or obesity (OWO), Late OWO, and normal to very late OWO. DNAm at CpG18582997 annotated to TPGS1, CpG15241084 of TLR7, and cg24350936 of RAB31 were associated with BMIPCT at birth-to-3 y, 10 y, and 14 y, respectively (LRT FDR < 0.05 for all).In this prospective birth cohort study, we identified 4 distinct and robust patterns of growth trajectories from birth to 18 y, which were associated with variations in cord blood DNAm at genes implicated in inflammation induction pathways. These findings, if further replicated, raise the possibility that these DNAm markers along with early assessment of BMIPCT trajectories may help identify young children at high-risk for obesity later in life.Detailed in the Acknowledgements section.Copyright © 2023. Published by Elsevier B.V."
,No,20230504,ewas,37085889,The X-factor in ART: does the use of assisted reproductive technologies influence DNA methylation on the X chromosome?,Hum Genomics,"Assisted reproductive technologies (ART) may perturb DNA methylation (DNAm) in early embryonic development. Although a handful of epigenome-wide association studies of ART have been published, none have investigated CpGs on the X chromosome. To bridge this knowledge gap, we leveraged one of the largest collections of mother-father-newborn trios of ART and non-ART (natural) conceptions to date to investigate sex-specific DNAm differences on the X chromosome. The discovery cohort consisted of 982 ART and 963 non-ART trios from the Norwegian Mother, Father, and Child Cohort Study (MoBa). To verify our results from the MoBa cohort, we used an external cohort of 149 ART and 58 non-ART neonates from the Australian 'Clinical review of the Health of adults conceived following Assisted Reproductive Technologies' (CHART) study. The Illumina EPIC array was used to measure DNAm in both datasets. In the MoBa cohort, we performed a set of X-chromosome-wide association studies ('XWASs' hereafter) to search for sex-specific DNAm differences between ART and non-ART newborns. We tested several models to investigate the influence of various confounders, including parental DNAm. We also searched for differentially methylated regions (DMRs) and regions of co-methylation flanking the most significant CpGs. Additionally, we ran an analogous model to our main model on the external CHART dataset.In the MoBa cohort, we found more differentially methylated CpGs and DMRs in girls than boys. Most of the associations persisted after controlling for parental DNAm and other confounders. Many of the significant CpGs and DMRs were in gene-promoter regions, and several of the genes linked to these CpGs are expressed in tissues relevant for both ART and sex (testis, placenta, and fallopian tube). We found no support for parental DNAm-dependent features as an explanation for the observed associations in the newborns. The most significant CpG in the boys-only analysis was in UBE2DNL, which is expressed in testes but with unknown function. The most significant CpGs in the girls-only analysis were in EIF2S3 and AMOT. These three loci also displayed differential DNAm in the CHART cohort.Genes that co-localized with the significant CpGs and DMRs associated with ART are implicated in several key biological processes (e.g., neurodevelopment) and disorders (e.g., intellectual disability and autism). These connections are particularly compelling in light of previous findings indicating that neurodevelopmental outcomes differ in ART-conceived children compared to those naturally conceived.© 2023. The Author(s)."
,No,20230504,mr,37085538,Role of DNA methylation in the relationship between glioma risk factors and glioma incidence: a two-step Mendelian randomization study.,Sci Rep,"Genetic evidence suggests glioma risk is altered by leukocyte telomere length, allergic disease (asthma, hay fever or eczema), alcohol consumption, childhood obesity, low-density lipoprotein cholesterol (LDLc) and triglyceride levels. DNA methylation (DNAm) variation influences many of these glioma-related traits and is an established feature of glioma. Yet the causal relationship between DNAm variation with both glioma incidence and glioma risk factors is unknown. We applied a two-step Mendelian randomization (MR) approach and several sensitivity analyses (including colocalization and Steiger filtering) to assess the association of DNAm with glioma risk factors and glioma incidence. We used data from a recently published catalogue of germline genetic variants robustly associated with DNAm variation in blood (32,851 participants) and data from a genome-wide association study of glioma risk (12,488 cases and 18,169 controls, sub-divided into 6191 glioblastoma cases and 6305 non-glioblastoma cases). MR evidence indicated that DNAm at 3 CpG sites (cg01561092, cg05926943, cg01584448) in one genomic region (HEATR3) had a putative association with glioma and glioblastoma risk (False discovery rate [FDR] < 0.05). Steiger filtering provided evidence against reverse causation. Colocalization presented evidence against genetic confounding and suggested that differential DNAm at the 3 CpG sites and glioma were driven by the same genetic variant. MR provided little evidence to suggest that DNAm acts as a mediator on the causal pathway between risk factors previously examined and glioma onset. To our knowledge, this is the first study to use MR to appraise the causal link of DNAm with glioma risk factors and glioma onset. Subsequent analyses are required to improve the robustness of our results and rule out horizontal pleiotropy.© 2023. The Author(s)."
,No,20230504,methods,37074140,Effects of Repeated Freeze and Thaw Cycles on the Genome-Wide DNA Methylation Profile of Isolated Genomic DNA.,Biopreserv Biobank,"The characterization of DNA methylation patterns to identify epigenetic markers for complex human diseases is an important and rapidly evolving part in biomedical research. DNA samples collected and stored in clinical biobanks over the past years are an important source for future epigenetic studies. Isolated gDNA is considered stable when stored at low temperatures for several years. However, the effect of multiple use and the associated repeated thawing of long-term stored DNA samples on DNA methylation patterns has not yet been investigated. In this study, we examined the influence of up to 10 freeze and thaw cycles on global DNA methylation by comparing genome-wide methylation profiles. DNA samples from 19 healthy volunteers were either frozen at -80°C or subjected to up to 10 freeze and thaw cycles. Genome-wide DNA methylation was analyzed after 0, 1, 3, 5, or 10 thaw cycles using the Illumina Infinium MethylationEPIC BeadChip. Evaluation of the global DNA methylation profile by beta-value density plots and multidimensional scaling plots revealed an expected clear participant-dependent variability, but a very low variability depending on the freeze and thaw cycles. In accordance, no significant difference in any of the methylated cytosine/guanine sites studied could be detected in the performed statistical analyses. Our results suggest that long-term frozen DNA samples are still suitable for epigenetic studies after multiple thaw cycles."
,No,20230504,dnamage,37107599,"Changes in Loneliness, BDNF, and Biological Aging Predict Trajectories in a Blood-Based Epigenetic Measure of Cortical Aging: A Study of Older Black Americans.",Genes (Basel),"A recent epigenetic measure of aging has developed based on human cortex tissue. This cortical clock (CC) dramatically outperformed extant blood-based epigenetic clocks in predicting brain age and neurological degeneration. Unfortunately, measures that require brain tissue are of limited utility to investigators striving to identify everyday risk factors for dementia. The present study investigated the utility of using the CpG sites included in the CC to formulate a peripheral blood-based cortical measure of brain age (CC-Bd). To establish the utility of CC-Bd, we used growth curves with individually varying time points and longitudinal data from a sample of 694 aging African Americans. We examined whether three risk factors that have been linked to cognitive decline-loneliness, depression, and BDNFm-predicted CC-Bd after controlling for several factors, including three new-generation epigenetic clocks. Our findings showed that two clocks-DunedinPACE and PoAm-predicted CC-BD, but that increases in loneliness and BDNFm continued to be robust predictors of accelerated CC-Bd even after taking these effects into account. This suggests that CC-Bd is assessing something more than the pan-tissue epigenetic clocks but that, at least in part, brain health is also associated with the general aging of the organism."
,Yes,20230504,ewas,37120575,Prenatal phthalate exposure and cord blood DNA methylation.,Sci Rep,"Exposure to phthalates has been shown to impede the human endocrine system, resulting in deleterious effects on pregnant women and their children. Phthalates modify DNA methylation patterns in infant cord blood. We examined the association between prenatal phthalate exposure and DNA methylation patterns in cord blood in a Korean birth cohort. Phthalate levels were measured in 274 maternal urine samples obtained during late pregnancy and 102 neonatal urine samples obtained at birth, and DNA methylation levels were measured in cord blood samples. For each infant in the cohort, associations between CpG methylation and both maternal and neonate phthalate levels were analyzed using linear mixed models. The results were combined with those from a meta-analysis of the levels of phthalates in maternal and neonatal urine samples, which were also analyzed for MEOHP, MEHHP, MnBP, and DEHP. This meta-analysis revealed significant associations between the methylation levels of CpG sites near the CHN2 and CUL3 genes, which were also associated with MEOHP and MnBP in neonatal urine. When the data were stratified by the sex of the infant, MnBP concentration was found to be associated with one CpG site near the OR2A2 and MEGF11 genes in female infants. In contrast, the concentrations of the three maternal phthalates showed no significant association with CpG site methylation. Furthermore, the data identified distinct differentially methylated regions in maternal and neonatal urine samples following exposure to phthalates. The CpGs with methylation levels that were positively associated with phthalate levels (particularly MEOHP and MnBP) were found to be enriched genes and related pathways. These results indicate that prenatal phthalate exposure is significantly associated with DNA methylation at multiple CpG sites. These alterations in DNA methylation may serve as biomarkers of maternal exposure to phthalates in infants and are potential candidates for investigating the mechanisms by which phthalates impact maternal and neonatal health.© 2023. The Author(s)."
,No,20230504,dnamage,37076473,Multi-omic underpinnings of epigenetic aging and human longevity.,Nat Commun,"Biological aging is accompanied by increasing morbidity, mortality, and healthcare costs; however, its molecular mechanisms are poorly understood. Here, we use multi-omic methods to integrate genomic, transcriptomic, and metabolomic data and identify biological associations with four measures of epigenetic age acceleration and a human longevity phenotype comprising healthspan, lifespan, and exceptional longevity (multivariate longevity). Using transcriptomic imputation, fine-mapping, and conditional analysis, we identify 22 high confidence associations with epigenetic age acceleration and seven with multivariate longevity. FLOT1, KPNA4, and TMX2 are novel, high confidence genes associated with epigenetic age acceleration. In parallel, cis-instrument Mendelian randomization of the druggable genome associates TPMT and NHLRC1 with epigenetic aging, supporting transcriptomic imputation findings. Metabolomics Mendelian randomization identifies a negative effect of non-high-density lipoprotein cholesterol and associated lipoproteins on multivariate longevity, but not epigenetic age acceleration. Finally, cell-type enrichment analysis implicates immune cells and precursors in epigenetic age acceleration and, more modestly, multivariate longevity. Follow-up Mendelian randomization of immune cell traits suggests lymphocyte subpopulations and lymphocytic surface molecules affect multivariate longevity and epigenetic age acceleration. Our results highlight druggable targets and biological pathways involved in aging and facilitate multi-omic comparisons of epigenetic clocks and human longevity.© 2023. This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply."
